------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Virginia",51000,20.2,227091,"39 of 51"
"Franklin City",51620,11.8,255,"825 of 3139"
"Bristol City",51520,12.3,517,"907 of 3139"
"Danville City",51590,12.3,1413,"907 of 3139"
"Petersburg City",51730,12.4,1266,"922 of 3139"
"Martinsville City",51690,12.7,472,"966 of 3139"
"Radford City",51750,13.3,673,"1050 of 3139"
"Emporia City",51595,13.5,245,"1080 of 3139"
"Covington City",51580,14.3,175,"1171 of 3139"
"Portsmouth City",51740,14.4,3070,"1183 of 3139"
"Lee County",51105,14.6,956,"1209 of 3139"
"Hopewell City",51670,14.7,941,"1221 of 3139"
"Buena Vista City",51530,14.8,225,"1230 of 3139"
"Hampton City",51650,14.9,3816,"1239 of 3139"
"Smyth County",51173,15.0,1019,"1247 of 3139"
"Wise County",51195,15.0,1402,"1247 of 3139"
"Lynchburg City",51680,15.1,2786,"1259 of 3139"
"Greensville County",51081,15.2,305,"1273 of 3139"
"Suffolk City",51800,15.2,1874,"1273 of 3139"
"Dickenson County",51051,15.3,581,"1286 of 3139"
"Halifax County with South Boston City",51083,15.4,1133,"1303 of 3139"
"Buchanan County",51027,15.6,850,"1324 of 3139"
"Norton City",51720,15.6,171,"1324 of 3139"
"Russell County",51167,15.6,936,"1324 of 3139"
"Lexington City",51678,15.7,104,"1340 of 3139"
"Staunton City",51790,15.7,677,"1340 of 3139"
"Prince Edward County",51147,15.8,730,"1349 of 3139"
"Brunswick County",51025,15.9,537,"1363 of 3139"
"Norfolk City",51710,16.0,8571,"1374 of 3139"
"Pulaski County",51155,16.0,896,"1374 of 3139"
"Salem City",51775,16.0,548,"1374 of 3139"
"Tazewell County",51185,16.0,1344,"1374 of 3139"
"Mecklenburg County",51117,16.1,982,"1385 of 3139"
"Scott County",51169,16.1,735,"1385 of 3139"
"Alleghany County and Clifton Forge City",51005,16.2,420,"1399 of 3139"
"Chesapeake City",51550,16.3,4593,"1415 of 3139"
"Newport News City",51700,16.9,6244,"1471 of 3139"
"Colonial Heights City",51570,17.0,531,"1483 of 3139"
"Cumberland County",51049,17.1,347,"1501 of 3139"
"Washington County",51191,17.2,1541,"1519 of 3139"
"Waynesboro City",51820,17.2,797,"1519 of 3139"
"King George County",51099,17.3,442,"1541 of 3139"
"Carroll County",51035,17.5,1075,"1575 of 3139"
"Henry County",51089,17.5,2028,"1575 of 3139"
"Nottoway County",51135,17.5,571,"1575 of 3139"
"Virginia Beach City",51810,17.5,8674,"1575 of 3139"
"Roanoke City",51770,17.6,4414,"1590 of 3139"
"Southampton County",51175,17.7,529,"1606 of 3139"
"Wythe County",51197,17.7,1000,"1606 of 3139"
"Buckingham County",51029,17.9,543,"1636 of 3139"
"Fredericksburg City",51630,17.9,955,"1636 of 3139"
"Craig County",51045,18.0,158,"1648 of 3139"
"Appomattox County",51011,18.1,526,"1660 of 3139"
"Essex County",51057,18.1,375,"1660 of 3139"
"Sussex County",51183,18.2,372,"1677 of 3139"
"Charlotte County",51037,18.3,545,"1695 of 3139"
"Gloucester County",51073,18.3,761,"1695 of 3139"
"Giles County",51071,18.4,489,"1714 of 3139"
"Surry County",51181,18.4,178,"1714 of 3139"
"Amherst County",51009,18.7,969,"1754 of 3139"
"Page County",51139,18.7,831,"1754 of 3139"
"Bland County",51021,18.8,145,"1765 of 3139"
"Caroline County",51033,18.8,880,"1765 of 3139"
"King William County",51101,18.9,384,"1786 of 3139"
"Rockbridge County",51163,18.9,659,"1786 of 3139"
"Richmond City",51760,19.0,11450,"1796 of 3139"
"Charlottesville City",51540,19.1,2151,"1804 of 3139"
"Campbell County",51031,19.2,1753,"1823 of 3139"
"Montgomery County",51121,19.2,3922,"1823 of 3139"
"Isle of Wight County",51093,19.3,770,"1840 of 3139"
"Pittsylvania County",51143,19.3,2124,"1840 of 3139"
"Prince George County",51149,19.3,859,"1840 of 3139"
"Floyd County",51063,19.4,500,"1859 of 3139"
"Middlesex County",51119,19.4,264,"1859 of 3139"
"Bath County",51017,19.6,136,"1895 of 3139"
"Richmond County",51159,19.6,289,"1895 of 3139"
"Roanoke County",51161,19.7,1790,"1917 of 3139"
"Grayson County",51077,19.8,644,"1928 of 3139"
"Northampton County",51131,19.8,523,"1928 of 3139"
"Bedford City and County",51917,19.8,1712,"1947 of 3139"
"Augusta County",51015,19.9,1762,"1948 of 3139"
"Botetourt County",51023,19.9,561,"1948 of 3139"
"Dinwiddie County",51053,19.9,908,"1948 of 3139"
"Galax City",51640,19.9,374,"1948 of 3139"
"Lancaster County",51103,19.9,259,"1948 of 3139"
"Patrick County",51141,20.0,725,"1963 of 3139"
"Franklin County",51067,20.1,1808,"1976 of 3139"
"Poquoson City",51735,20.3,143,"2007 of 3139"
"Mathews County",51115,20.4,194,"2024 of 3139"
"Henrico County",51087,20.6,8475,"2053 of 3139"
"Warren County",51187,20.6,1065,"2053 of 3139"
"Amelia County",51007,20.7,400,"2073 of 3139"
"Lunenburg County",51111,20.8,549,"2092 of 3139"
"Northumberland County",51133,20.8,322,"2092 of 3139"
"York County",51199,20.8,1083,"2092 of 3139"
"Williamsburg City",51830,21.1,457,"2120 of 3139"
"Westmoreland County",51193,21.2,634,"2133 of 3139"
"Chesterfield County",51041,21.3,6890,"2143 of 3139"
"Shenandoah County",51171,21.3,1383,"2143 of 3139"
"Madison County",51113,21.4,431,"2158 of 3139"
"Spotsylvania County",51177,21.5,3029,"2174 of 3139"
"Hanover County",51085,22.0,1602,"2232 of 3139"
"Harrisonburg City",51660,22.0,3539,"2232 of 3139"
"Louisa County",51109,22.0,1111,"2232 of 3139"
"Falls Church City",51610,22.5,113,"2296 of 3139"
"Nelson County",51125,22.6,504,"2311 of 3139"
"King and Queen County",51097,22.8,251,"2337 of 3139"
"Fluvanna County",51065,22.9,557,"2348 of 3139"
"Orange County",51137,23.1,1014,"2373 of 3139"
"Accomack County",51001,23.4,1686,"2406 of 3139"
"Stafford County",51179,23.6,2304,"2427 of 3139"
"Winchester City",51840,23.6,1420,"2427 of 3139"
"Frederick County",51069,23.7,1960,"2439 of 3139"
"Albemarle County",51003,24.0,2521,"2465 of 3139"
"Charles City County",51036,24.4,242,"2504 of 3139"
"Culpeper County",51047,24.4,1694,"2504 of 3139"
"James City County",51095,24.4,1522,"2504 of 3139"
"Goochland County",51075,25.0,279,"2556 of 3139"
"New Kent County",51127,25.0,355,"2556 of 3139"
"Powhatan County",51145,25.1,444,"2571 of 3139"
"Greene County",51079,25.3,741,"2589 of 3139"
"Highland County",51091,26.2,82,"2649 of 3139"
"Fauquier County",51061,26.3,1325,"2657 of 3139"
"Arlington County",51013,27.1,5024,"2730 of 3139"
"Clarke County",51043,27.1,362,"2730 of 3139"
"Rockingham County",51165,27.8,2947,"2792 of 3139"
"Alexandria City",51510,28.3,5154,"2812 of 3139"
"Prince William County",51153,28.8,12265,"2830 of 3139"
"Rappahannock County",51157,28.8,223,"2830 of 3139"
"Loudoun County",51107,29.0,5333,"2841 of 3139"
"Fairfax County",51059,29.2,24824,"2851 of 3139"
"Manassas City",51683,29.3,1719,"2861 of 3139"
"Manassas Park City",51685,33.0,874,"3005 of 3139"
"Fairfax City",51600,34.8,580,"3060 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
