------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Minnesota",27000,94.8,5206077,"37 of 52"
"Nobles County",27105,73.2,15991,"263 of 3141"
"Watonwan County",27165,76.7,8383,"316 of 3141"
"Kandiyohi County",27067,88.1,37516,"632 of 3141"
"Mower County",27099,89.0,35052,"676 of 3141"
"Freeborn County",27047,90.5,27711,"773 of 3141"
"Sibley County",27143,91.4,13612,"844 of 3141"
"Renville County",27129,92.0,13616,"895 of 3141"
"Rice County",27131,92.1,60122,"901 of 3141"
"Steele County",27147,92.5,33879,"944 of 3141"
"Ramsey County",27123,92.6,497945,"949 of 3141"
"Cottonwood County",27033,92.9,10623,"988 of 3141"
"Hennepin County",27053,93.1,1140704,"1006 of 3141"
"Dakota County",27037,93.2,386635,"1024 of 3141"
"Faribault County",27043,93.6,13068,"1068 of 3141"
"Chippewa County",27023,93.7,11281,"1083 of 3141"
"Lyon County",27083,93.8,24185,"1095 of 3141"
"Polk County",27119,93.8,29608,"1099 of 3141"
"Pipestone County",27117,94.1,8688,"1147 of 3141"
"McLeod County",27085,94.2,33756,"1171 of 3141"
"Le Sueur County",27079,94.3,26213,"1173 of 3141"
"Waseca County",27161,94.3,17813,"1174 of 3141"
"Todd County",27153,94.5,23076,"1217 of 3141"
"Stevens County",27149,95.0,9271,"1314 of 3141"
"Norman County",27107,95.0,6261,"1325 of 3141"
"Scott County",27139,95.1,134512,"1337 of 3141"
"Dodge County",27039,95.1,19480,"1338 of 3141"
"Olmsted County",27109,95.2,144443,"1364 of 3141"
"Swift County",27151,95.5,9020,"1421 of 3141"
"Yellow Medicine County",27173,95.7,9499,"1464 of 3141"
"Clay County",27027,95.7,59352,"1467 of 3141"
"Nicollet County",27103,95.7,32046,"1480 of 3141"
"Anoka County",27003,95.8,330264,"1490 of 3141"
"Marshall County",27089,95.8,9000,"1493 of 3141"
"Martin County",27091,95.9,19255,"1527 of 3141"
"Carver County",27019,95.9,94748,"1535 of 3141"
"Brown County",27015,95.9,24213,"1542 of 3141"
"Washington County",27163,96.1,241132,"1581 of 3141"
"Mahnomen County",27087,96.2,5289,"1604 of 3141"
"Meeker County",27093,96.2,22238,"1628 of 3141"
"Murray County",27101,96.4,8093,"1675 of 3141"
"Pennington County",27113,96.5,13701,"1700 of 3141"
"Red Lake County",27125,96.5,3877,"1704 of 3141"
"Jackson County",27063,96.6,9761,"1731 of 3141"
"Blue Earth County",27013,96.8,63636,"1778 of 3141"
"Otter Tail County",27111,96.8,55920,"1781 of 3141"
"Goodhue County",27049,96.8,44659,"1796 of 3141"
"Stearns County",27145,96.8,150349,"1804 of 3141"
"Redwood County",27127,96.9,14950,"1833 of 3141"
"Wabasha County",27157,97.1,20877,"1939 of 3141"
"Rock County",27133,97.2,9167,"1958 of 3141"
"Pine County",27115,97.2,28243,"1966 of 3141"
"Winona County",27169,97.2,49574,"1978 of 3141"
"Wright County",27171,97.2,127498,"1983 of 3141"
"Sherburne County",27141,97.5,89727,"2121 of 3141"
"Traverse County",27155,97.5,3274,"2132 of 3141"
"Mille Lacs County",27095,97.8,25061,"2246 of 3141"
"Beltrami County",27007,97.8,44829,"2256 of 3141"
"Benton County",27009,97.8,38508,"2287 of 3141"
"Grant County",27051,97.9,5798,"2319 of 3141"
"Lac qui Parle County",27073,97.9,6696,"2323 of 3141"
"Kittson County",27069,97.9,4293,"2343 of 3141"
"Cook County",27031,97.9,5161,"2348 of 3141"
"Chisago County",27025,98.0,53205,"2370 of 3141"
"Clearwater County",27029,98.0,8647,"2377 of 3141"
"Hubbard County",27057,98.0,20330,"2384 of 3141"
"Cass County",27021,98.0,28240,"2399 of 3141"
"Becker County",27005,98.1,32917,"2439 of 3141"
"Isanti County",27059,98.2,37874,"2468 of 3141"
"Wadena County",27159,98.2,13385,"2517 of 3141"
"Lake of the Woods County",27077,98.3,3774,"2527 of 3141"
"Lincoln County",27081,98.3,5625,"2537 of 3141"
"Carlton County",27017,98.3,34807,"2560 of 3141"
"Morrison County",27097,98.4,32362,"2619 of 3141"
"St. Louis County",27137,98.4,197170,"2637 of 3141"
"Kanabec County",27065,98.5,15701,"2648 of 3141"
"Douglas County",27041,98.5,36321,"2649 of 3141"
"Lake County",27075,98.6,10425,"2719 of 3141"
"Crow Wing County",27035,98.6,62587,"2720 of 3141"
"Fillmore County",27045,98.6,20527,"2731 of 3141"
"Big Stone County",27011,98.6,4968,"2748 of 3141"
"Itasca County",27061,98.7,44639,"2789 of 3141"
"Pope County",27121,98.7,10791,"2810 of 3141"
