------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Minnesota",27000,3.0,111960,"10 of 52"
"United States",00000,5.4,11759554,"N/A"
"Cook County",27031,0.7,28,"20 of 3141"
"Lake County",27075,1.0,80,"42 of 3141"
"Carlton County",27017,1.3,310,"82 of 3141"
"Washington County",27163,1.4,2395,"110 of 3141"
"Sherburne County",27141,1.5,864,"118 of 3141"
"Dodge County",27039,1.5,195,"119 of 3141"
"Blue Earth County",27013,1.5,573,"142 of 3141"
"St. Louis County",27137,1.5,2070,"146 of 3141"
"Chisago County",27025,1.5,569,"149 of 3141"
"Wright County",27171,1.5,1300,"158 of 3141"
"Douglas County",27041,1.6,417,"170 of 3141"
"Crow Wing County",27035,1.6,716,"173 of 3141"
"Itasca County",27061,1.6,533,"182 of 3141"
"Carver County",27019,1.7,1062,"193 of 3141"
"Grant County",27051,1.7,72,"210 of 3141"
"Isanti County",27059,1.9,493,"273 of 3141"
"Dakota County",27037,2.0,5634,"334 of 3141"
"Goodhue County",27049,2.0,659,"341 of 3141"
"Houston County",27055,2.0,273,"349 of 3141"
"Clay County",27027,2.1,772,"358 of 3141"
"Hubbard County",27057,2.1,315,"370 of 3141"
"Anoka County",27003,2.2,5020,"402 of 3141"
"Beltrami County",27007,2.2,600,"406 of 3141"
"Koochiching County",27071,2.2,207,"431 of 3141"
"Scott County",27139,2.2,1988,"433 of 3141"
"Cass County",27021,2.2,466,"447 of 3141"
"Pine County",27115,2.4,500,"510 of 3141"
"Pope County",27121,2.4,190,"516 of 3141"
"Aitkin County",27001,2.4,298,"527 of 3141"
"Olmsted County",27109,2.4,2494,"536 of 3141"
"Le Sueur County",27079,2.5,468,"551 of 3141"
"Jackson County",27063,2.5,178,"576 of 3141"
"Kanabec County",27065,2.6,294,"635 of 3141"
"Wabasha County",27157,2.6,402,"644 of 3141"
"Mille Lacs County",27095,2.7,469,"676 of 3141"
"Red Lake County",27125,2.7,75,"695 of 3141"
"Benton County",27009,2.7,720,"720 of 3141"
"Pennington County",27113,2.8,273,"766 of 3141"
"Becker County",27005,2.8,646,"776 of 3141"
"Martin County",27091,2.9,407,"810 of 3141"
