------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"Minnesota",27000,14.6,803718,"35 of 52"
"United States",00000,14.9,47732389,"N/A"
"Scott County",27139,9.6,13567,"3081 of 3141"
"Sherburne County",27141,10.3,9482,"3052 of 3141"
"Carver County",27019,10.4,10302,"3044 of 3141"
"Wright County",27171,11.5,15019,"2955 of 3141"
"Anoka County",27003,12.5,43117,"2841 of 3141"
"Dakota County",27037,12.6,52234,"2823 of 3141"
"Clay County",27027,12.7,7875,"2809 of 3141"
"Blue Earth County",27013,12.8,8451,"2777 of 3141"
"Hennepin County",27053,12.9,158332,"2767 of 3141"
"Benton County",27009,13.2,5210,"2712 of 3141"
"Washington County",27163,13.3,33303,"2709 of 3141"
"Ramsey County",27123,13.4,71903,"2697 of 3141"
"Dodge County",27039,13.7,2804,"2659 of 3141"
"Stearns County",27145,13.8,21391,"2642 of 3141"
"Chisago County",27025,14.0,7627,"2589 of 3141"
"Olmsted County",27109,14.2,21498,"2558 of 3141"
"Rice County",27131,14.4,9407,"2509 of 3141"
"Isanti County",27059,14.5,5593,"2493 of 3141"
"Beltrami County",27007,14.7,6724,"2456 of 3141"
"Nicollet County",27103,14.7,4933,"2440 of 3141"
"Lyon County",27083,14.7,3801,"2439 of 3141"
"Winona County",27169,15.5,7889,"2262 of 3141"
"Nobles County",27105,15.5,3382,"2261 of 3141"
"Roseau County",27135,15.7,2447,"2179 of 3141"
"Steele County",27147,16.2,5941,"2032 of 3141"
"Waseca County",27161,16.4,3108,"1960 of 3141"
"Carlton County",27017,16.5,5835,"1949 of 3141"
"Le Sueur County",27079,16.5,4588,"1941 of 3141"
"Mahnomen County",27087,17.0,933,"1784 of 3141"
"Stevens County",27149,17.2,1675,"1728 of 3141"
"Pennington County",27113,17.2,2448,"1696 of 3141"
"Polk County",27119,17.4,5500,"1629 of 3141"
"Kandiyohi County",27067,17.5,7448,"1613 of 3141"
"Sibley County",27143,17.5,2605,"1612 of 3141"
"Mille Lacs County",27095,17.5,4487,"1608 of 3141"
"McLeod County",27085,17.7,6351,"1530 of 3141"
"St. Louis County",27137,17.7,35541,"1521 of 3141"
"Morrison County",27097,18.0,5923,"1444 of 3141"
"Goodhue County",27049,18.1,8369,"1407 of 3141"
"Mower County",27099,18.3,7194,"1364 of 3141"
"Wilkin County",27167,18.4,1177,"1327 of 3141"
"Meeker County",27093,18.4,4255,"1322 of 3141"
"Pine County",27115,18.9,5489,"1162 of 3141"
"Red Lake County",27125,19.0,764,"1129 of 3141"
"Kanabec County",27065,19.3,3080,"1037 of 3141"
"Watonwan County",27165,19.4,2119,"1017 of 3141"
"Becker County",27005,19.4,6518,"1005 of 3141"
"Rock County",27133,19.5,1836,"993 of 3141"
"Yellow Medicine County",27173,19.7,1954,"947 of 3141"
"Clearwater County",27029,19.7,1742,"929 of 3141"
"Houston County",27055,20.0,3734,"881 of 3141"
"Fillmore County",27045,20.1,4180,"843 of 3141"
"Brown County",27015,20.1,5076,"832 of 3141"
"Wabasha County",27157,20.1,4322,"830 of 3141"
"Renville County",27129,20.1,2979,"825 of 3141"
"Marshall County",27089,20.1,1893,"821 of 3141"
"Todd County",27153,20.2,4924,"820 of 3141"
"Chippewa County",27023,20.3,2446,"781 of 3141"
"Pipestone County",27117,20.4,1883,"764 of 3141"
"Jackson County",27063,20.4,2066,"753 of 3141"
"Redwood County",27127,20.9,3229,"654 of 3141"
"Crow Wing County",27035,21.0,13321,"645 of 3141"
"Wadena County",27159,21.1,2871,"629 of 3141"
"Norman County",27107,21.3,1404,"595 of 3141"
"Swift County",27151,21.3,2017,"586 of 3141"
"Itasca County",27061,21.4,9683,"575 of 3141"
"Douglas County",27041,21.6,7967,"547 of 3141"
"Freeborn County",27047,21.7,6643,"528 of 3141"
"Lake of the Woods County",27077,22.0,846,"488 of 3141"
"Cottonwood County",27033,22.2,2538,"466 of 3141"
"Martin County",27091,22.2,4462,"461 of 3141"
"Koochiching County",27071,22.2,2839,"460 of 3141"
"Faribault County",27043,22.3,3114,"449 of 3141"
"Otter Tail County",27111,22.5,12979,"436 of 3141"
"Pope County",27121,22.9,2505,"386 of 3141"
"Grant County",27051,23.1,1366,"373 of 3141"
"Kittson County",27069,23.4,1027,"344 of 3141"
"Hubbard County",27057,24.0,4985,"291 of 3141"
"Cass County",27021,24.3,6987,"270 of 3141"
"Lake County",27075,24.4,2584,"255 of 3141"
"Lincoln County",27081,24.5,1401,"249 of 3141"
"Murray County",27101,24.6,2063,"240 of 3141"
"Big Stone County",27011,25.2,1269,"201 of 3141"
"Lac qui Parle County",27073,25.4,1736,"193 of 3141"
"Traverse County",27155,25.4,853,"190 of 3141"
"Cook County",27031,26.1,1378,"149 of 3141"
"Aitkin County",27001,31.4,4977,"29 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
