------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Minnesota",27000,49.8,2731831,"39 of 52"
"Waseca County",27161,47.5,8978,"139 of 3141"
"Pipestone County",27117,48.6,4481,"519 of 3141"
"Ramsey County",27123,48.7,261783,"592 of 3141"
"Olmsted County",27109,48.9,74208,"812 of 3141"
"Rock County",27133,49.2,4641,"1088 of 3141"
"Dakota County",27037,49.2,204016,"1091 of 3141"
"Clay County",27027,49.3,30613,"1249 of 3141"
"Hennepin County",27053,49.4,604629,"1283 of 3141"
"Winona County",27169,49.4,25183,"1322 of 3141"
"Big Stone County",27011,49.4,2489,"1335 of 3141"
"Cottonwood County",27033,49.5,5660,"1448 of 3141"
"Washington County",27163,49.5,124207,"1449 of 3141"
"Cook County",27031,49.5,2609,"1466 of 3141"
"Traverse County",27155,49.5,1663,"1506 of 3141"
"Wadena County",27159,49.6,6757,"1561 of 3141"
"Beltrami County",27007,49.7,22775,"1641 of 3141"
"Carver County",27019,49.7,49086,"1649 of 3141"
"Becker County",27005,49.7,16672,"1662 of 3141"
"Stevens County",27149,49.7,4850,"1670 of 3141"
"Brown County",27015,49.7,12550,"1692 of 3141"
"Murray County",27101,49.8,4178,"1745 of 3141"
"Steele County",27147,49.8,18225,"1750 of 3141"
"Chippewa County",27023,49.8,5994,"1753 of 3141"
"McLeod County",27085,49.8,17850,"1796 of 3141"
"Scott County",27139,49.8,70509,"1800 of 3141"
"Martin County",27091,49.9,10015,"1818 of 3141"
"Lac qui Parle County",27073,49.9,3411,"1821 of 3141"
"Goodhue County",27049,49.9,23014,"1834 of 3141"
"Wabasha County",27157,49.9,10729,"1873 of 3141"
"Benton County",27009,49.9,19652,"1877 of 3141"
"Faribault County",27043,49.9,6975,"1896 of 3141"
"Koochiching County",27071,50.0,6384,"1918 of 3141"
"Freeborn County",27047,50.0,15312,"1955 of 3141"
"Anoka County",27003,50.0,172482,"1962 of 3141"
"Crow Wing County",27035,50.0,31769,"1969 of 3141"
"Nicollet County",27103,50.0,16748,"1970 of 3141"
"Lyon County",27083,50.0,12902,"1971 of 3141"
"Houston County",27055,50.1,9371,"2012 of 3141"
"Swift County",27151,50.1,4733,"2024 of 3141"
"Mille Lacs County",27095,50.1,12847,"2038 of 3141"
"Pennington County",27113,50.1,7115,"2039 of 3141"
"Mower County",27099,50.1,19742,"2043 of 3141"
"Fillmore County",27045,50.2,10448,"2088 of 3141"
"Douglas County",27041,50.2,18510,"2092 of 3141"
"Grant County",27051,50.2,2972,"2096 of 3141"
"Hubbard County",27057,50.2,10411,"2106 of 3141"
"St. Louis County",27137,50.2,100596,"2135 of 3141"
"Wilkin County",27167,50.2,3214,"2147 of 3141"
"Kandiyohi County",27067,50.3,21398,"2164 of 3141"
"Blue Earth County",27013,50.3,33054,"2166 of 3141"
"Otter Tail County",27111,50.3,29049,"2172 of 3141"
"Dodge County",27039,50.3,10301,"2187 of 3141"
"Stearns County",27145,50.3,78126,"2202 of 3141"
"Mahnomen County",27087,50.3,2767,"2204 of 3141"
"Lincoln County",27081,50.3,2882,"2231 of 3141"
"Wright County",27171,50.4,66046,"2248 of 3141"
"Watonwan County",27165,50.4,5511,"2267 of 3141"
"Jackson County",27063,50.4,5097,"2298 of 3141"
"Isanti County",27059,50.5,19491,"2332 of 3141"
"Morrison County",27097,50.5,16616,"2341 of 3141"
"Sibley County",27143,50.6,7530,"2356 of 3141"
"Red Lake County",27125,50.6,2033,"2373 of 3141"
"Meeker County",27093,50.6,11697,"2384 of 3141"
"Norman County",27107,50.6,3337,"2395 of 3141"
"Le Sueur County",27079,50.7,14086,"2401 of 3141"
"Polk County",27119,50.7,15988,"2403 of 3141"
"Marshall County",27089,50.7,4761,"2412 of 3141"
"Redwood County",27127,50.7,7819,"2414 of 3141"
"Pope County",27121,50.7,5540,"2417 of 3141"
"Itasca County",27061,50.7,22941,"2437 of 3141"
"Kittson County",27069,50.8,2226,"2471 of 3141"
"Kanabec County",27065,50.8,8101,"2475 of 3141"
"Clearwater County",27029,50.8,4485,"2485 of 3141"
"Renville County",27129,50.9,7535,"2512 of 3141"
"Aitkin County",27001,51.0,8079,"2537 of 3141"
"Rice County",27131,51.0,33283,"2538 of 3141"
"Cass County",27021,51.0,14698,"2543 of 3141"
"Sherburne County",27141,51.1,46991,"2559 of 3141"
"Lake County",27075,51.3,5426,"2631 of 3141"
"Yellow Medicine County",27173,51.3,5096,"2637 of 3141"
"Nobles County",27105,51.3,11219,"2643 of 3141"
"Todd County",27153,51.4,12545,"2652 of 3141"
"Roseau County",27135,51.5,8004,"2686 of 3141"
"Chisago County",27025,51.8,28102,"2733 of 3141"
"Carlton County",27017,52.2,18500,"2823 of 3141"
"Lake of the Woods County",27077,52.5,2016,"2857 of 3141"
"Pine County",27115,53.3,15497,"2926 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
