------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Minnesota",27000,50.2,2758895,"14 of 52"
"United States",00000,50.8,162985654,"N/A"
"Pine County",27115,46.7,13560,"216 of 3141"
"Lake of the Woods County",27077,47.5,1825,"285 of 3141"
"Carlton County",27017,47.8,16908,"319 of 3141"
"Chisago County",27025,48.2,26195,"409 of 3141"
"Roseau County",27135,48.5,7533,"456 of 3141"
"Todd County",27153,48.6,11878,"490 of 3141"
"Nobles County",27105,48.7,10635,"499 of 3141"
"Yellow Medicine County",27173,48.7,4834,"505 of 3141"
"Lake County",27075,48.7,5152,"511 of 3141"
"Sherburne County",27141,48.9,45033,"583 of 3141"
"Cass County",27021,49.0,14112,"599 of 3141"
"Rice County",27131,49.0,31968,"604 of 3141"
"Aitkin County",27001,49.0,7762,"605 of 3141"
"Renville County",27129,49.1,7263,"630 of 3141"
"Clearwater County",27029,49.2,4339,"657 of 3141"
"Kanabec County",27065,49.2,7847,"667 of 3141"
"Kittson County",27069,49.2,2158,"671 of 3141"
"Itasca County",27061,49.3,22296,"705 of 3141"
"Pope County",27121,49.3,5392,"725 of 3141"
"Redwood County",27127,49.3,7611,"728 of 3141"
"Marshall County",27089,49.3,4636,"730 of 3141"
"Polk County",27119,49.3,15576,"739 of 3141"
"Le Sueur County",27079,49.3,13724,"741 of 3141"
"Norman County",27107,49.4,3252,"747 of 3141"
"Meeker County",27093,49.4,11408,"758 of 3141"
"Red Lake County",27125,49.4,1984,"769 of 3141"
"Sibley County",27143,49.4,7358,"786 of 3141"
"Morrison County",27097,49.5,16264,"801 of 3141"
"Isanti County",27059,49.5,19093,"810 of 3141"
"Jackson County",27063,49.6,5007,"844 of 3141"
"Watonwan County",27165,49.6,5425,"875 of 3141"
"Wright County",27171,49.6,65084,"893 of 3141"
"Lincoln County",27081,49.7,2842,"911 of 3141"
"Mahnomen County",27087,49.7,2733,"938 of 3141"
"Stearns County",27145,49.7,77174,"940 of 3141"
"Dodge County",27039,49.7,10184,"955 of 3141"
"Otter Tail County",27111,49.7,28741,"970 of 3141"
"Blue Earth County",27013,49.7,32713,"975 of 3141"
"Kandiyohi County",27067,49.7,21179,"978 of 3141"
"Wilkin County",27167,49.8,3184,"995 of 3141"
"St. Louis County",27137,49.8,99698,"1006 of 3141"
"Hubbard County",27057,49.8,10332,"1036 of 3141"
"Grant County",27051,49.8,2951,"1046 of 3141"
"Douglas County",27041,49.8,18381,"1050 of 3141"
"Fillmore County",27045,49.8,10377,"1054 of 3141"
"Mower County",27099,49.9,19644,"1099 of 3141"
"Pennington County",27113,49.9,7082,"1103 of 3141"
"Mille Lacs County",27095,49.9,12788,"1104 of 3141"
"Swift County",27151,49.9,4715,"1118 of 3141"
"Houston County",27055,49.9,9338,"1130 of 3141"
"Lyon County",27083,50.0,12887,"1171 of 3141"
"Nicollet County",27103,50.0,16729,"1172 of 3141"
"Crow Wing County",27035,50.0,31736,"1173 of 3141"
"Anoka County",27003,50.0,172379,"1180 of 3141"
"Freeborn County",27047,50.0,15307,"1187 of 3141"
"Koochiching County",27071,50.0,6392,"1224 of 3141"
"Faribault County",27043,50.1,6991,"1245 of 3141"
"Benton County",27009,50.1,19708,"1265 of 3141"
"Wabasha County",27157,50.1,10761,"1269 of 3141"
"Goodhue County",27049,50.1,23124,"1308 of 3141"
"Lac qui Parle County",27073,50.1,3429,"1321 of 3141"
"Martin County",27091,50.1,10069,"1324 of 3141"
"Scott County",27139,50.2,70954,"1342 of 3141"
"McLeod County",27085,50.2,17966,"1346 of 3141"
"Chippewa County",27023,50.2,6046,"1388 of 3141"
"Steele County",27147,50.2,18387,"1392 of 3141"
"Murray County",27101,50.2,4216,"1397 of 3141"
"Brown County",27015,50.3,12693,"1450 of 3141"
"Stevens County",27149,50.3,4909,"1472 of 3141"
"Becker County",27005,50.3,16880,"1480 of 3141"
"Carver County",27019,50.3,49713,"1493 of 3141"
"Beltrami County",27007,50.3,23072,"1501 of 3141"
"Wadena County",27159,50.4,6869,"1581 of 3141"
"Traverse County",27155,50.5,1694,"1636 of 3141"
