------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Minnesota",27000,4.7,257911,"12 of 52"
"United States",00000,5.5,17756436,"N/A"
"Big Stone County",27011,0.0,0,"2927 of 3141"
"Wilkin County",27167,0.0,0,"2927 of 3141"
"Lake County",27075,0.1,8,"2828 of 3141"
"Grant County",27051,0.1,5,"2815 of 3141"
"Douglas County",27041,0.1,37,"2777 of 3141"
"Lincoln County",27081,0.2,11,"2599 of 3141"
"Faribault County",27043,0.3,36,"2475 of 3141"
"Marshall County",27089,0.3,28,"2398 of 3141"
"Traverse County",27155,0.3,11,"2329 of 3141"
"Kittson County",27069,0.4,16,"2243 of 3141"
"Meeker County",27093,0.4,87,"2215 of 3141"
"Wabasha County",27157,0.4,81,"2211 of 3141"
"Wadena County",27159,0.4,53,"2177 of 3141"
"Aitkin County",27001,0.4,64,"2142 of 3141"
"Pope County",27121,0.4,45,"2117 of 3141"
"Swift County",27151,0.4,39,"2113 of 3141"
"Todd County",27153,0.4,104,"2081 of 3141"
"Itasca County",27061,0.4,194,"2070 of 3141"
"Lac qui Parle County",27073,0.4,30,"2046 of 3141"
"Le Sueur County",27079,0.4,123,"2036 of 3141"
"Crow Wing County",27035,0.4,281,"2034 of 3141"
"Red Lake County",27125,0.4,18,"2018 of 3141"
"Kanabec County",27065,0.5,74,"1979 of 3141"
"Fillmore County",27045,0.5,104,"1883 of 3141"
"Renville County",27129,0.5,74,"1879 of 3141"
"Morrison County",27097,0.5,166,"1863 of 3141"
"Carlton County",27017,0.5,180,"1859 of 3141"
"Houston County",27055,0.5,96,"1852 of 3141"
"Koochiching County",27071,0.5,68,"1805 of 3141"
"Goodhue County",27049,0.5,252,"1762 of 3141"
"Norman County",27107,0.6,38,"1710 of 3141"
"Clearwater County",27029,0.6,51,"1707 of 3141"
"Becker County",27005,0.6,195,"1702 of 3141"
"McLeod County",27085,0.6,214,"1674 of 3141"
"Waseca County",27161,0.6,113,"1672 of 3141"
"Yellow Medicine County",27173,0.6,60,"1656 of 3141"
"Pine County",27115,0.6,178,"1638 of 3141"
"Hubbard County",27057,0.6,131,"1596 of 3141"
"Otter Tail County",27111,0.6,369,"1579 of 3141"
"Cass County",27021,0.7,191,"1538 of 3141"
"Sibley County",27143,0.7,101,"1512 of 3141"
"Lake of the Woods County",27077,0.8,29,"1356 of 3141"
"Dodge County",27039,0.8,157,"1344 of 3141"
"Brown County",27015,0.8,201,"1302 of 3141"
"Cook County",27031,0.8,42,"1297 of 3141"
"Mahnomen County",27087,0.8,44,"1293 of 3141"
"Kandiyohi County",27067,0.8,347,"1277 of 3141"
"Mille Lacs County",27095,0.8,216,"1250 of 3141"
"Polk County",27119,0.9,280,"1190 of 3141"
"Beltrami County",27007,0.9,418,"1167 of 3141"
"Pennington County",27113,0.9,131,"1152 of 3141"
"Pipestone County",27117,0.9,87,"1134 of 3141"
"Martin County",27091,0.9,190,"1132 of 3141"
"Watonwan County",27165,1.0,106,"1104 of 3141"
"Chisago County",27025,1.0,529,"1101 of 3141"
"Rock County",27133,1.0,94,"1082 of 3141"
"Isanti County",27059,1.0,403,"1026 of 3141"
"Benton County",27009,1.1,425,"995 of 3141"
"Murray County",27101,1.1,94,"962 of 3141"
"Clay County",27027,1.1,706,"951 of 3141"
"St. Louis County",27137,1.1,2283,"949 of 3141"
"Sherburne County",27141,1.2,1064,"930 of 3141"
"Wright County",27171,1.2,1529,"925 of 3141"
"Steele County",27147,1.2,452,"866 of 3141"
"Nicollet County",27103,1.6,550,"650 of 3141"
"Chippewa County",27023,1.8,211,"612 of 3141"
"Freeborn County",27047,1.9,588,"565 of 3141"
"Stevens County",27149,2.1,208,"503 of 3141"
"Blue Earth County",27013,2.2,1414,"497 of 3141"
"Stearns County",27145,2.2,3372,"490 of 3141"
"Rice County",27131,2.2,1462,"477 of 3141"
"Mower County",27099,2.4,964,"438 of 3141"
"Jackson County",27063,2.6,259,"409 of 3141"
"Carver County",27019,2.6,2590,"397 of 3141"
"Roseau County",27135,2.7,418,"381 of 3141"
"Winona County",27169,2.7,1381,"379 of 3141"
"Redwood County",27127,3.0,457,"338 of 3141"
"Cottonwood County",27033,3.1,354,"316 of 3141"
"Lyon County",27083,3.8,970,"248 of 3141"
"Anoka County",27003,4.3,14807,"206 of 3141"
"Dakota County",27037,4.8,19785,"175 of 3141"
"Washington County",27163,5.4,13607,"142 of 3141"
"Olmsted County",27109,5.8,8832,"126 of 3141"
"Scott County",27139,6.1,8620,"111 of 3141"
"Nobles County",27105,6.3,1380,"105 of 3141"
"Hennepin County",27053,7.0,86216,"86 of 3141"
"Ramsey County",27123,14.1,75713,"33 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
