------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"United States",00000,32.4,104105673,"N/A"
"Minnesota",27000,32.8,1798407,"32 of 52"
"Stevens County",27149,25.9,2531,"72 of 3141"
"Blue Earth County",27013,26.0,17105,"74 of 3141"
"Clay County",27027,27.8,17231,"167 of 3141"
"Beltrami County",27007,28.5,13055,"230 of 3141"
"Mahnomen County",27087,29.0,1594,"275 of 3141"
"Stearns County",27145,29.4,45699,"316 of 3141"
"Winona County",27169,29.4,15017,"319 of 3141"
"Nobles County",27105,29.9,6533,"383 of 3141"
"Lyon County",27083,29.9,7712,"384 of 3141"
"Ramsey County",27123,30.0,161441,"398 of 3141"
"Watonwan County",27165,30.6,3341,"498 of 3141"
"Wadena County",27159,30.6,4172,"509 of 3141"
"Cottonwood County",27033,30.8,3526,"559 of 3141"
"Mower County",27099,30.9,12166,"569 of 3141"
"Benton County",27009,31.1,12254,"630 of 3141"
"Nicollet County",27103,31.2,10444,"647 of 3141"
"Polk County",27119,31.3,9872,"666 of 3141"
"Rice County",27131,31.6,20600,"764 of 3141"
"Rock County",27133,31.7,2986,"792 of 3141"
"Pipestone County",27117,31.9,2941,"860 of 3141"
"Grant County",27051,31.9,1888,"866 of 3141"
"Chippewa County",27023,31.9,3842,"876 of 3141"
"Kandiyohi County",27067,32.0,13612,"898 of 3141"
"Pennington County",27113,32.0,4546,"915 of 3141"
"Olmsted County",27109,32.1,48682,"940 of 3141"
"Hennepin County",27053,32.1,393216,"947 of 3141"
"Swift County",27151,32.1,3034,"952 of 3141"
"Douglas County",27041,32.3,11903,"1019 of 3141"
"Lincoln County",27081,32.4,1852,"1053 of 3141"
"Fillmore County",27045,32.4,6746,"1070 of 3141"
"Redwood County",27127,32.4,5003,"1088 of 3141"
"Brown County",27015,32.5,8213,"1126 of 3141"
"Mille Lacs County",27095,32.6,8358,"1155 of 3141"
"Martin County",27091,32.6,6553,"1164 of 3141"
"McLeod County",27085,32.7,11700,"1179 of 3141"
"Becker County",27005,32.7,10978,"1202 of 3141"
"Wright County",27171,32.9,43079,"1263 of 3141"
"Red Lake County",27125,32.9,1321,"1282 of 3141"
