------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Minnesota",27000,7.2,267049,"3 of 52"
"United States",00000,12.7,27437114,"N/A"
"Carver County",27019,3.9,2457,"32 of 3141"
"Washington County",27163,3.9,6519,"33 of 3141"
"Cook County",27031,4.1,171,"43 of 3141"
"Lake County",27075,4.2,338,"49 of 3141"
"Scott County",27139,5.1,4614,"112 of 3141"
"Douglas County",27041,5.2,1366,"117 of 3141"
"Clay County",27027,5.3,1974,"124 of 3141"
"Dakota County",27037,5.3,14799,"131 of 3141"
"Dodge County",27039,5.3,714,"133 of 3141"
"Olmsted County",27109,5.5,5603,"143 of 3141"
"Sherburne County",27141,5.5,3260,"146 of 3141"
"Blue Earth County",27013,5.6,2114,"152 of 3141"
"Wright County",27171,5.6,4716,"159 of 3141"
"Houston County",27055,5.8,767,"171 of 3141"
"Chisago County",27025,6.0,2228,"190 of 3141"
"Carlton County",27017,6.1,1511,"210 of 3141"
"Goodhue County",27049,6.2,2007,"224 of 3141"
"Pope County",27121,6.3,498,"240 of 3141"
"Anoka County",27003,6.3,14736,"244 of 3141"
"St. Louis County",27137,6.4,8664,"252 of 3141"
"Nicollet County",27103,6.5,1411,"269 of 3141"
"Itasca County",27061,6.6,2137,"288 of 3141"
"Crow Wing County",27035,6.6,2971,"294 of 3141"
"Red Lake County",27125,6.7,186,"304 of 3141"
"Lac qui Parle County",27073,6.7,337,"306 of 3141"
"Hennepin County",27053,7.0,59142,"343 of 3141"
"Grant County",27051,7.2,302,"372 of 3141"
"Waseca County",27161,7.2,931,"374 of 3141"
"Wilkin County",27167,7.2,323,"375 of 3141"
"Winona County",27169,7.2,2253,"383 of 3141"
"Kittson County",27069,7.2,226,"384 of 3141"
"Hubbard County",27057,7.3,1100,"396 of 3141"
"Koochiching County",27071,7.4,693,"411 of 3141"
"Becker County",27005,7.4,1696,"423 of 3141"
"Martin County",27091,7.5,1061,"443 of 3141"
"Pennington County",27113,7.5,735,"463 of 3141"
"Steele County",27147,7.5,1847,"464 of 3141"
"Stevens County",27149,7.6,436,"472 of 3141"
"Lyon County",27083,7.6,1256,"475 of 3141"
"Jackson County",27063,7.6,541,"484 of 3141"
"Wabasha County",27157,7.6,1170,"493 of 3141"
"Meeker County",27093,7.7,1222,"510 of 3141"
"Benton County",27009,7.8,2048,"519 of 3141"
"Roseau County",27135,7.8,821,"529 of 3141"
"McLeod County",27085,7.9,1945,"535 of 3141"
"Stearns County",27145,8.0,7636,"576 of 3141"
"Isanti County",27059,8.3,2170,"635 of 3141"
"Brown County",27015,8.3,1441,"649 of 3141"
"Le Sueur County",27079,8.4,1592,"655 of 3141"
"Lincoln County",27081,8.5,343,"672 of 3141"
"Cass County",27021,8.6,1792,"694 of 3141"
"Otter Tail County",27111,8.7,3572,"719 of 3141"
"Aitkin County",27001,8.7,1075,"724 of 3141"
"Polk County",27119,8.7,1843,"725 of 3141"
"Fillmore County",27045,8.8,1260,"744 of 3141"
"Beltrami County",27007,9.0,2505,"790 of 3141"
"Traverse County",27155,9.0,218,"791 of 3141"
"Norman County",27107,9.2,420,"831 of 3141"
"Faribault County",27043,9.2,927,"844 of 3141"
"Yellow Medicine County",27173,9.3,643,"866 of 3141"
"Rock County",27133,9.5,608,"913 of 3141"
"Rice County",27131,9.6,3950,"934 of 3141"
"Sibley County",27143,9.6,984,"943 of 3141"
"Chippewa County",27023,9.7,805,"962 of 3141"
"Cottonwood County",27033,9.7,769,"970 of 3141"
"Ramsey County",27123,9.9,35085,"991 of 3141"
"Lake of the Woods County",27077,10.0,285,"1033 of 3141"
"Mille Lacs County",27095,10.2,1788,"1080 of 3141"
"Freeborn County",27047,10.3,2243,"1092 of 3141"
"Redwood County",27127,10.3,1082,"1094 of 3141"
"Morrison County",27097,10.4,2368,"1140 of 3141"
"Murray County",27101,10.4,632,"1142 of 3141"
"Pine County",27115,10.6,2225,"1178 of 3141"
"Kanabec County",27065,10.6,1198,"1187 of 3141"
"Wadena County",27159,10.6,984,"1196 of 3141"
"Swift County",27151,10.9,725,"1241 of 3141"
"Big Stone County",27011,11.1,409,"1298 of 3141"
"Renville County",27129,11.2,1160,"1310 of 3141"
"Marshall County",27089,11.4,744,"1357 of 3141"
"Kandiyohi County",27067,11.5,3307,"1388 of 3141"
"Todd County",27153,13.0,2178,"1676 of 3141"
"Pipestone County",27117,13.2,827,"1701 of 3141"
"Mower County",27099,13.4,3563,"1745 of 3141"
"Mahnomen County",27087,14.0,470,"1831 of 3141"
"Clearwater County",27029,14.2,858,"1869 of 3141"
"Watonwan County",27165,16.5,1212,"2199 of 3141"
"Nobles County",27105,23.7,3307,"2902 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
