------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"Minnesota",27000,29.2,1602263,"26 of 52"
"United States",00000,29.8,95565066,"N/A"
"Aitkin County",27001,17.1,2715,"43 of 3141"
"Lac qui Parle County",27073,19.3,1320,"137 of 3141"
"Hubbard County",27057,19.9,4132,"180 of 3141"
"Cass County",27021,20.1,5789,"190 of 3141"
"Lincoln County",27081,20.1,1152,"195 of 3141"
"Lake of the Woods County",27077,20.3,778,"207 of 3141"
"Murray County",27101,20.4,1712,"224 of 3141"
"Lake County",27075,20.5,2164,"227 of 3141"
"Kittson County",27069,20.5,900,"235 of 3141"
"Cook County",27031,20.6,1083,"238 of 3141"
"Traverse County",27155,20.7,696,"254 of 3141"
"Koochiching County",27071,20.7,2650,"255 of 3141"
"Big Stone County",27011,21.0,1059,"299 of 3141"
"Norman County",27107,21.0,1385,"300 of 3141"
"Otter Tail County",27111,21.3,12301,"328 of 3141"
"Clearwater County",27029,21.8,1925,"401 of 3141"
"Wilkin County",27167,22.0,1406,"431 of 3141"
"Pope County",27121,22.0,2403,"432 of 3141"
"Itasca County",27061,22.5,10169,"549 of 3141"
"Faribault County",27043,22.5,3146,"562 of 3141"
"Wabasha County",27157,22.6,4865,"587 of 3141"
"Houston County",27055,22.7,4244,"595 of 3141"
"Todd County",27153,22.8,5574,"639 of 3141"
"Redwood County",27127,22.8,3524,"641 of 3141"
"Renville County",27129,22.9,3383,"647 of 3141"
"Pipestone County",27117,22.9,2117,"673 of 3141"
"Grant County",27051,23.0,1361,"684 of 3141"
"Cottonwood County",27033,23.0,2630,"689 of 3141"
"Mahnomen County",27087,23.0,1265,"692 of 3141"
"Jackson County",27063,23.0,2327,"703 of 3141"
"Kanabec County",27065,23.1,3681,"717 of 3141"
"Freeborn County",27047,23.1,7082,"730 of 3141"
"Meeker County",27093,23.2,5351,"738 of 3141"
"Becker County",27005,23.3,7804,"766 of 3141"
"Fillmore County",27045,23.3,4858,"778 of 3141"
"Martin County",27091,23.4,4701,"794 of 3141"
"Red Lake County",27125,23.5,942,"803 of 3141"
"Wadena County",27159,23.5,3208,"837 of 3141"
"Sibley County",27143,23.5,3506,"839 of 3141"
"Crow Wing County",27035,23.6,14997,"858 of 3141"
"Roseau County",27135,23.7,3679,"875 of 3141"
"Rock County",27133,23.8,2241,"900 of 3141"
"Marshall County",27089,24.0,2253,"962 of 3141"
"Yellow Medicine County",27173,24.2,2400,"1030 of 3141"
"Goodhue County",27049,24.2,11167,"1038 of 3141"
"Swift County",27151,24.3,2296,"1066 of 3141"
"Pine County",27115,24.4,7093,"1090 of 3141"
"Le Sueur County",27079,24.5,6823,"1125 of 3141"
"Chippewa County",27023,24.6,2961,"1151 of 3141"
"Morrison County",27097,24.8,8147,"1228 of 3141"
"Douglas County",27041,24.8,9144,"1233 of 3141"
"Brown County",27015,25.4,6424,"1472 of 3141"
"Dodge County",27039,25.5,5218,"1484 of 3141"
"Chisago County",27025,25.5,13834,"1486 of 3141"
"Mille Lacs County",27095,25.5,6540,"1499 of 3141"
"Steele County",27147,25.6,9355,"1510 of 3141"
"Washington County",27163,25.9,64973,"1618 of 3141"
"Watonwan County",27165,25.9,2834,"1629 of 3141"
"Carlton County",27017,26.0,9219,"1666 of 3141"
"McLeod County",27085,26.1,9341,"1676 of 3141"
"Mower County",27099,26.1,10281,"1686 of 3141"
"Isanti County",27059,26.3,10143,"1744 of 3141"
"Kandiyohi County",27067,26.4,11257,"1786 of 3141"
"Carver County",27019,26.4,26125,"1788 of 3141"
"Waseca County",27161,26.9,5078,"1928 of 3141"
"Wright County",27171,27.1,35533,"1998 of 3141"
"Scott County",27139,27.5,38879,"2104 of 3141"
"Polk County",27119,27.5,8683,"2112 of 3141"
"Pennington County",27113,27.7,3928,"2152 of 3141"
"Nobles County",27105,28.0,6128,"2230 of 3141"
"Anoka County",27003,28.0,96730,"2233 of 3141"
"Dakota County",27037,28.1,116694,"2256 of 3141"
"Sherburne County",27141,28.9,26609,"2428 of 3141"
"Olmsted County",27109,29.0,44012,"2446 of 3141"
"St. Louis County",27137,29.5,59098,"2533 of 3141"
"Lyon County",27083,30.5,7870,"2673 of 3141"
"Benton County",27009,30.6,12047,"2688 of 3141"
"Beltrami County",27007,31.5,14453,"2782 of 3141"
"Nicollet County",27103,31.9,10685,"2815 of 3141"
"Rice County",27131,32.0,20849,"2817 of 3141"
"Hennepin County",27053,32.8,401765,"2870 of 3141"
"Ramsey County",27123,33.3,179014,"2903 of 3141"
"Stearns County",27145,33.8,52483,"2926 of 3141"
"Clay County",27027,35.8,22185,"2987 of 3141"
"Stevens County",27149,36.1,3527,"3005 of 3141"
"Winona County",27169,36.7,18737,"3020 of 3141"
"Blue Earth County",27013,41.4,27223,"3089 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 18-39, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
