------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Minnesota",27000,83.7,4598252,"19 of 52"
"Mahnomen County",27087,46.6,2562,"2982 of 3141"
"Ramsey County",27123,67.3,362213,"2648 of 3141"
"Hennepin County",27053,73.1,894712,"2484 of 3141"
"Beltrami County",27007,73.5,33693,"2466 of 3141"
"Nobles County",27105,78.1,17069,"2302 of 3141"
"Dakota County",27037,83.1,344459,"2062 of 3141"
"Scott County",27139,84.5,119466,"1997 of 3141"
"Anoka County",27003,84.6,291758,"1993 of 3141"
"Cass County",27021,84.6,24385,"1990 of 3141"
"Olmsted County",27109,84.7,128436,"1987 of 3141"
"Clearwater County",27029,86.3,7617,"1891 of 3141"
"Washington County",27163,86.4,216738,"1888 of 3141"
"Cook County",27031,87.0,4587,"1836 of 3141"
"Watonwan County",27165,87.4,9556,"1818 of 3141"
"Becker County",27005,87.7,29436,"1786 of 3141"
"Rice County",27131,87.9,57383,"1763 of 3141"
"Lyon County",27083,88.1,22719,"1750 of 3141"
"Kandiyohi County",27067,88.1,37521,"1746 of 3141"
"Redwood County",27127,88.8,13700,"1665 of 3141"
"Carlton County",27017,89.4,31641,"1613 of 3141"
"Stearns County",27145,89.5,138964,"1602 of 3141"
"Cottonwood County",27033,90.1,10304,"1550 of 3141"
"Mower County",27099,90.3,35570,"1528 of 3141"
"Mille Lacs County",27095,90.7,23261,"1489 of 3141"
"Steele County",27147,90.9,33268,"1472 of 3141"
"Pine County",27115,91.4,26555,"1407 of 3141"
"Blue Earth County",27013,91.5,60187,"1391 of 3141"
"Clay County",27027,91.6,56814,"1380 of 3141"
"Renville County",27129,91.8,13585,"1348 of 3141"
"St. Louis County",27137,92.4,185083,"1269 of 3141"
"Yellow Medicine County",27173,92.5,9187,"1255 of 3141"
"Pipestone County",27117,92.6,8545,"1249 of 3141"
"Chippewa County",27023,92.6,11153,"1241 of 3141"
"Traverse County",27155,92.7,3111,"1234 of 3141"
"Polk County",27119,92.7,29261,"1229 of 3141"
"Carver County",27019,92.8,91640,"1218 of 3141"
"Nicollet County",27103,92.9,31090,"1208 of 3141"
"Itasca County",27061,93.0,42065,"1196 of 3141"
"Sherburne County",27141,93.0,85624,"1185 of 3141"
"Roseau County",27135,93.0,14457,"1184 of 3141"
"Norman County",27107,93.1,6136,"1165 of 3141"
"Stevens County",27149,93.2,9091,"1161 of 3141"
"Benton County",27009,93.3,36741,"1124 of 3141"
"Waseca County",27161,93.5,17666,"1106 of 3141"
"Lake of the Woods County",27077,93.5,3592,"1100 of 3141"
"Koochiching County",27071,93.6,11956,"1084 of 3141"
"Winona County",27169,93.7,47759,"1067 of 3141"
"Pennington County",27113,94.0,13339,"1022 of 3141"
"Hubbard County",27057,94.0,19493,"1019 of 3141"
"Freeborn County",27047,94.2,28851,"983 of 3141"
"Wilkin County",27167,94.2,6030,"978 of 3141"
"Goodhue County",27049,94.5,43621,"912 of 3141"
"Wright County",27171,94.7,124169,"886 of 3141"
"Swift County",27151,94.9,8970,"836 of 3141"
"Aitkin County",27001,95.1,15062,"812 of 3141"
"Red Lake County",27125,95.1,3821,"806 of 3141"
"Jackson County",27063,95.2,9619,"786 of 3141"
"Otter Tail County",27111,95.2,55043,"781 of 3141"
"McLeod County",27085,95.3,34129,"776 of 3141"
"Todd County",27153,95.4,23300,"759 of 3141"
"Chisago County",27025,95.4,51825,"748 of 3141"
"Isanti County",27059,95.6,36870,"718 of 3141"
"Brown County",27015,96.0,24233,"605 of 3141"
"Crow Wing County",27035,96.0,60984,"597 of 3141"
"Le Sueur County",27079,96.1,26720,"585 of 3141"
"Dodge County",27039,96.2,19706,"554 of 3141"
"Wadena County",27159,96.3,13118,"532 of 3141"
"Rock County",27133,96.3,9084,"525 of 3141"
"Kanabec County",27065,96.4,15372,"502 of 3141"
"Lac qui Parle County",27073,96.7,6616,"408 of 3141"
"Lake County",27075,96.8,10242,"375 of 3141"
"Sibley County",27143,96.9,14424,"358 of 3141"
"Murray County",27101,96.9,8134,"351 of 3141"
"Morrison County",27097,96.9,31868,"347 of 3141"
"Marshall County",27089,97.0,9119,"315 of 3141"
"Martin County",27091,97.1,19492,"312 of 3141"
"Pope County",27121,97.1,10612,"306 of 3141"
"Houston County",27055,97.1,18166,"299 of 3141"
"Douglas County",27041,97.1,35839,"282 of 3141"
"Faribault County",27043,97.3,13585,"252 of 3141"
"Wabasha County",27157,97.3,20905,"248 of 3141"
"Meeker County",27093,97.3,22485,"239 of 3141"
"Grant County",27051,97.5,5772,"205 of 3141"
"Lincoln County",27081,97.7,5591,"157 of 3141"
"Kittson County",27069,97.9,4290,"122 of 3141"
"Fillmore County",27045,98.1,20434,"75 of 3141"
"Big Stone County",27011,99.3,5003,"17 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
