------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"United States",00000,0.8,2632102,"N/A"
"Minnesota",27000,1.0,57566,"15 of 52"
"Big Stone County",27011,0.0,0,"2960 of 3141"
"Swift County",27151,0.0,1,"2948 of 3141"
"Martin County",27091,0.1,14,"2744 of 3141"
"Faribault County",27043,0.1,10,"2738 of 3141"
"Fillmore County",27045,0.1,20,"2646 of 3141"
"Jackson County",27063,0.1,11,"2593 of 3141"
"Mower County",27099,0.1,43,"2591 of 3141"
"Meeker County",27093,0.1,34,"2423 of 3141"
"Lac qui Parle County",27073,0.2,11,"2366 of 3141"
"Wabasha County",27157,0.2,35,"2358 of 3141"
"Grant County",27051,0.2,10,"2333 of 3141"
"McLeod County",27085,0.2,62,"2309 of 3141"
"Sibley County",27143,0.2,26,"2300 of 3141"
"Lake of the Woods County",27077,0.2,7,"2257 of 3141"
"Nicollet County",27103,0.2,62,"2242 of 3141"
"Steele County",27147,0.2,70,"2209 of 3141"
"Carver County",27019,0.2,197,"2164 of 3141"
"Kittson County",27069,0.2,9,"2134 of 3141"
"Houston County",27055,0.2,41,"2074 of 3141"
"Brown County",27015,0.2,58,"2029 of 3141"
"Le Sueur County",27079,0.2,65,"2013 of 3141"
"Dakota County",27037,0.3,1056,"1930 of 3141"
"Marshall County",27089,0.3,24,"1926 of 3141"
"Morrison County",27097,0.3,85,"1912 of 3141"
"Murray County",27101,0.3,22,"1892 of 3141"
"Olmsted County",27109,0.3,422,"1816 of 3141"
"Blue Earth County",27013,0.3,199,"1717 of 3141"
"Dodge County",27039,0.3,67,"1614 of 3141"
"Isanti County",27059,0.3,128,"1592 of 3141"
"Stearns County",27145,0.3,518,"1583 of 3141"
"Pope County",27121,0.3,37,"1569 of 3141"
"Freeborn County",27047,0.3,104,"1565 of 3141"
"Winona County",27169,0.3,177,"1539 of 3141"
"Benton County",27009,0.4,145,"1467 of 3141"
"Rice County",27131,0.4,253,"1410 of 3141"
"Otter Tail County",27111,0.4,226,"1403 of 3141"
"Washington County",27163,0.4,989,"1395 of 3141"
"Kandiyohi County",27067,0.4,168,"1390 of 3141"
"Douglas County",27041,0.4,149,"1367 of 3141"
"Wright County",27171,0.4,538,"1354 of 3141"
"Lyon County",27083,0.4,111,"1302 of 3141"
"Lake County",27075,0.5,50,"1216 of 3141"
"Chisago County",27025,0.5,259,"1208 of 3141"
"Sherburne County",27141,0.5,465,"1150 of 3141"
"Cottonwood County",27033,0.5,60,"1117 of 3141"
"Todd County",27153,0.6,138,"1065 of 3141"
"Watonwan County",27165,0.6,63,"1051 of 3141"
"Nobles County",27105,0.6,132,"1015 of 3141"
"Anoka County",27003,0.6,2120,"999 of 3141"
"Hennepin County",27053,0.7,8162,"933 of 3141"
"Ramsey County",27123,0.7,3619,"929 of 3141"
"Rock County",27133,0.7,66,"890 of 3141"
"Lincoln County",27081,0.7,41,"876 of 3141"
"Wadena County",27159,0.8,108,"810 of 3141"
"Scott County",27139,0.8,1144,"794 of 3141"
"Kanabec County",27065,0.9,144,"722 of 3141"
"Waseca County",27161,1.0,180,"694 of 3141"
"Goodhue County",27049,1.0,447,"683 of 3141"
"Pipestone County",27117,1.0,96,"644 of 3141"
"Crow Wing County",27035,1.1,725,"583 of 3141"
"Roseau County",27135,1.2,184,"565 of 3141"
"Polk County",27119,1.2,392,"538 of 3141"
"Renville County",27129,1.3,188,"530 of 3141"
"Clay County",27027,1.4,861,"497 of 3141"
"Red Lake County",27125,1.5,60,"467 of 3141"
"Chippewa County",27023,1.6,188,"449 of 3141"
"Pennington County",27113,1.7,237,"434 of 3141"
"St. Louis County",27137,1.8,3691,"412 of 3141"
"Norman County",27107,2.1,136,"375 of 3141"
"Hubbard County",27057,2.2,448,"368 of 3141"
"Stevens County",27149,2.2,212,"365 of 3141"
"Aitkin County",27001,2.2,349,"362 of 3141"
"Pine County",27115,2.4,706,"328 of 3141"
"Wilkin County",27167,2.9,187,"292 of 3141"
"Koochiching County",27071,3.7,468,"252 of 3141"
"Itasca County",27061,3.7,1664,"250 of 3141"
"Yellow Medicine County",27173,3.9,389,"238 of 3141"
"Traverse County",27155,4.0,134,"234 of 3141"
"Redwood County",27127,4.8,741,"208 of 3141"
"Mille Lacs County",27095,4.9,1259,"207 of 3141"
"Carlton County",27017,5.3,1885,"193 of 3141"
"Becker County",27005,7.7,2586,"147 of 3141"
"Cook County",27031,8.2,433,"139 of 3141"
"Clearwater County",27029,8.6,760,"135 of 3141"
"Cass County",27021,11.3,3250,"110 of 3141"
"Beltrami County",27007,20.9,9582,"55 of 3141"
"Mahnomen County",27087,42.8,2353,"32 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
