------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Minnesota",27000,10.5,560995,"6 of 52"
"United States",00000,14.6,45650345,"N/A"
"Carver County",27019,4.0,3934,"15 of 3141"
"Washington County",27163,5.0,12251,"36 of 3141"
"Wright County",27171,5.0,6551,"40 of 3141"
"Chisago County",27025,5.4,2871,"58 of 3141"
"Scott County",27139,5.6,7872,"67 of 3141"
"Dodge County",27039,5.7,1160,"74 of 3141"
"Wabasha County",27157,6.1,1293,"90 of 3141"
"Sherburne County",27141,6.4,5746,"106 of 3141"
"Anoka County",27003,6.6,22428,"119 of 3141"
"Dakota County",27037,6.9,28284,"135 of 3141"
"Isanti County",27059,7.1,2710,"155 of 3141"
"Lake of the Woods County",27077,7.4,280,"176 of 3141"
"Jackson County",27063,7.7,765,"202 of 3141"
"Marshall County",27089,7.8,724,"211 of 3141"
"Pope County",27121,7.9,847,"226 of 3141"
"Brown County",27015,8.1,1944,"247 of 3141"
"Murray County",27101,8.2,678,"267 of 3141"
"Meeker County",27093,8.3,1885,"271 of 3141"
"McLeod County",27085,8.4,2964,"280 of 3141"
"Douglas County",27041,8.4,3063,"288 of 3141"
"Sibley County",27143,8.5,1259,"298 of 3141"
"Le Sueur County",27079,8.8,2433,"323 of 3141"
"Houston County",27055,8.9,1631,"326 of 3141"
"Olmsted County",27109,9.1,13530,"366 of 3141"
"Waseca County",27161,9.2,1614,"386 of 3141"
"Roseau County",27135,9.2,1411,"398 of 3141"
"Lake County",27075,9.3,960,"407 of 3141"
"Lac qui Parle County",27073,9.3,628,"413 of 3141"
"Otter Tail County",27111,9.4,5350,"435 of 3141"
"Red Lake County",27125,9.4,377,"439 of 3141"
"Crow Wing County",27035,9.6,6043,"463 of 3141"
"Wilkin County",27167,9.9,614,"521 of 3141"
"Steele County",27147,9.9,3583,"533 of 3141"
"Pennington County",27113,10.3,1440,"596 of 3141"
"Grant County",27051,10.6,623,"647 of 3141"
"Goodhue County",27049,10.8,4870,"668 of 3141"
"Hubbard County",27057,10.8,2216,"674 of 3141"
"Traverse County",27155,10.9,355,"687 of 3141"
"Rock County",27133,11.0,1011,"711 of 3141"
"Renville County",27129,11.0,1589,"715 of 3141"
"Chippewa County",27023,11.1,1307,"727 of 3141"
"Kittson County",27069,11.2,473,"742 of 3141"
"Martin County",27091,11.3,2234,"769 of 3141"
"Nicollet County",27103,11.3,3514,"771 of 3141"
"Fillmore County",27045,11.3,2309,"774 of 3141"
"Kandiyohi County",27067,11.3,4732,"775 of 3141"
"Lincoln County",27081,11.4,630,"788 of 3141"
"Morrison County",27097,11.4,3711,"802 of 3141"
"Rice County",27131,11.5,6550,"805 of 3141"
"Mille Lacs County",27095,11.5,2869,"808 of 3141"
"Faribault County",27043,11.5,1556,"814 of 3141"
"Hennepin County",27053,11.5,138478,"818 of 3141"
"Kanabec County",27065,11.6,1820,"835 of 3141"
"Big Stone County",27011,11.7,574,"864 of 3141"
"Freeborn County",27047,11.8,3536,"874 of 3141"
"Redwood County",27127,11.8,1778,"880 of 3141"
"Pipestone County",27117,11.8,1069,"891 of 3141"
"Norman County",27107,12.0,770,"917 of 3141"
"Carlton County",27017,12.1,4123,"931 of 3141"
"Aitkin County",27001,12.1,1895,"942 of 3141"
"Swift County",27151,12.2,1131,"946 of 3141"
"Watonwan County",27165,12.2,1321,"956 of 3141"
"Polk County",27119,12.4,3763,"986 of 3141"
"Clay County",27027,12.5,7236,"1005 of 3141"
"Yellow Medicine County",27173,12.5,1215,"1009 of 3141"
"Itasca County",27061,12.6,5553,"1025 of 3141"
"Becker County",27005,12.7,4191,"1044 of 3141"
"Todd County",27153,13.0,3126,"1096 of 3141"
"Cook County",27031,13.0,679,"1109 of 3141"
"Mower County",27099,13.0,5050,"1121 of 3141"
"Stearns County",27145,13.1,19321,"1126 of 3141"
"Pine County",27115,13.6,3720,"1263 of 3141"
"Lyon County",27083,13.7,3374,"1286 of 3141"
"Benton County",27009,14.1,5445,"1356 of 3141"
"Winona County",27169,14.5,6849,"1444 of 3141"
"Wadena County",27159,15.0,1977,"1526 of 3141"
"Ramsey County",27123,15.0,78410,"1527 of 3141"
"Cass County",27021,15.3,4339,"1599 of 3141"
"St. Louis County",27137,15.4,29574,"1608 of 3141"
"Stevens County",27149,15.4,1454,"1615 of 3141"
"Cottonwood County",27033,15.6,1744,"1659 of 3141"
"Nobles County",27105,15.8,3379,"1690 of 3141"
"Koochiching County",27071,17.1,2136,"1973 of 3141"
"Clearwater County",27029,17.9,1549,"2132 of 3141"
"Blue Earth County",27013,18.1,11321,"2175 of 3141"
"Beltrami County",27007,19.0,8203,"2295 of 3141"
"Mahnomen County",27087,22.7,1220,"2711 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
