------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Minnesota",27000,17.6,946329,"7 of 52"
"United States",00000,23.7,74202606,"N/A"
"Carver County",27019,7.2,7006,"6 of 3141"
"Washington County",27163,9.2,22820,"31 of 3141"
"Scott County",27139,9.6,13407,"35 of 3141"
"Wright County",27171,10.5,13665,"56 of 3141"
"Sherburne County",27141,11.8,10581,"84 of 3141"
"Chisago County",27025,11.8,6222,"85 of 3141"
"Dakota County",27037,12.1,49866,"99 of 3141"
"Anoka County",27003,12.2,41749,"105 of 3141"
"Dodge County",27039,12.4,2524,"114 of 3141"
"Wabasha County",27157,13.0,2775,"136 of 3141"
"Isanti County",27059,14.1,5374,"185 of 3141"
"Le Sueur County",27079,14.7,4039,"218 of 3141"
"Brown County",27015,15.2,3645,"246 of 3141"
"Olmsted County",27109,15.3,22866,"256 of 3141"
"Marshall County",27089,15.4,1433,"257 of 3141"
"Pope County",27121,15.6,1670,"270 of 3141"
"Lake County",27075,15.6,1617,"274 of 3141"
"Douglas County",27041,15.8,5757,"292 of 3141"
"Red Lake County",27125,16.3,652,"328 of 3141"
"Sibley County",27143,16.5,2424,"342 of 3141"
"Murray County",27101,16.5,1363,"347 of 3141"
"Otter Tail County",27111,16.6,9432,"353 of 3141"
"Houston County",27055,16.7,3073,"355 of 3141"
"Nicollet County",27103,17.0,5298,"392 of 3141"
"McLeod County",27085,17.0,6029,"393 of 3141"
"Goodhue County",27049,17.1,7722,"396 of 3141"
"Meeker County",27093,17.4,3941,"427 of 3141"
"Roseau County",27135,17.4,2655,"429 of 3141"
"Steele County",27147,17.8,6425,"472 of 3141"
"Martin County",27091,17.9,3543,"484 of 3141"
"Traverse County",27155,18.3,597,"513 of 3141"
"Hennepin County",27053,18.3,220483,"522 of 3141"
"Rock County",27133,18.4,1694,"529 of 3141"
"Wilkin County",27167,18.5,1147,"540 of 3141"
"Waseca County",27161,18.5,3261,"547 of 3141"
"Fillmore County",27045,18.6,3799,"560 of 3141"
"Jackson County",27063,18.7,1856,"570 of 3141"
"Pennington County",27113,18.7,2603,"571 of 3141"
"Lac qui Parle County",27073,19.2,1291,"629 of 3141"
"Renville County",27129,19.3,2790,"645 of 3141"
"Clay County",27027,19.5,11346,"680 of 3141"
"Crow Wing County",27035,19.6,12281,"685 of 3141"
"Carlton County",27017,19.7,6748,"701 of 3141"
"Rice County",27131,19.8,11325,"714 of 3141"
"Lincoln County",27081,19.8,1098,"715 of 3141"
"Yellow Medicine County",27173,20.0,1943,"741 of 3141"
"Lake of the Woods County",27077,20.2,766,"777 of 3141"
"Faribault County",27043,20.3,2750,"781 of 3141"
"Polk County",27119,20.4,6217,"803 of 3141"
"Hubbard County",27057,20.4,4197,"805 of 3141"
"Becker County",27005,20.7,6826,"837 of 3141"
"Morrison County",27097,20.8,6734,"847 of 3141"
"Stearns County",27145,20.8,30743,"849 of 3141"
"Norman County",27107,20.9,1340,"861 of 3141"
"Redwood County",27127,21.1,3181,"892 of 3141"
"Big Stone County",27011,21.1,1038,"899 of 3141"
"Grant County",27051,21.2,1238,"900 of 3141"
"Mille Lacs County",27095,21.2,5315,"909 of 3141"
"Freeborn County",27047,21.3,6415,"932 of 3141"
"Kittson County",27069,21.6,918,"964 of 3141"
"Itasca County",27061,21.7,9585,"975 of 3141"
"Cook County",27031,21.8,1139,"980 of 3141"
"Pipestone County",27117,21.8,1972,"984 of 3141"
"Chippewa County",27023,21.8,2575,"986 of 3141"
"Kandiyohi County",27067,22.0,9191,"1012 of 3141"
"Kanabec County",27065,22.4,3517,"1057 of 3141"
"Stevens County",27149,22.4,2111,"1060 of 3141"
"Winona County",27169,22.4,10572,"1069 of 3141"
"Mower County",27099,22.5,8702,"1072 of 3141"
"Swift County",27151,22.7,2111,"1100 of 3141"
"Lyon County",27083,22.9,5617,"1130 of 3141"
"Benton County",27009,22.9,8845,"1132 of 3141"
"St. Louis County",27137,23.8,45755,"1253 of 3141"
"Todd County",27153,23.9,5776,"1274 of 3141"
"Cottonwood County",27033,23.9,2672,"1276 of 3141"
"Wadena County",27159,24.1,3186,"1303 of 3141"
"Watonwan County",27165,24.2,2609,"1312 of 3141"
"Ramsey County",27123,24.4,128023,"1349 of 3141"
"Pine County",27115,24.5,6679,"1364 of 3141"
