------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=06&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'cancer': '057', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=06&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for California by County

"Cervix (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 7.2?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7,8)",06000,No,7.3 ,7.1, 7.5,1453,falling,-1.7 ,-2.1, -1.2
"US (SEER+NPCR)(1,10)",00000,No,7.6 ,7.5, 7.6,12695,stable,0.8 ,-0.6, 2.3
"Tulare County(7,8)",06107,No,12.2 ,10.1, 14.5,24,stable,0.3 ,-2.4, 3.1
"Humboldt County(7,8)",06023,No,10.8 ,7.4, 15.2,7,stable,-1.0 ,-4.7, 2.9
"Kings County(7,8)",06031,No,10.5 ,7, 14.9,6,stable,0.5 ,-3.6, 4.8
"Kern County(7,8)",06029,No,9.4 ,8, 10.8,37,falling,-2.5 ,-4.4, -0.5
"San Bernardino County(7,8)",06071,No,8.9 ,8, 9.7,90,stable,-0.5 ,-1.9, 0.9
"Yolo County(7,8)",06113,No,8.8 ,6.2, 12,8,stable,0.7 ,-3.0, 4.6
"Mendocino County(7,8)",06045,No,8.6 ,5.2, 13.5,4,stable,3.4 ,-0.8, 7.7
"Madera County(7,8)",06039,No,8.6 ,5.8, 12.2,6,stable,-2.9 ,-6.0, 0.3
"Sacramento County(7,8)",06067,No,8.5 ,7.6, 9.5,65,stable,-1.0 ,-2.5, 0.5
"Monterey County(7,8)",06053,No,8.4 ,6.7, 10.4,17,stable,1.4 ,-0.9, 3.8
"Riverside County(7,8)",06065,No,8.3 ,7.6, 9.1,95,stable,-0.8 ,-2.5, 0.8
"Imperial County(7,8)",06025,No,8.2 ,5.7, 11.5,7,stable,-3.6 ,-7.4, 0.4
"Merced County(7,8)",06047,No,8.2 ,6, 10.9,9,stable,0.7 ,-2.8, 4.4
"Fresno County(7,8)",06019,No,8.2 ,7, 9.5,36,stable,0.2 ,-1.5, 1.8
"Shasta County(7,8)",06089,No,8 ,5.4, 11.3,7,stable,-0.3 ,-5.0, 4.6
"Stanislaus County(7,8)",06099,No,7.9 ,6.4, 9.6,21,stable,-1.0 ,-3.4, 1.4
"Los Angeles County(7,8)",06037,No,7.8 ,7.4, 8.1,411,falling,-3.4 ,-3.8, -2.9
"San Joaquin County(7,8)",06077,No,7.6 ,6.3, 9,27,stable,-1.1 ,-3.0, 0.8
"Sutter County(7)",06101,No,7.6 ,4.4, 12.1,4,*,*,*,*
"Santa Cruz County(7,8)",06087,No,7.3 ,5.4, 9.8,10,stable,0.6 ,-4.3, 5.7
"Butte County(7,8)",06007,No,7.3 ,5.1, 10.1,8,stable,0.4 ,-4.2, 5.1
"Ventura County(7,8)",06111,No,7.3 ,6.2, 8.5,31,stable,-1.4 ,-3.5, 0.8
"El Dorado County(7,8)",06017,Yes,7.2 ,4.9, 10.2,7,stable,-0.8 ,-5.4, 4.1
"San Francisco County(7,8)",06075,Yes,7 ,5.9, 8.2,33,falling,-4.0 ,-5.0, -2.9
"Solano County(7,8)",06095,Yes,6.9 ,5.4, 8.7,16,stable,0.2 ,-2.4, 2.9
"San Diego County(7,8)",06073,Yes,6.7 ,6.1, 7.3,111,stable,-0.7 ,-1.9, 0.5
"Orange County(7,8)",06059,Yes,6.4 ,5.9, 7,108,falling,-1.3 ,-2.6, -0.1
"Sonoma County(7,8)",06097,Yes,6.3 ,4.9, 7.9,17,stable,-1.9 ,-4.7, 0.9
"Napa County(7,8)",06055,Yes,6.2 ,3.9, 9.4,5,stable,-2.9 ,-6.2, 0.6
"Alameda County(7,8)",06001,Yes,6.1 ,5.4, 6.9,54,falling,-1.9 ,-2.7, -1.1
"Placer County(7,8)",06061,Yes,6.1 ,4.6, 7.9,12,stable,0.0 ,-3.2, 3.2
"Contra Costa County(7,8)",06013,Yes,5.9 ,5, 6.8,37,stable,-14.1 ,-35.5, 14.4
"Marin County(7,8)",06041,Yes,5.5 ,3.9, 7.7,8,stable,-1.3 ,-2.9, 0.4
"Santa Barbara County(7,8)",06083,Yes,5.5 ,4.1, 7.2,12,falling,-2.7 ,-5.1, -0.3
"San Luis Obispo County(7,8)",06079,Yes,5.4 ,3.7, 7.6,7,stable,0.7 ,-4.1, 5.8
"San Mateo County(7,8)",06081,Yes,5.2 ,4.3, 6.3,22,falling,-2.4 ,-3.5, -1.3
"Santa Clara County(7,8)",06085,Yes,4.9 ,4.3, 5.6,49,falling,-2.9 ,-4.6, -1.2
"Alpine County(7)",06003,***,* ,*, *,3 or fewer,*,*,*,*
"Amador County(7)",06005,***,* ,*, *,3 or fewer,*,*,*,*
