------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/prevalence/index.php?stateFIPS=00&cancer=055&duration=0&statistics=1&sex=2&type=prev&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '00', 'cancer': '055', 'duration': '0', 'statistics': '1', 'sex': '2', 'type': 'prev', 'file_name': 'prevalence_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/prevalence/index.php?stateFIPS=00&cancer=055&duration=0&statistics=1&sex=2&type=prev&sortVariableName=rate&sortOrder=desc&output=1'}
------------
	Prevalence Projections Report by State
Complete Prevalence Crude Percents

"Female, Breast Cancer, All Ages"
Sorted by Projected Crude Percents 2017

State,Projected Crude Percents 2017
United States,2.20
Florida,2.92
Wyoming,2.84
Montana,2.69
Maine,2.63
Hawaii,2.59
North Dakota,2.59
Wisconsin,2.57
Connecticut,2.54
Massachusetts,2.51
Oregon,2.49
Vermont,2.49
Pennsylvania,2.47
Delaware,2.45
Iowa,2.45
Nebraska,2.45
Washington,2.45
Michigan,2.41
Oklahoma,2.40
Kansas,2.39
Ohio,2.39
New Hampshire,2.36
New Mexico,2.34
Virginia,2.34
Maryland,2.32
Rhode Island,2.32
New Jersey,2.30
South Dakota,2.30
West Virginia,2.29
Arizona,2.28
Missouri,2.24
South Carolina,2.24
Minnesota,2.20
Tennessee,2.17
Illinois,2.13
New York,2.13
North Carolina,2.12
Alabama,2.11
Colorado,2.11
District of Columbia,2.08
Indiana,2.04
Mississippi,2.02
Kentucky,2.01
Arkansas,2.00
California,1.94
Idaho,1.91
Louisiana,1.87
Nevada,1.82
Alaska,1.78
Georgia,1.78
Utah,1.68
Texas,1.66
Puerto Rico,data not available

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:56 pm.
State Cancer Registries may provide more current or more local data.
"Methodology: Cancer prevalence estimates are derived from state specific cancer mortality and survival data using a statistical package called MIAMOD (Mortality-Incidence Analysis MODEL). Cancer survival models are derived from the Surveillance, Epidemiology, and End Results (SEER) [https://seer.cancer.gov/] Program data and adjusted to represent state specific survival."
"For more information on prevalence, please see the about this table web page [http://statecancerprofiles.cancer.gov/help/about/prevalence.html]."
"Source: Single age and year state specific mortality data for cancer and all causes of death from the National Center for Health Statistics (NCHS) [https://www.cdc.gov/nchs/], and respective populations from the US Census Bureau [http://www.census.gov/], are available for calendar years 1969-2007 from SEER*Stat. The population projections were obtained from the US Census Bureau [http://www.census.gov/]."
Note: The sum total of the individual states may not equal the total U.S. statistic due to rounding.
Prevalance data is not avaiable for Puerto Rico
