------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=30&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=30&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Montana by County

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Montana(6)",30000,No,43.1 ,40.7, 45.6,267,33.3
"US (SEER+NPCR)(1)",00000,No,42.3 ,42.1, 42.4,78906,33.0
"Glacier County(6)",30035,No,64.6 ,39.3, 99.7,4,47.7
"Richland County(6)",30083,No,63 ,36.6, 100.9,4,36.7
"Sanders County(6)",30089,No,62.7 ,39.9, 96.2,6,39.7
"Jefferson County(6)",30043,No,55.5 ,33.4, 88.7,4,39.3
"Big Horn County(6)",30003,No,52.5 ,29.4, 86.2,3,61.5
"Stillwater County(6)",30095,No,52.4 ,29.2, 89,3,35.4
"Lewis and Clark County(6)",30049,No,49.8 ,40.2, 61.2,21,38.9
"Flathead County(6)",30029,No,47.5 ,39.6, 56.6,29,33.6
"Yellowstone County(6)",30111,No,45.5 ,39.2, 52.4,41,31.8
"Gallatin County(6)",30031,No,43.3 ,35, 53,20,33.0
"Cascade County(6)",30013,Yes,41.6 ,33.4, 51.4,20,29.6
"Silver Bow County(6)",30093,Yes,40.8 ,28.9, 56.2,9,36.4
"Missoula County(6)",30063,Yes,40.4 ,33.2, 48.8,24,32.2
"Lincoln County(6)",30053,Yes,37 ,23.8, 56.3,6,32.6
"Ravalli County(6)",30081,Yes,36.5 ,27.1, 48.6,12,33.0
"Park County(6)",30067,Yes,33.8 ,19, 56.5,3,23.0
"Lake County(6)",30047,Yes,30.6 ,20.2, 45,6,29.2
"Beaverhead County(6)",30001,Yes,* ,*, *,3 or fewer,*
"Blaine County(6)",30005,Yes,* ,*, *,3 or fewer,*
"Broadwater County(6)",30007,Yes,* ,*, *,3 or fewer,*
"Carbon County(6)",30009,Yes,* ,*, *,3 or fewer,*
"Carter County(6)",30011,Yes,* ,*, *,3 or fewer,*
"Chouteau County(6)",30015,Yes,* ,*, *,3 or fewer,*
"Custer County(6)",30017,Yes,* ,*, *,3 or fewer,*
"Daniels County(6)",30019,Yes,* ,*, *,3 or fewer,*
"Dawson County(6)",30021,Yes,* ,*, *,3 or fewer,*
"Deer Lodge County(6)",30023,Yes,* ,*, *,3 or fewer,*
"Fallon County(6)",30025,Yes,* ,*, *,3 or fewer,*
"Fergus County(6)",30027,Yes,* ,*, *,3 or fewer,*
"Garfield County(6)",30033,Yes,* ,*, *,3 or fewer,*
"Golden Valley County(6)",30037,Yes,* ,*, *,3 or fewer,*
"Granite County(6)",30039,Yes,* ,*, *,3 or fewer,*
"Hill County(6)",30041,Yes,* ,*, *,3 or fewer,*
"Judith Basin County(6)",30045,Yes,* ,*, *,3 or fewer,*
"Liberty County(6)",30051,Yes,* ,*, *,3 or fewer,*
"Madison County(6)",30057,Yes,* ,*, *,3 or fewer,*
"McCone County(6)",30055,Yes,* ,*, *,3 or fewer,*
"Meagher County(6)",30059,Yes,* ,*, *,3 or fewer,*
"Mineral County(6)",30061,Yes,* ,*, *,3 or fewer,*
"Musselshell County(6)",30065,Yes,* ,*, *,3 or fewer,*
"Petroleum County(6)",30069,Yes,* ,*, *,3 or fewer,*
"Phillips County(6)",30071,Yes,* ,*, *,3 or fewer,*
"Pondera County(6)",30073,Yes,* ,*, *,3 or fewer,*
"Powder River County(6)",30075,Yes,* ,*, *,3 or fewer,*
"Powell County(6)",30077,Yes,* ,*, *,3 or fewer,*
"Prairie County(6)",30079,Yes,* ,*, *,3 or fewer,*
