------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=51&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=51&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Virginia by County

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Virginia(6)",51000,No,42.9 ,42.1, 43.7,2080,32.8
"US (SEER+NPCR)(1)",00000,No,42.3 ,42.1, 42.4,78906,33.0
"Sussex County(6)",51183,No,88.6 ,57, 132.7,6,59.6
"Franklin City(6)",51620,No,82.8 ,48.9, 131,4,52.5
"Brunswick County(6)",51025,No,63.3 ,42.7, 91.1,7,44.3
"Lunenburg County(6)",51111,No,62.7 ,39.1, 96.5,5,40.0
"Richmond County(6)",51159,No,61.8 ,33.7, 106,3,40.5
"Dinwiddie County(6)",51053,No,61.7 ,45.7, 81.7,11,44.9
"Greensville County(6)",51081,No,61.3 ,34.2, 102.4,3,42.5
"Martinsville City(6)",51690,No,60.6 ,39, 90.3,6,42.0
"Williamsburg City(6)",51830,No,60.4 ,33.9, 99.2,4,26.5
"Bedford City and County(6)",51917,No,57.5 ,47.3, 69.1,22,32.1
"Suffolk City(6)",51800,No,56.7 ,47.6, 67.1,28,36.0
"Fredericksburg City(6)",51630,No,56.3 ,39.4, 78,7,39.4
"Northampton County(6)",51131,No,55.1 ,35.4, 83.9,6,39.7
"Hanover County(6)",51085,No,54.3 ,46.4, 63.3,36,35.4
"Essex County(6)",51057,No,53.8 ,33.3, 83.9,4,33.3
"New Kent County(6)",51127,No,52.8 ,35.6, 76.1,7,35.1
"Accomack County(6)",51001,No,52.5 ,39.1, 69.3,12,41.1
"Manassas City(6)",51683,No,52.3 ,38.3, 69.7,10,43.5
"Portsmouth City(6)",51740,No,52.3 ,43.7, 62,28,36.0
"Nelson County(6)",51125,No,52.2 ,32.5, 80.4,6,32.9
"Newport News City(6)",51700,No,52 ,45.6, 59.1,50,36.6
"Petersburg City(6)",51730,No,51.8 ,38.4, 68.7,11,34.1
"Powhatan County(6)",51145,No,51.7 ,37.2, 70.5,9,40.0
"Charlottesville City(6)",51540,No,51.5 ,38.4, 67.6,11,40.9
"Lancaster County(6)",51103,No,51.2 ,29.4, 85.4,5,38.2
"Southampton County(6)",51175,No,51.2 ,32.9, 76.3,6,33.7
"Greene County(6)",51079,No,50.5 ,33.4, 73.6,6,33.0
"Lynchburg City(6)",51680,No,50.3 ,40.6, 61.7,20,38.8
"Goochland County(6)",51075,No,50.2 ,34.5, 71.3,8,37.3
"Staunton City(6)",51790,No,50 ,35.6, 68.7,9,34.4
"Gloucester County(6)",51073,No,49.9 ,37.8, 65,13,37.7
"Hampton City(6)",51650,No,49.6 ,42.7, 57.4,39,33.0
"Norfolk City(6)",51710,No,49.2 ,43.6, 55.4,59,36.8
"Clarke County(6)",51043,No,48.9 ,29.9, 76.4,5,31.5
"Page County(6)",51139,No,48.1 ,33.3, 67.8,8,33.3
"Caroline County(6)",51033,No,48.1 ,34.6, 65.3,9,38.3
"Orange County(6)",51137,No,48 ,35.8, 63.3,12,33.5
"Halifax County with South Boston City(6)",51083,No,47.9 ,35.1, 64,11,33.7
"Salem City(6)",51775,No,47.7 ,33.2, 66.6,8,31.5
"Danville City(6)",51590,No,47.2 ,36.1, 60.9,14,34.6
"Chesapeake City(6)",51550,No,47.2 ,42, 52.8,63,31.7
"Hopewell City(6)",51670,No,47 ,31.6, 67.4,6,37.2
"Virginia Beach City(6)",51810,No,47 ,43.2, 51,117,31.4
"Alleghany County and Clifton Forge City(6)",51005,No,46.9 ,28.8, 72.8,5,35.1
"Floyd County(6)",51063,No,46.7 ,28.6, 72.8,5,43.4
"Mecklenburg County(6)",51117,No,46.7 ,33.5, 63.6,10,38.9
"Falls Church City(6)",51610,No,46.3 ,27, 74.6,4,38.3
"Isle of Wight County(6)",51093,No,46.3 ,34.4, 61.3,11,30.3
"Dickenson County(6)",51051,No,46.3 ,28.4, 71.8,5,35.9
"Henrico County(6)",51087,No,46.1 ,41.9, 50.7,91,32.5
"Colonial Heights City(6)",51570,No,46.1 ,29.8, 68.4,6,30.2
"Augusta County(6)",51015,No,45.7 ,37.1, 55.8,22,33.0
"Fluvanna County(6)",51065,No,45.5 ,32.4, 62.5,8,30.2
"James City County(6)",51095,No,45.5 ,36.9, 55.6,23,29.9
"Prince George County(6)",51149,No,45.2 ,32.4, 61.3,9,31.9
"Richmond City(6)",51760,No,45.1 ,39.6, 51.1,52,35.0
"Rockingham County(6)",51165,No,44.9 ,36.6, 54.6,22,33.3
"Shenandoah County(6)",51171,No,44.7 ,34, 58,13,34.6
"Albemarle County(6)",51003,No,44.5 ,37.1, 52.9,28,30.1
"Roanoke City(6)",51770,No,44.3 ,36.9, 52.8,27,33.3
"Poquoson City(6)",51735,No,44.2 ,24.9, 73.8,3,25.8
"Roanoke County(6)",51161,No,44.2 ,36.8, 52.7,28,29.5
"Prince Edward County(6)",51147,No,44.2 ,27.9, 66.7,5,27.7
"Franklin County(6)",51067,No,44 ,34.3, 55.9,17,32.9
"Louisa County(6)",51109,No,43.9 ,32.1, 58.8,10,32.9
"Chesterfield County(6)",51041,No,43.6 ,39.5, 48,87,33.2
"Stafford County(6)",51179,No,43.2 ,36.4, 51,30,33.7
