------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=51&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'cancer': '020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=51&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Virginia by County

"Colon & Rectum (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Virginia(6,10)",51000,Yes,35.8 ,35.2, 36.3,3296,stable,-1.8 ,-4.1, 0.5
"US (SEER+NPCR)(1,10)",00000,Yes,38.7 ,38.6, 38.8,140982,falling,-1.3 ,-2.1, -0.6
"Charlotte County(6,10)",51037,No,73.8 ,56.5, 95.4,13,stable,-1.8 ,-20.7, 21.7
"Franklin City(6,10)",51620,No,67.8 ,46.3, 96.1,7,stable,28.4 ,-9.0, 81.1
"Martinsville City(6,10)",51690,No,62.1 ,47.2, 80.9,12,stable,3.0 ,-33.8, 60.3
"Covington City(6,10)",51580,No,61.9 ,39.7, 93.7,5,*,*,*,*
"King William County(6,10)",51101,No,58.1 ,43.2, 76.5,11,stable,10.7 ,-26.5, 66.8
"Hopewell City(6,10)",51670,No,55.3 ,43, 70.1,14,stable,-1.6 ,-37.7, 55.5
"Greensville County(6,10)",51081,No,54.8 ,38.7, 75.9,8,rising,22.1 ,3.3, 44.3
"Nottoway County(6,10)",51135,No,54.5 ,41.1, 71.3,11,stable,-5.6 ,-24.9, 18.5
"Northumberland County(6,10)",51133,No,54.2 ,40.7, 72.4,14,stable,2.4 ,-26.5, 42.6
"Sussex County(6,10)",51183,No,53.8 ,37.6, 75,7,stable,-0.6 ,-43.8, 75.7
"Charles City County(6,10)",51036,No,52.4 ,32.4, 81.4,5,stable,18.8 ,-39.4, 133.2
"Bath County(6,10)",51017,No,52 ,30.7, 86,4,*,*,*,*
"Danville City(6,10)",51590,No,51.1 ,43.1, 60.4,31,stable,3.1 ,-6.7, 13.9
"Cumberland County(6,10)",51049,No,51.1 ,35.9, 71.6,8,stable,-4.0 ,-37.6, 47.8
"Giles County(6,10)",51071,No,51.1 ,38.7, 66.7,12,stable,6.1 ,-9.6, 24.5
"Caroline County(6,10)",51033,No,50.2 ,39.9, 62.5,17,stable,-10.4 ,-29.0, 13.1
"Appomattox County(6,10)",51011,No,50 ,37.1, 66.4,11,stable,-4.3 ,-26.8, 25.2
