------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"Colorado",08000,45.3,2464477,"44 of 52"
"United States",00000,47.3,151838062,"N/A"
"Alamosa County",08003,39.1,6386,"3018 of 3141"
"Adams County",08001,39.8,194112,"2992 of 3141"
"Denver County",08031,40.4,273884,"2964 of 3141"
"Weld County",08123,41.6,118982,"2908 of 3141"
"El Paso County",08041,42.0,283139,"2895 of 3141"
"Gunnison County",08051,42.3,6859,"2876 of 3141"
"Eagle County",08037,44.0,23622,"2754 of 3141"
"Garfield County",08045,44.4,25752,"2718 of 3141"
"Cheyenne County",08017,44.5,946,"2714 of 3141"
"Larimer County",08069,44.7,147883,"2692 of 3141"
"Arapahoe County",08005,45.2,283087,"2640 of 3141"
"Boulder County",08013,45.3,143412,"2632 of 3141"
"Rio Blanco County",08103,45.6,2987,"2608 of 3141"
"Morgan County",08087,46.3,13014,"2522 of 3141"
"Broomfield County",08014,46.5,29869,"2501 of 3141"
"Crowley County",08025,46.6,2568,"2489 of 3141"
"Yuma County",08125,46.7,4725,"2469 of 3141"
"Prowers County",08099,47.1,5686,"2429 of 3141"
"Douglas County",08035,47.2,151485,"2419 of 3141"
"Logan County",08075,47.4,10365,"2395 of 3141"
"Moffat County",08081,47.4,6184,"2393 of 3141"
"Kit Carson County",08063,47.9,3760,"2287 of 3141"
"Summit County",08117,48.0,14253,"2274 of 3141"
"Lincoln County",08073,48.4,2673,"2200 of 3141"
"Lake County",08065,48.5,3632,"2177 of 3141"
"Conejos County",08021,48.6,3957,"2176 of 3141"
"Pueblo County",08101,48.8,79735,"2136 of 3141"
"Mesa County",08077,48.9,72705,"2123 of 3141"
"Phillips County",08095,49.1,2124,"2088 of 3141"
"La Plata County",08067,49.6,27031,"1982 of 3141"
"Routt County",08107,49.8,12139,"1946 of 3141"
"Otero County",08089,50.2,9205,"1857 of 3141"
"Jefferson County",08059,50.6,285367,"1766 of 3141"
"Bent County",08011,50.8,2948,"1719 of 3141"
"Rio Grande County",08105,51.2,5857,"1613 of 3141"
"Kiowa County",08061,51.7,707,"1508 of 3141"
"Washington County",08121,52.7,2536,"1241 of 3141"
"Pitkin County",08097,53.4,9470,"1098 of 3141"
"San Miguel County",08113,53.5,4179,"1048 of 3141"
"Grand County",08049,53.8,7957,"996 of 3141"
"Montezuma County",08083,53.9,13880,"986 of 3141"
"Montrose County",08085,55.3,22624,"706 of 3141"
"Fremont County",08043,55.9,26046,"626 of 3141"
"Las Animas County",08071,56.4,7976,"559 of 3141"
"Saguache County",08109,57.0,3612,"489 of 3141"
"Sedgwick County",08115,57.0,1344,"485 of 3141"
"Elbert County",08039,57.6,14146,"401 of 3141"
"Delta County",08029,57.8,17470,"391 of 3141"
"San Juan County",08111,57.8,329,"390 of 3141"
"Dolores County",08033,57.9,1006,"377 of 3141"
"Baca County",08009,58.3,2088,"341 of 3141"
"Gilpin County",08047,59.7,3460,"239 of 3141"
"Clear Creek County",08019,60.3,5582,"207 of 3141"
"Costilla County",08023,60.5,2196,"198 of 3141"
"Archuleta County",08007,61.1,7700,"177 of 3141"
"Chaffee County",08015,61.2,11512,"174 of 3141"
"Teller County",08119,61.6,14631,"160 of 3141"
"Jackson County",08057,62.7,860,"109 of 3141"
"Park County",08093,64.6,10925,"59 of 3141"
"Huerfano County",08055,66.5,4318,"33 of 3141"
"Ouray County",08091,69.4,3227,"17 of 3141"
"Custer County",08027,70.4,3173,"12 of 3141"
"Hinsdale County",08053,71.7,588,"9 of 3141"
"Mineral County",08079,72.2,602,"8 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
