------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Colorado",08000,5.0,268927,"50 of 51"
"Saguache County",08109,1.5,97,"162 of 3140"
"Montezuma County",08083,1.6,410,"180 of 3140"
"Hinsdale County",08053,1.7,14,"227 of 3140"
"Kiowa County",08061,2.2,29,"422 of 3140"
"El Paso County",08041,2.2,14641,"445 of 3140"
"Ouray County",08091,2.5,115,"618 of 3140"
"La Plata County",08067,2.8,1521,"863 of 3140"
"Pueblo County",08101,3.0,4881,"983 of 3140"
"Costilla County",08023,3.0,108,"1000 of 3140"
"Prowers County",08099,3.1,365,"1019 of 3140"
"Fremont County",08043,3.1,1425,"1021 of 3140"
"Baca County",08009,3.1,111,"1071 of 3140"
"Archuleta County",08007,3.2,397,"1116 of 3140"
"San Miguel County",08113,3.2,251,"1163 of 3140"
"Kit Carson County",08063,3.3,251,"1178 of 3140"
"Chaffee County",08015,3.4,628,"1236 of 3140"
"Eagle County",08037,3.4,1827,"1296 of 3140"
"Summit County",08117,3.5,1028,"1336 of 3140"
"San Juan County",08111,3.5,20,"1357 of 3140"
"Dolores County",08033,3.5,61,"1358 of 3140"
"Huerfano County",08055,3.6,231,"1400 of 3140"
"Jackson County",08057,3.6,49,"1461 of 3140"
"Garfield County",08045,3.7,2135,"1521 of 3140"
"Delta County",08029,3.7,1117,"1525 of 3140"
"Mesa County",08077,3.8,5638,"1597 of 3140"
"Montrose County",08085,4.1,1644,"1744 of 3140"
"Lincoln County",08073,4.3,237,"1895 of 3140"
"Moffat County",08081,4.5,579,"1984 of 3140"
"Otero County",08089,4.5,827,"2021 of 3140"
"Las Animas County",08071,4.7,656,"2081 of 3140"
"Larimer County",08069,4.7,15420,"2107 of 3140"
"Rio Grande County",08105,4.7,536,"2118 of 3140"
"Mineral County",08079,4.8,39,"2133 of 3140"
"Boulder County",08013,4.8,14957,"2144 of 3140"
"Rio Blanco County",08103,4.9,317,"2198 of 3140"
"Douglas County",08035,4.9,15671,"2216 of 3140"
"Yuma County",08125,5.0,502,"2271 of 3140"
"Jefferson County",08059,5.1,28700,"2324 of 3140"
"Grand County",08049,5.2,763,"2339 of 3140"
"Custer County",08027,5.2,234,"2358 of 3140"
"Morgan County",08087,5.2,1457,"2364 of 3140"
"Conejos County",08021,5.2,422,"2374 of 3140"
"Crowley County",08025,5.2,287,"2375 of 3140"
"Adams County",08001,5.4,25789,"2427 of 3140"
"Lake County",08065,5.7,424,"2555 of 3140"
"Pitkin County",08097,5.7,1005,"2560 of 3140"
"Weld County",08123,5.9,16655,"2614 of 3140"
"Routt County",08107,6.1,1473,"2650 of 3140"
"Phillips County",08095,6.2,265,"2682 of 3140"
"Arapahoe County",08005,6.4,39378,"2713 of 3140"
"Denver County",08031,6.5,43684,"2747 of 3140"
"Gunnison County",08051,6.8,1095,"2806 of 3140"
"Sedgwick County",08115,7.4,170,"2883 of 3140"
"Teller County",08119,7.8,1833,"2929 of 3140"
"Elbert County",08039,8.3,2034,"2975 of 3140"
"Logan County",08075,8.3,1800,"2977 of 3140"
"Gilpin County",08047,8.4,480,"2985 of 3140"
"Clear Creek County",08019,8.6,785,"2996 of 3140"
"Park County",08093,8.6,1445,"2999 of 3140"
"Alamosa County",08003,8.8,1421,"3011 of 3140"
"Bent County",08011,9.1,523,"3028 of 3140"
"Cheyenne County",08017,9.4,195,"3041 of 3140"
"Washington County",08121,10.4,495,"3073 of 3140"
"Broomfield County",08014,11.6,7380,"3102 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
