------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Colorado",08000,81.3,4370633,"48 of 51"
"United States",00000,85.4,270854872,"N/A"
"Washington County",08121,75.9,3620,"3077 of 3140"
"Boulder County",08013,77.2,242280,"3046 of 3140"
"El Paso County",08041,77.5,516388,"3039 of 3140"
"Logan County",08075,77.6,16728,"3036 of 3140"
"Moffat County",08081,78.0,10065,"3032 of 3140"
"Gunnison County",08051,78.3,12538,"3017 of 3140"
"Larimer County",08069,78.8,258042,"3004 of 3140"
"Denver County",08031,79.0,528575,"2997 of 3140"
"Broomfield County",08014,79.0,50287,"2993 of 3140"
"Cheyenne County",08017,79.4,1639,"2972 of 3140"
"Alamosa County",08003,79.7,12841,"2954 of 3140"
"Rio Blanco County",08103,79.9,5186,"2939 of 3140"
"Mesa County",08077,80.2,117949,"2926 of 3140"
"Arapahoe County",08005,80.9,500547,"2867 of 3140"
"San Miguel County",08113,81.4,6291,"2812 of 3140"
"Gilpin County",08047,81.9,4685,"2765 of 3140"
"Morgan County",08087,82.0,22863,"2760 of 3140"
"La Plata County",08067,82.1,44172,"2739 of 3140"
"Grand County",08049,82.1,12102,"2738 of 3140"
"Weld County",08123,82.2,231448,"2733 of 3140"
"Lake County",08065,82.2,6110,"2724 of 3140"
"Summit County",08117,82.3,24303,"2712 of 3140"
"Pueblo County",08101,82.7,133733,"2663 of 3140"
"Sedgwick County",08115,82.7,1910,"2659 of 3140"
"Las Animas County",08071,82.7,11597,"2654 of 3140"
"Teller County",08119,82.9,19561,"2629 of 3140"
"Pitkin County",08097,83.3,14642,"2566 of 3140"
"Routt County",08107,83.4,20175,"2559 of 3140"
"Douglas County",08035,83.6,265781,"2511 of 3140"
"Clear Creek County",08019,83.8,7693,"2469 of 3140"
"Montezuma County",08083,83.9,21443,"2463 of 3140"
"Garfield County",08045,83.9,48140,"2447 of 3140"
"Otero County",08089,84.0,15268,"2439 of 3140"
"Montrose County",08085,84.3,34126,"2379 of 3140"
"Fremont County",08043,84.5,39159,"2347 of 3140"
"Jefferson County",08059,84.6,472154,"2321 of 3140"
"Baca County",08009,84.6,2994,"2319 of 3140"
"Rio Grande County",08105,84.8,9610,"2280 of 3140"
"Park County",08093,84.8,14227,"2264 of 3140"
"Adams County",08001,84.9,408136,"2257 of 3140"
"Bent County",08011,85.2,4916,"2170 of 3140"
"Prowers County",08099,85.5,10162,"2095 of 3140"
"Kit Carson County",08063,86.5,6647,"1793 of 3140"
"San Juan County",08111,86.8,494,"1667 of 3140"
"Chaffee County",08015,86.9,16227,"1640 of 3140"
"Dolores County",08033,86.9,1508,"1637 of 3140"
"Yuma County",08125,87.0,8677,"1630 of 3140"
"Custer County",08027,87.2,3915,"1559 of 3140"
"Delta County",08029,87.2,26145,"1544 of 3140"
"Huerfano County",08055,87.5,5675,"1452 of 3140"
"Archuleta County",08007,87.8,10957,"1353 of 3140"
"Phillips County",08095,88.0,3763,"1269 of 3140"
"Eagle County",08037,88.2,46842,"1179 of 3140"
"Ouray County",08091,88.5,4091,"1101 of 3140"
"Lincoln County",08073,88.6,4842,"1056 of 3140"
"Jackson County",08057,88.8,1194,"990 of 3140"
"Elbert County",08039,88.9,21710,"978 of 3140"
"Costilla County",08023,89.0,3169,"938 of 3140"
"Mineral County",08079,89.0,731,"901 of 3140"
"Crowley County",08025,89.7,4911,"712 of 3140"
"Conejos County",08021,90.6,7289,"501 of 3140"
"Saguache County",08109,91.5,5738,"316 of 3140"
"Hinsdale County",08053,92.4,746,"191 of 3140"
"Kiowa County",08061,94.9,1276,"40 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
