------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Colorado",08000,19.3,1027733,"12 of 52"
"United States",00000,23.7,74202606,"N/A"
"Douglas County",08035,6.1,19578,"3 of 3141"
"Broomfield County",08014,10.1,6467,"47 of 3141"
"Clear Creek County",08019,10.9,990,"63 of 3141"
"Elbert County",08039,11.3,2745,"69 of 3141"
"Gilpin County",08047,11.9,671,"90 of 3141"
"Pitkin County",08097,12.4,2193,"117 of 3141"
"Jefferson County",08059,13.0,72063,"135 of 3141"
"Park County",08093,13.7,2294,"162 of 3141"
"Teller County",08119,14.1,3321,"184 of 3141"
"Eagle County",08037,14.3,7614,"193 of 3141"
"Arapahoe County",08005,16.7,103633,"359 of 3141"
"Routt County",08107,16.9,4058,"374 of 3141"
"Summit County",08117,16.9,5002,"379 of 3141"
"Garfield County",08045,18.3,10441,"519 of 3141"
"Phillips County",08095,18.4,781,"523 of 3141"
"Boulder County",08013,18.5,56553,"546 of 3141"
"La Plata County",08067,18.6,9755,"554 of 3141"
"Ouray County",08091,18.7,869,"582 of 3141"
"San Miguel County",08113,19.1,1485,"620 of 3141"
"El Paso County",08041,19.4,127657,"658 of 3141"
"Weld County",08123,19.5,54522,"681 of 3141"
"Larimer County",08069,19.7,63262,"696 of 3141"
"Rio Blanco County",08103,19.8,1231,"710 of 3141"
"Hinsdale County",08053,20.1,165,"765 of 3141"
"Mineral County",08079,20.1,168,"768 of 3141"
"Chaffee County",08015,20.2,3566,"773 of 3141"
"Grand County",08049,20.9,3074,"870 of 3141"
"Cheyenne County",08017,21.7,450,"969 of 3141"
"Adams County",08001,21.9,105607,"990 of 3141"
"Moffat County",08081,22.4,2885,"1068 of 3141"
"Morgan County",08087,22.8,6293,"1111 of 3141"
"Washington County",08121,22.8,1021,"1125 of 3141"
"Lincoln County",08073,23.1,811,"1160 of 3141"
"Archuleta County",08007,23.9,2977,"1266 of 3141"
"Denver County",08031,24.5,162896,"1353 of 3141"
"Kit Carson County",08063,24.5,1739,"1361 of 3141"
"Jackson County",08057,24.7,338,"1410 of 3141"
"Lake County",08065,25.1,1840,"1453 of 3141"
"Custer County",08027,25.1,1111,"1461 of 3141"
"Mesa County",08077,25.2,36586,"1473 of 3141"
"Gunnison County",08051,26.9,4151,"1729 of 3141"
"Sedgwick County",08115,27.0,621,"1734 of 3141"
"Huerfano County",08055,27.2,1724,"1769 of 3141"
"Kiowa County",08061,27.4,368,"1797 of 3141"
"Rio Grande County",08105,27.5,3057,"1801 of 3141"
"Yuma County",08125,27.8,2767,"1850 of 3141"
"Logan County",08075,27.8,5803,"1861 of 3141"
"Fremont County",08043,27.9,10000,"1867 of 3141"
"Montrose County",08085,28.3,11454,"1928 of 3141"
"Montezuma County",08083,29.2,7436,"2034 of 3141"
"San Juan County",08111,29.7,169,"2098 of 3141"
"Dolores County",08033,29.8,518,"2122 of 3141"
"Las Animas County",08071,30.2,4020,"2170 of 3141"
"Prowers County",08099,31.0,3642,"2257 of 3141"
"Delta County",08029,31.1,9046,"2268 of 3141"
"Pueblo County",08101,31.2,49503,"2278 of 3141"
"Baca County",08009,33.8,1171,"2533 of 3141"
"Crowley County",08025,35.2,1507,"2651 of 3141"
"Otero County",08089,36.7,6553,"2767 of 3141"
"Conejos County",08021,37.9,3072,"2837 of 3141"
"Bent County",08011,39.2,1520,"2890 of 3141"
"Saguache County",08109,41.6,2625,"2969 of 3141"
"Alamosa County",08003,43.1,6576,"3015 of 3141"
"Costilla County",08023,47.4,1718,"3078 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
