------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Colorado",08000,4.1,221155,"36 of 52"
"United States",00000,12.7,40610815,"N/A"
"Dolores County",08033,0.0,0,"3052 of 3141"
"Hinsdale County",08053,0.0,0,"3052 of 3141"
"Jackson County",08057,0.0,0,"3052 of 3141"
"Ouray County",08091,0.0,0,"3052 of 3141"
"Saguache County",08109,0.0,0,"3052 of 3141"
"San Juan County",08111,0.0,0,"3052 of 3141"
"Cheyenne County",08017,0.0,1,"3022 of 3141"
"Lake County",08065,0.1,9,"2946 of 3141"
"San Miguel County",08113,0.2,14,"2879 of 3141"
"Park County",08093,0.2,33,"2866 of 3141"
"Phillips County",08095,0.3,13,"2761 of 3141"
"Rio Blanco County",08103,0.3,20,"2755 of 3141"
"Costilla County",08023,0.4,13,"2690 of 3141"
"Grand County",08049,0.4,56,"2678 of 3141"
"Montezuma County",08083,0.4,99,"2669 of 3141"
"Garfield County",08045,0.4,236,"2639 of 3141"
"Montrose County",08085,0.4,173,"2625 of 3141"
"Gunnison County",08051,0.5,75,"2577 of 3141"
"Conejos County",08021,0.5,39,"2554 of 3141"
"Prowers County",08099,0.5,59,"2535 of 3141"
"La Plata County",08067,0.5,274,"2523 of 3141"
"Kiowa County",08061,0.6,8,"2428 of 3141"
"Gilpin County",08047,0.6,34,"2425 of 3141"
"Rio Grande County",08105,0.6,68,"2415 of 3141"
"Huerfano County",08055,0.6,41,"2370 of 3141"
"Teller County",08119,0.7,158,"2329 of 3141"
"Elbert County",08039,0.7,164,"2323 of 3141"
"Mesa County",08077,0.7,1096,"2245 of 3141"
"Otero County",08089,0.8,140,"2231 of 3141"
"Routt County",08107,0.8,193,"2204 of 3141"
"Eagle County",08037,0.9,461,"2144 of 3141"
"Boulder County",08013,0.9,2737,"2141 of 3141"
"Clear Creek County",08019,0.9,81,"2129 of 3141"
"Las Animas County",08071,0.9,128,"2112 of 3141"
"Larimer County",08069,0.9,3053,"2098 of 3141"
"Summit County",08117,1.0,283,"2072 of 3141"
"Moffat County",08081,1.0,126,"2060 of 3141"
"Washington County",08121,1.1,52,"1995 of 3141"
"Jefferson County",08059,1.1,6228,"1983 of 3141"
"Weld County",08123,1.1,3199,"1979 of 3141"
"Broomfield County",08014,1.1,722,"1976 of 3141"
"Delta County",08029,1.2,349,"1960 of 3141"
"Logan County",08075,1.2,254,"1956 of 3141"
"Douglas County",08035,1.2,3806,"1947 of 3141"
"Sedgwick County",08115,1.3,30,"1910 of 3141"
"Archuleta County",08007,1.4,176,"1844 of 3141"
"Yuma County",08125,1.5,149,"1811 of 3141"
"Pitkin County",08097,1.5,271,"1783 of 3141"
"Baca County",08009,1.5,55,"1779 of 3141"
"Chaffee County",08015,1.6,300,"1756 of 3141"
"Mineral County",08079,1.8,15,"1683 of 3141"
"Pueblo County",08101,2.2,3620,"1576 of 3141"
"Custer County",08027,2.5,112,"1519 of 3141"
"Alamosa County",08003,2.5,408,"1516 of 3141"
"Morgan County",08087,3.1,867,"1399 of 3141"
"Kit Carson County",08063,3.2,249,"1384 of 3141"
"Adams County",08001,3.2,15681,"1375 of 3141"
"Crowley County",08025,4.3,237,"1218 of 3141"
"Fremont County",08043,4.6,2145,"1183 of 3141"
"Bent County",08011,6.1,352,"1030 of 3141"
"El Paso County",08041,6.1,41457,"1022 of 3141"
"Lincoln County",08073,9.1,504,"835 of 3141"
"Denver County",08031,9.5,64466,"819 of 3141"
"Arapahoe County",08005,10.5,65566,"775 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
