------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Colorado",08000,4.1,217854,"45 of 51"
"San Juan County",08111,0.0,0,"1 of 3140"
"Jackson County",08057,0.1,1,"24 of 3140"
"Conejos County",08021,0.6,50,"259 of 3140"
"Lincoln County",08073,0.9,47,"483 of 3140"
"Bent County",08011,1.0,57,"636 of 3140"
"Custer County",08027,1.2,54,"896 of 3140"
"Kiowa County",08061,1.5,20,"1239 of 3140"
"Elbert County",08039,1.5,376,"1302 of 3140"
"Yuma County",08125,1.5,154,"1308 of 3140"
"Saguache County",08109,1.6,102,"1401 of 3140"
"Kit Carson County",08063,2.2,167,"1935 of 3140"
"Adams County",08001,2.2,10575,"1961 of 3140"
"Crowley County",08025,2.2,123,"1989 of 3140"
"Morgan County",08087,2.3,646,"2040 of 3140"
"Phillips County",08095,2.3,100,"2057 of 3140"
"Eagle County",08037,2.4,1269,"2090 of 3140"
"Pueblo County",08101,2.5,4011,"2143 of 3140"
"Baca County",08009,2.5,88,"2145 of 3140"
"Chaffee County",08015,2.5,475,"2191 of 3140"
"Delta County",08029,2.7,805,"2272 of 3140"
"Park County",08093,2.7,456,"2292 of 3140"
"Moffat County",08081,2.8,360,"2333 of 3140"
"Las Animas County",08071,2.8,393,"2344 of 3140"
"Otero County",08089,2.9,526,"2388 of 3140"
"Logan County",08075,2.9,627,"2402 of 3140"
"Weld County",08123,2.9,8192,"2402 of 3140"
"Pitkin County",08097,3.0,529,"2459 of 3140"
"Jefferson County",08059,3.1,17344,"2498 of 3140"
"Costilla County",08023,3.1,111,"2501 of 3140"
"Cheyenne County",08017,3.2,66,"2545 of 3140"
"Mesa County",08077,3.3,4913,"2606 of 3140"
"Arapahoe County",08005,3.4,20936,"2624 of 3140"
"Summit County",08117,3.4,1013,"2639 of 3140"
"Fremont County",08043,3.5,1609,"2650 of 3140"
"Montrose County",08085,3.6,1453,"2696 of 3140"
"Garfield County",08045,3.8,2159,"2739 of 3140"
"Alamosa County",08003,3.9,632,"2781 of 3140"
"Teller County",08119,4.0,935,"2785 of 3140"
"Huerfano County",08055,4.0,261,"2800 of 3140"
"Douglas County",08035,4.1,13015,"2819 of 3140"
"Prowers County",08099,4.2,502,"2842 of 3140"
"Gunnison County",08051,4.3,691,"2861 of 3140"
"Routt County",08107,4.4,1060,"2873 of 3140"
"Dolores County",08033,4.4,77,"2892 of 3140"
"Denver County",08031,4.5,29887,"2898 of 3140"
"Clear Creek County",08019,4.5,412,"2904 of 3140"
"Larimer County",08069,4.5,14788,"2907 of 3140"
"Grand County",08049,4.6,675,"2919 of 3140"
"Ouray County",08091,4.6,212,"2921 of 3140"
"Mineral County",08079,4.6,38,"2926 of 3140"
"Gilpin County",08047,4.7,269,"2936 of 3140"
"Archuleta County",08007,4.8,595,"2944 of 3140"
"Washington County",08121,4.9,235,"2960 of 3140"
"Rio Blanco County",08103,5.1,332,"2979 of 3140"
"Montezuma County",08083,5.2,1327,"2991 of 3140"
"Broomfield County",08014,5.3,3346,"2998 of 3140"
"La Plata County",08067,5.8,3094,"3031 of 3140"
"Hinsdale County",08053,5.8,47,"3037 of 3140"
"Lake County",08065,5.9,437,"3041 of 3140"
"Boulder County",08013,6.0,18833,"3048 of 3140"
"Rio Grande County",08105,6.2,700,"3055 of 3140"
"Sedgwick County",08115,6.7,155,"3071 of 3140"
"El Paso County",08041,6.7,44873,"3075 of 3140"
"San Miguel County",08113,8.0,619,"3114 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
