------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"United States",00000,0.8,2632102,"N/A"
"Colorado",08000,0.9,51406,"16 of 52"
"Kiowa County",08061,0.0,0,"2960 of 3141"
"Grand County",08049,0.0,4,"2904 of 3141"
"Rio Blanco County",08103,0.1,9,"2463 of 3141"
"Kit Carson County",08063,0.1,11,"2446 of 3141"
"Pitkin County",08097,0.2,33,"2236 of 3141"
"Cheyenne County",08017,0.2,4,"2222 of 3141"
"Douglas County",08035,0.3,815,"1933 of 3141"
"Prowers County",08099,0.3,31,"1921 of 3141"
"Summit County",08117,0.3,78,"1891 of 3141"
"Washington County",08121,0.3,13,"1850 of 3141"
"Lake County",08065,0.3,23,"1694 of 3141"
"Yuma County",08125,0.3,32,"1651 of 3141"
"Ouray County",08091,0.3,15,"1628 of 3141"
"Jackson County",08057,0.4,5,"1480 of 3141"
"Teller County",08119,0.4,91,"1426 of 3141"
"Morgan County",08087,0.4,110,"1403 of 3141"
"San Miguel County",08113,0.4,32,"1356 of 3141"
"Chaffee County",08015,0.4,79,"1330 of 3141"
"Eagle County",08037,0.4,230,"1310 of 3141"
"Broomfield County",08014,0.5,301,"1226 of 3141"
"San Juan County",08111,0.5,3,"1112 of 3141"
"Boulder County",08013,0.5,1682,"1108 of 3141"
"Arapahoe County",08005,0.6,3573,"1057 of 3141"
"Moffat County",08081,0.6,78,"1023 of 3141"
"Larimer County",08069,0.6,2130,"954 of 3141"
"Routt County",08107,0.6,157,"952 of 3141"
"Clear Creek County",08019,0.6,60,"945 of 3141"
"El Paso County",08041,0.7,4488,"935 of 3141"
"Weld County",08123,0.7,2070,"869 of 3141"
"Elbert County",08039,0.7,179,"860 of 3141"
"Mesa County",08077,0.8,1136,"828 of 3141"
"Montrose County",08085,0.8,325,"806 of 3141"
"Jefferson County",08059,0.8,4506,"801 of 3141"
"Dolores County",08033,0.9,15,"753 of 3141"
"Logan County",08075,0.9,190,"750 of 3141"
"Gunnison County",08051,0.9,141,"749 of 3141"
"Custer County",08027,1.0,43,"693 of 3141"
"Delta County",08029,1.0,290,"691 of 3141"
"Denver County",08031,1.0,6537,"687 of 3141"
"Bent County",08011,1.0,56,"685 of 3141"
"Garfield County",08045,1.0,564,"679 of 3141"
"Sedgwick County",08115,1.0,24,"657 of 3141"
"Lincoln County",08073,1.0,57,"650 of 3141"
"Phillips County",08095,1.0,45,"645 of 3141"
"Park County",08093,1.1,181,"616 of 3141"
"Baca County",08009,1.1,39,"609 of 3141"
"Adams County",08001,1.2,5843,"562 of 3141"
"Mineral County",08079,1.2,10,"561 of 3141"
"Fremont County",08043,1.2,575,"544 of 3141"
"Gilpin County",08047,1.3,73,"534 of 3141"
"Saguache County",08109,1.4,86,"509 of 3141"
"Crowley County",08025,1.4,78,"492 of 3141"
"Costilla County",08023,1.5,53,"477 of 3141"
"Otero County",08089,1.5,276,"462 of 3141"
"Huerfano County",08055,1.9,124,"400 of 3141"
"Conejos County",08021,2.0,167,"378 of 3141"
"Hinsdale County",08053,2.3,19,"349 of 3141"
"Rio Grande County",08105,2.4,273,"334 of 3141"
"Archuleta County",08007,2.5,312,"325 of 3141"
"Alamosa County",08003,2.6,420,"317 of 3141"
"Pueblo County",08101,3.6,5811,"258 of 3141"
"Las Animas County",08071,3.6,508,"257 of 3141"
"La Plata County",08067,5.9,3227,"179 of 3141"
"Montezuma County",08083,11.9,3066,"100 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
