------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Colorado",08000,0.6,33520,"35 of 51"
"United States",00000,0.7,2074097,"N/A"
"Costilla County",08023,0.0,0,"1 of 3140"
"Crowley County",08025,0.0,0,"1 of 3140"
"Custer County",08027,0.0,0,"1 of 3140"
"Delta County",08029,0.0,0,"1 of 3140"
"Gilpin County",08047,0.0,0,"1 of 3140"
"Hinsdale County",08053,0.0,0,"1 of 3140"
"Kiowa County",08061,0.0,0,"1 of 3140"
"Lake County",08065,0.0,0,"1 of 3140"
"Lincoln County",08073,0.0,0,"1 of 3140"
"Saguache County",08109,0.0,0,"1 of 3140"
"San Juan County",08111,0.0,0,"1 of 3140"
"Teller County",08119,0.0,5,"422 of 3140"
"Rio Grande County",08105,0.0,3,"442 of 3140"
"Clear Creek County",08019,0.0,3,"479 of 3140"
"Montezuma County",08083,0.0,11,"541 of 3140"
"Huerfano County",08055,0.1,4,"641 of 3140"
"Montrose County",08085,0.1,27,"690 of 3140"
"Routt County",08107,0.1,21,"841 of 3140"
"Phillips County",08095,0.1,4,"882 of 3140"
"Ouray County",08091,0.1,6,"1144 of 3140"
"Kit Carson County",08063,0.1,10,"1146 of 3140"
"Elbert County",08039,0.1,36,"1243 of 3140"
"Conejos County",08021,0.1,12,"1256 of 3140"
"Park County",08093,0.2,27,"1334 of 3140"
"Dolores County",08033,0.2,3,"1415 of 3140"
"Bent County",08011,0.2,10,"1417 of 3140"
"Rio Blanco County",08103,0.2,12,"1493 of 3140"
"Sedgwick County",08115,0.2,5,"1659 of 3140"
"Las Animas County",08071,0.2,31,"1682 of 3140"
"Otero County",08089,0.2,42,"1726 of 3140"
"La Plata County",08067,0.2,128,"1755 of 3140"
"Moffat County",08081,0.2,32,"1805 of 3140"
"Yuma County",08125,0.3,25,"1817 of 3140"
"Prowers County",08099,0.3,30,"1825 of 3140"
"Pueblo County",08101,0.3,411,"1835 of 3140"
"Gunnison County",08051,0.3,42,"1869 of 3140"
"Mesa County",08077,0.3,420,"1974 of 3140"
"Washington County",08121,0.3,14,"1994 of 3140"
"Fremont County",08043,0.3,154,"2123 of 3140"
"Alamosa County",08003,0.3,56,"2174 of 3140"
"Weld County",08123,0.4,1022,"2222 of 3140"
"Baca County",08009,0.4,14,"2305 of 3140"
"Jefferson County",08059,0.4,2276,"2330 of 3140"
"Archuleta County",08007,0.4,56,"2413 of 3140"
"Garfield County",08045,0.5,281,"2484 of 3140"
"Adams County",08001,0.5,2433,"2512 of 3140"
"Grand County",08049,0.5,77,"2552 of 3140"
"Broomfield County",08014,0.6,352,"2606 of 3140"
"Douglas County",08035,0.6,1805,"2623 of 3140"
"Summit County",08117,0.6,170,"2631 of 3140"
"San Miguel County",08113,0.6,45,"2638 of 3140"
"Morgan County",08087,0.6,168,"2667 of 3140"
"Logan County",08075,0.6,131,"2673 of 3140"
"Mineral County",08079,0.6,5,"2674 of 3140"
"Larimer County",08069,0.6,2021,"2685 of 3140"
"Denver County",08031,0.7,4390,"2733 of 3140"
"Jackson County",08057,0.7,9,"2747 of 3140"
"Arapahoe County",08005,0.8,4919,"2853 of 3140"
"Cheyenne County",08017,0.8,17,"2873 of 3140"
"Chaffee County",08015,0.9,164,"2914 of 3140"
"Eagle County",08037,0.9,475,"2922 of 3140"
"Boulder County",08013,1.0,3262,"2970 of 3140"
"El Paso County",08041,1.1,7472,"2997 of 3140"
"Pitkin County",08097,2.1,372,"3103 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
