------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Colorado",08000,23.0,1251333,"22 of 52"
"Mineral County",08079,9.8,82,"3136 of 3141"
"Crowley County",08025,13.0,719,"3127 of 3141"
"Ouray County",08091,14.7,685,"3107 of 3141"
"Chaffee County",08015,15.2,2855,"3094 of 3141"
"Custer County",08027,15.4,694,"3078 of 3141"
"Bent County",08011,15.6,903,"3073 of 3141"
"Huerfano County",08055,15.9,1036,"3062 of 3141"
"Fremont County",08043,16.0,7460,"3058 of 3141"
"Summit County",08117,16.2,4801,"3051 of 3141"
"Pitkin County",08097,16.2,2880,"3048 of 3141"
"Clear Creek County",08019,16.5,1524,"3031 of 3141"
"San Juan County",08111,16.5,94,"3028 of 3141"
"Park County",08093,16.6,2811,"3016 of 3141"
"Grand County",08049,17.3,2555,"2969 of 3141"
"Archuleta County",08007,17.4,2193,"2958 of 3141"
"Gunnison County",08051,17.7,2871,"2928 of 3141"
"Lake County",08065,17.9,1337,"2911 of 3141"
"Hinsdale County",08053,18.0,148,"2888 of 3141"
"Las Animas County",08071,18.1,2563,"2878 of 3141"
"Costilla County",08023,18.3,665,"2841 of 3141"
"Teller County",08119,18.4,4370,"2829 of 3141"
"Gilpin County",08047,18.4,1066,"2825 of 3141"
"San Miguel County",08113,18.6,1449,"2812 of 3141"
"Routt County",08107,18.9,4606,"2752 of 3141"
"La Plata County",08067,19.3,10504,"2680 of 3141"
"Lincoln County",08073,19.9,1098,"2518 of 3141"
"Boulder County",08013,19.9,63136,"2510 of 3141"
"Larimer County",08069,20.3,67230,"2395 of 3141"
"Delta County",08029,20.4,6156,"2376 of 3141"
"Denver County",08031,20.4,138624,"2350 of 3141"
"Jefferson County",08059,20.6,116168,"2305 of 3141"
"Dolores County",08033,20.8,361,"2233 of 3141"
"Baca County",08009,20.9,750,"2185 of 3141"
"Jackson County",08057,21.1,290,"2102 of 3141"
"Logan County",08075,21.4,4677,"2017 of 3141"
"Sedgwick County",08115,21.9,517,"1802 of 3141"
"Mesa County",08077,22.1,32911,"1720 of 3141"
"Saguache County",08109,22.1,1403,"1708 of 3141"
"Elbert County",08039,22.3,5479,"1619 of 3141"
"Montrose County",08085,22.3,9142,"1605 of 3141"
"Eagle County",08037,22.5,12085,"1538 of 3141"
"Montezuma County",08083,22.5,5798,"1535 of 3141"
"Washington County",08121,22.7,1093,"1448 of 3141"
"Kit Carson County",08063,22.8,1792,"1392 of 3141"
"Pueblo County",08101,23.1,37713,"1274 of 3141"
"Otero County",08089,23.6,4330,"1042 of 3141"
"Rio Grande County",08105,23.7,2711,"1006 of 3141"
"Broomfield County",08014,24.1,15496,"834 of 3141"
"Rio Blanco County",08103,24.2,1590,"768 of 3141"
"Arapahoe County",08005,24.3,152415,"745 of 3141"
"Alamosa County",08003,24.3,3976,"743 of 3141"
"El Paso County",08041,24.8,167529,"593 of 3141"
"Phillips County",08095,24.9,1078,"565 of 3141"
"Prowers County",08099,25.5,3077,"453 of 3141"
"Moffat County",08081,25.8,3367,"393 of 3141"
"Garfield County",08045,25.8,14960,"385 of 3141"
"Morgan County",08087,26.4,7426,"322 of 3141"
"Weld County",08123,26.8,76466,"281 of 3141"
"Yuma County",08125,26.9,2720,"265 of 3141"
"Conejos County",08021,27.5,2242,"207 of 3141"
"Adams County",08001,27.6,134408,"205 of 3141"
"Kiowa County",08061,27.6,378,"200 of 3141"
"Douglas County",08035,27.8,89207,"178 of 3141"
"Cheyenne County",08017,31.2,663,"65 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
