------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Colorado",08000,2.9,60383,"34 of 51"
"United States",00000,4.5,5305440,"N/A"
"Cheyenne County",08017,0.0,0,"1 of 3140"
"Gilpin County",08047,0.0,0,"1 of 3140"
"Hinsdale County",08053,0.0,0,"1 of 3140"
"Huerfano County",08055,0.0,0,"1 of 3140"
"San Juan County",08111,0.0,0,"1 of 3140"
"Park County",08093,0.1,6,"381 of 3140"
"Elbert County",08039,0.1,12,"469 of 3140"
"Dolores County",08033,0.3,2,"753 of 3140"
"Ouray County",08091,0.3,7,"813 of 3140"
"Washington County",08121,0.4,9,"1060 of 3140"
"Fremont County",08043,0.5,80,"1091 of 3140"
"Mineral County",08079,0.5,2,"1121 of 3140"
"Kiowa County",08061,0.5,3,"1158 of 3140"
"La Plata County",08067,0.6,139,"1332 of 3140"
"Clear Creek County",08019,0.6,28,"1340 of 3140"
"Teller County",08119,0.8,78,"1503 of 3140"
"Montezuma County",08083,0.8,88,"1575 of 3140"
"Chaffee County",08015,0.9,69,"1605 of 3140"
"Douglas County",08035,0.9,1037,"1643 of 3140"
"Logan County",08075,1.0,79,"1693 of 3140"
"Mesa County",08077,1.1,646,"1781 of 3140"
"Rio Blanco County",08103,1.2,28,"1851 of 3140"
"Routt County",08107,1.2,112,"1871 of 3140"
"Larimer County",08069,1.2,1600,"1905 of 3140"
"Crowley County",08025,1.2,15,"1911 of 3140"
"Archuleta County",08007,1.4,76,"2001 of 3140"
"Grand County",08049,1.4,80,"2018 of 3140"
"Delta County",08029,1.4,170,"2023 of 3140"
"Moffat County",08081,1.4,72,"2030 of 3140"
"Gunnison County",08051,1.4,94,"2050 of 3140"
"Lincoln County",08073,1.5,22,"2072 of 3140"
"Jefferson County",08059,1.5,3459,"2084 of 3140"
"San Miguel County",08113,1.6,53,"2158 of 3140"
"Bent County",08011,1.8,32,"2263 of 3140"
"Broomfield County",08014,1.9,496,"2294 of 3140"
"El Paso County",08041,1.9,4825,"2302 of 3140"
"Jackson County",08057,2.0,12,"2329 of 3140"
"Pueblo County",08101,2.0,1291,"2341 of 3140"
"Pitkin County",08097,2.1,151,"2348 of 3140"
"Boulder County",08013,2.2,2690,"2379 of 3140"
"Sedgwick County",08115,2.2,22,"2399 of 3140"
"Custer County",08027,2.4,51,"2491 of 3140"
"Baca County",08009,2.5,40,"2513 of 3140"
"Las Animas County",08071,2.5,161,"2525 of 3140"
"Montrose County",08085,3.1,532,"2660 of 3140"
"Summit County",08117,3.2,300,"2668 of 3140"
"Weld County",08123,3.2,3185,"2670 of 3140"
"Lake County",08065,3.3,110,"2693 of 3140"
"Otero County",08089,3.8,282,"2748 of 3140"
"Phillips County",08095,4.0,67,"2770 of 3140"
"Kit Carson County",08063,4.4,131,"2813 of 3140"
"Arapahoe County",08005,4.6,10809,"2832 of 3140"
"Prowers County",08099,4.6,226,"2833 of 3140"
"Denver County",08031,4.7,13534,"2841 of 3140"
"Garfield County",08045,4.7,996,"2846 of 3140"
"Conejos County",08021,5.0,149,"2865 of 3140"
"Adams County",08001,5.5,8971,"2891 of 3140"
"Alamosa County",08003,6.0,365,"2917 of 3140"
"Saguache County",08109,6.1,159,"2919 of 3140"
"Rio Grande County",08105,6.2,296,"2928 of 3140"
"Eagle County",08037,6.4,1134,"2941 of 3140"
"Morgan County",08087,7.6,806,"2992 of 3140"
"Yuma County",08125,8.1,327,"3007 of 3140"
"Costilla County",08023,10.7,167,"3067 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:15 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
