------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Colorado",08000,3.2,173351,"22 of 52"
"United States",00000,5.5,17756436,"N/A"
"Baca County",08009,0.0,0,"2927 of 3141"
"Dolores County",08033,0.0,0,"2927 of 3141"
"Hinsdale County",08053,0.0,0,"2927 of 3141"
"Jackson County",08057,0.0,0,"2927 of 3141"
"Kiowa County",08061,0.0,0,"2927 of 3141"
"San Juan County",08111,0.0,0,"2927 of 3141"
"Yuma County",08125,0.0,0,"2927 of 3141"
"Custer County",08027,0.1,3,"2842 of 3141"
"Huerfano County",08055,0.1,6,"2799 of 3141"
"Conejos County",08021,0.2,16,"2590 of 3141"
"Rio Blanco County",08103,0.2,14,"2555 of 3141"
"Montezuma County",08083,0.2,58,"2532 of 3141"
"Gilpin County",08047,0.3,16,"2444 of 3141"
"Mineral County",08079,0.4,3,"2260 of 3141"
"Phillips County",08095,0.4,16,"2229 of 3141"
"Lincoln County",08073,0.4,23,"2104 of 3141"
"Rio Grande County",08105,0.4,49,"2072 of 3141"
"Bent County",08011,0.4,26,"2019 of 3141"
"Washington County",08121,0.5,22,"1993 of 3141"
"Crowley County",08025,0.5,26,"1962 of 3141"
"Ouray County",08091,0.6,28,"1664 of 3141"
"Prowers County",08099,0.6,78,"1570 of 3141"
"Morgan County",08087,0.6,182,"1567 of 3141"
"Gunnison County",08051,0.7,107,"1545 of 3141"
"La Plata County",08067,0.7,373,"1500 of 3141"
"Summit County",08117,0.7,204,"1497 of 3141"
"Archuleta County",08007,0.7,92,"1401 of 3141"
"Moffat County",08081,0.8,100,"1346 of 3141"
"Chaffee County",08015,0.8,147,"1326 of 3141"
"Fremont County",08043,0.8,366,"1316 of 3141"
"Garfield County",08045,0.8,473,"1275 of 3141"
"Mesa County",08077,0.9,1290,"1217 of 3141"
"Elbert County",08039,0.9,214,"1214 of 3141"
"Kit Carson County",08063,0.9,69,"1202 of 3141"
"Logan County",08075,1.0,209,"1120 of 3141"
"Eagle County",08037,1.0,515,"1116 of 3141"
"Las Animas County",08071,1.0,136,"1114 of 3141"
"Delta County",08029,1.0,291,"1112 of 3141"
"Pueblo County",08101,1.0,1584,"1103 of 3141"
"Clear Creek County",08019,1.1,99,"1005 of 3141"
"Routt County",08107,1.1,265,"983 of 3141"
"Saguache County",08109,1.1,70,"971 of 3141"
"Lake County",08065,1.1,83,"969 of 3141"
"Teller County",08119,1.1,264,"968 of 3141"
"Montrose County",08085,1.2,487,"902 of 3141"
"San Miguel County",08113,1.3,98,"845 of 3141"
"Pitkin County",08097,1.4,246,"780 of 3141"
"Weld County",08123,1.4,4139,"738 of 3141"
"Alamosa County",08003,1.5,240,"731 of 3141"
"Costilla County",08023,1.5,54,"720 of 3141"
"Sedgwick County",08115,1.5,36,"697 of 3141"
"Park County",08093,1.8,311,"586 of 3141"
"Otero County",08089,1.8,338,"584 of 3141"
"Larimer County",08069,2.1,7096,"500 of 3141"
"Grand County",08049,2.6,386,"400 of 3141"
"Jefferson County",08059,2.8,15609,"368 of 3141"
"El Paso County",08041,3.2,21329,"305 of 3141"
"Cheyenne County",08017,3.2,68,"302 of 3141"
"Denver County",08031,3.7,25426,"250 of 3141"
"Adams County",08001,4.0,19671,"223 of 3141"
"Douglas County",08035,4.5,14355,"189 of 3141"
"Boulder County",08013,4.6,14576,"184 of 3141"
"Arapahoe County",08005,5.9,37206,"122 of 3141"
"Broomfield County",08014,6.5,4163,"99 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
