------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"Colorado",08000,32.3,1757081,"21 of 52"
"United States",00000,32.4,104105673,"N/A"
"Alamosa County",08003,26.6,4345,"102 of 3141"
"Yuma County",08125,29.1,2946,"294 of 3141"
"Denver County",08031,29.2,197925,"297 of 3141"
"El Paso County",08041,30.2,203652,"424 of 3141"
"Adams County",08001,30.2,147229,"426 of 3141"
"Weld County",08123,30.3,86492,"445 of 3141"
"Prowers County",08099,30.3,3662,"449 of 3141"
"Kiowa County",08061,30.3,415,"455 of 3141"
"Larimer County",08069,30.5,100959,"486 of 3141"
"Kit Carson County",08063,30.5,2395,"491 of 3141"
"Gunnison County",08051,30.5,4950,"492 of 3141"
"Logan County",08075,30.8,6736,"544 of 3141"
"Otero County",08089,30.9,5669,"585 of 3141"
"Conejos County",08021,31.0,2528,"602 of 3141"
"Morgan County",08087,31.1,8753,"627 of 3141"
"Lincoln County",08073,31.2,1722,"645 of 3141"
"Pueblo County",08101,31.4,51379,"726 of 3141"
"Mesa County",08077,31.5,46902,"746 of 3141"
"Phillips County",08095,31.7,1371,"799 of 3141"
"Cheyenne County",08017,31.7,674,"802 of 3141"
"Rio Blanco County",08103,31.8,2087,"843 of 3141"
"Sedgwick County",08115,32.0,755,"917 of 3141"
"Boulder County",08013,32.7,103443,"1177 of 3141"
"Rio Grande County",08105,32.9,3763,"1302 of 3141"
"Garfield County",08045,33.1,19168,"1373 of 3141"
"Baca County",08009,33.1,1186,"1387 of 3141"
"Arapahoe County",08005,33.2,207912,"1421 of 3141"
"Crowley County",08025,33.2,1832,"1438 of 3141"
"Washington County",08121,33.5,1609,"1571 of 3141"
"Montrose County",08085,33.5,13708,"1599 of 3141"
"Dolores County",08033,33.5,582,"1608 of 3141"
"Montezuma County",08083,33.8,8709,"1755 of 3141"
"Delta County",08029,33.8,10217,"1767 of 3141"
"Bent County",08011,33.9,1967,"1811 of 3141"
"Broomfield County",08014,34.0,21862,"1874 of 3141"
"Las Animas County",08071,34.1,4823,"1913 of 3141"
"Moffat County",08081,34.2,4461,"1953 of 3141"
"Costilla County",08023,34.2,1242,"1983 of 3141"
"Eagle County",08037,34.6,18577,"2158 of 3141"
"La Plata County",08067,34.7,18883,"2192 of 3141"
"Fremont County",08043,35.4,16482,"2497 of 3141"
"Jefferson County",08059,35.5,200019,"2533 of 3141"
"Huerfano County",08055,36.1,2349,"2746 of 3141"
"Summit County",08117,36.7,10901,"2857 of 3141"
"Routt County",08107,36.8,8959,"2878 of 3141"
"Pitkin County",08097,36.8,6532,"2884 of 3141"
"Douglas County",08035,36.8,118240,"2891 of 3141"
"Custer County",08027,37.0,1665,"2913 of 3141"
"Chaffee County",08015,37.1,6984,"2941 of 3141"
"Saguache County",08109,37.2,2358,"2955 of 3141"
"Lake County",08065,37.3,2793,"2967 of 3141"
"Archuleta County",08007,37.9,4771,"3024 of 3141"
"Grand County",08049,38.1,5632,"3037 of 3141"
"Mineral County",08079,39.8,332,"3097 of 3141"
"San Juan County",08111,40.8,232,"3112 of 3141"
"Jackson County",08057,41.4,568,"3118 of 3141"
"San Miguel County",08113,42.2,3297,"3124 of 3141"
"Teller County",08119,42.4,10078,"3125 of 3141"
"Clear Creek County",08019,42.4,3929,"3126 of 3141"
"Ouray County",08091,42.9,1997,"3128 of 3141"
"Elbert County",08039,43.4,10660,"3129 of 3141"
"Gilpin County",08047,44.7,2591,"3132 of 3141"
"Hinsdale County",08053,45.0,369,"3134 of 3141"
"Park County",08093,46.5,7853,"3137 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
