------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Colorado",08000,5.2,152856,"14 of 52"
"United States",00000,6.6,10560305,"N/A"
"Dolores County",08033,0.4,3,"14 of 3141"
"Mineral County",08079,1.6,6,"82 of 3141"
"Jackson County",08057,1.8,13,"119 of 3141"
"Phillips County",08095,2.0,42,"138 of 3141"
"Yuma County",08125,2.4,119,"186 of 3141"
"Chaffee County",08015,2.5,218,"220 of 3141"
"Eagle County",08037,2.7,934,"255 of 3141"
"Kiowa County",08061,3.1,20,"335 of 3141"
"Routt County",08107,3.1,472,"350 of 3141"
"Clear Creek County",08019,3.2,171,"353 of 3141"
"Douglas County",08035,3.3,5705,"377 of 3141"
"Gilpin County",08047,3.3,115,"381 of 3141"
"Summit County",08117,3.3,667,"402 of 3141"
"Moffat County",08081,3.6,238,"492 of 3141"
"Elbert County",08039,3.6,489,"493 of 3141"
"Lincoln County",08073,3.7,56,"526 of 3141"
"San Miguel County",08113,3.8,190,"574 of 3141"
"Broomfield County",08014,4.0,1441,"614 of 3141"
"Hinsdale County",08053,4.1,17,"651 of 3141"
"Washington County",08121,4.2,96,"672 of 3141"
"Pitkin County",08097,4.3,515,"737 of 3141"
"Jefferson County",08059,4.3,13840,"745 of 3141"
"La Plata County",08067,4.4,1333,"763 of 3141"
"Morgan County",08087,4.5,625,"822 of 3141"
"Baca County",08009,4.5,78,"829 of 3141"
"Denver County",08031,4.5,17699,"837 of 3141"
"Grand County",08049,4.6,425,"861 of 3141"
"Park County",08093,4.6,441,"892 of 3141"
"Adams County",08001,5.1,13360,"1109 of 3141"
"Arapahoe County",08005,5.2,18023,"1121 of 3141"
"Boulder County",08013,5.2,9323,"1124 of 3141"
"Larimer County",08069,5.3,9586,"1167 of 3141"
"Kit Carson County",08063,5.3,203,"1182 of 3141"
"Weld County",08123,5.3,7818,"1187 of 3141"
"Garfield County",08045,5.4,1731,"1231 of 3141"
"Archuleta County",08007,5.4,328,"1258 of 3141"
"Lake County",08065,5.7,254,"1390 of 3141"
"Montezuma County",08083,5.9,701,"1470 of 3141"
"Ouray County",08091,5.9,145,"1489 of 3141"
"Logan County",08075,6.2,689,"1652 of 3141"
"Fremont County",08043,6.2,960,"1669 of 3141"
"Rio Blanco County",08103,6.3,206,"1704 of 3141"
"Teller County",08119,6.7,842,"1925 of 3141"
"El Paso County",08041,6.8,22050,"1944 of 3141"
"Sedgwick County",08115,6.8,72,"1948 of 3141"
"Gunnison County",08051,7.3,745,"2155 of 3141"
"Saguache County",08109,7.7,205,"2307 of 3141"
"Las Animas County",08071,7.8,513,"2361 of 3141"
"Huerfano County",08055,7.9,207,"2396 of 3141"
"Mesa County",08077,8.0,5963,"2414 of 3141"
"Montrose County",08085,8.0,1488,"2432 of 3141"
"Cheyenne County",08017,8.1,82,"2451 of 3141"
"Prowers County",08099,8.4,495,"2551 of 3141"
"Delta County",08029,8.5,1037,"2556 of 3141"
"Custer County",08027,8.7,133,"2618 of 3141"
"Rio Grande County",08105,8.8,453,"2624 of 3141"
"Costilla County",08023,9.1,125,"2699 of 3141"
"Pueblo County",08101,9.3,6745,"2717 of 3141"
"Otero County",08089,9.3,733,"2722 of 3141"
"Bent County",08011,9.3,140,"2724 of 3141"
"Conejos County",08021,9.4,300,"2745 of 3141"
"San Juan County",08111,9.8,33,"2813 of 3141"
"Alamosa County",08003,9.9,723,"2828 of 3141"
"Crowley County",08025,21.4,477,"3132 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
