------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=055&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '055', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=055&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alaska by Borough or Census Area

"Breast (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska(6,10)",02900,***,121.9 ,116.5, 127.5,422,stable,-1.6 ,-4.8, 1.6
"US (SEER+NPCR)(1,10)",00000,***,125.2 ,124.9, 125.4,239297,stable,0.0 ,-0.8, 0.9
"Nome Census Area(6,10)",02180,***,162 ,102.6, 241.2,6,stable,-21.1 ,-47.1, 17.8
"Yukon-Koyukuk Census Area(6,10)",02290,***,149.9 ,91.5, 233,4,stable,-21.9 ,-46.3, 13.8
"Kodiak Island Borough(6,10)",02150,***,144.8 ,102.5, 198.4,9,stable,1.2 ,-11.3, 15.5
"Anchorage Municipality(6,10)",02020,***,131.7 ,123, 140.9,185,stable,-0.2 ,-4.8, 4.7
"Prince of Wales-Outer Ketchikan Census Area(6,10)",02201,***,128 ,76.8, 203,4,stable,-11.7 ,-38.2, 26.0
"Matanuska-Susitna Borough(6,10)",02170,***,126 ,111.3, 142.2,60,stable,2.4 ,-18.0, 27.8
"Kenai Peninsula Borough(6,10)",02122,***,123.3 ,106.1, 142.5,42,stable,-1.7 ,-10.4, 7.8
"Valdez-Cordova Census Area(6,10)",02261,***,120.8 ,79.3, 177.1,6,stable,-16.4 ,-56.5, 60.9
"Southeast Fairbanks Census Area(6,10)",02240,***,120.3 ,72.8, 188.1,4,stable,-8.1 ,-25.8, 13.7
"Fairbanks North Borough(6,10)",02090,***,117.2 ,101.8, 134.2,48,stable,-2.0 ,-16.3, 14.9
"Juneau City and Borough(6,10)",02110,***,116.1 ,92.6, 143.7,19,stable,-5.1 ,-23.6, 18.0
"Sitka City and Borough(6,10)",02220,***,115.2 ,75.7, 168.5,6,stable,9.5 ,-44.2, 114.7
"Ketchikan Gateway Borough(6,10)",02130,***,108.7 ,75.8, 151.1,8,stable,-1.1 ,-38.1, 58.0
"Wrangell-Petersburg Census Area(6,10)",02280,***,91.2 ,54.1, 148.2,4,stable,3.0 ,-43.3, 87.0
"Bethel Census Area(6,10)",02050,***,56.2 ,33.4, 88.6,4,stable,-7.0 ,-28.7, 21.3
"Aleutians East Borough(6,10)",02013,***,* ,*, *,3 or fewer,*,*,*,*
"Aleutians West Census Area(6,10)",02016,***,* ,*, *,3 or fewer,*,*,*,*
"Bristol Bay Borough(6,10)",02060,***,* ,*, *,3 or fewer,*,*,*,*
"Denali Borough(6,10)",02068,***,* ,*, *,3 or fewer,*,*,*,*
"Dillingham Census Area(6,10)",02070,***,* ,*, *,3 or fewer,*,*,*,*
"Haines Borough(6,10)",02100,***,* ,*, *,3 or fewer,*,*,*,*
"Lake and Peninsula Borough(6,10)",02164,***,* ,*, *,3 or fewer,*,*,*,*
"North Slope Borough(6,10)",02185,***,* ,*, *,3 or fewer,*,*,*,*
"Northwest Arctic Borough(6,10)",02188,***,* ,*, *,3 or fewer,*,*,*,*
