------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=03&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '03', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=03&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alaska by Borough or Census Area

"All Cancer Sites (All Stages^), 2012-2016"

"Amer. Indian/Alaskan Native (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska(6,10)",02900,***,534.8 ,512.5, 557.8,492,stable,0.6 ,-4.9, 6.3
"US (SEER+NPCR)(1,10)",00000,***,288.8 ,286, 291.6,9632,stable,-1.5 ,-4.0, 1.0
"Aleutians West Census Area(6,10)",02016,***,828.3 ,568.1, 1166.8,7,stable,-0.5 ,-48.7, 93.0
"Kenai Peninsula Borough(6,10)",02122,***,822.8 ,683.2, 980.7,33,stable,0.5 ,-15.3, 19.3
"Southeast Fairbanks Census Area(6,10)",02240,***,735.8 ,494, 1051.7,7,stable,14.7 ,-20.9, 66.4
"Juneau City and Borough(6,10)",02110,***,683.7 ,561.3, 823.4,25,stable,1.2 ,-26.2, 38.7
"Yukon-Koyukuk Census Area(6,10)",02290,***,627.7 ,518.3, 753,26,stable,11.0 ,-20.7, 55.3
"North Slope Borough(6,10)",02185,***,617.5 ,503, 748.6,23,stable,-2.8 ,-19.2, 16.8
"Anchorage Municipality(6,10)",02020,***,593.4 ,542.2, 647.9,121,stable,3.1 ,-5.9, 12.9
"Kodiak Island Borough(6,10)",02150,***,583.7 ,426, 777.6,10,stable,3.9 ,-36.2, 69.2
"Fairbanks North Borough(6,10)",02090,***,572.5 ,485.1, 670.2,36,stable,-2.7 ,-22.3, 21.9
"Prince of Wales-Outer Ketchikan Census Area(6,10)",02201,***,562.2 ,437.5, 711,16,stable,-14.7 ,-38.7, 18.7
"Nome Census Area(6,10)",02180,***,559.7 ,465.3, 666.4,30,stable,0.8 ,-22.3, 30.8
