------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=0&age=006&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '006', 'type': 'incd', 'file_name': 'incidencerates_035.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=0&age=006&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alaska by Borough or Census Area

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages <65"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska(6,10)",02900,***,200.9 ,196.3, 205.6,1530,stable,0.6 ,-1.5, 2.8
"US (SEER+NPCR)(1,10)",00000,***,225.9 ,225.7, 226.1,737439,stable,-0.2 ,-1.1, 0.7
"Bristol Bay Borough(6,10)",02060,***,287.7 ,157.1, 492.6,3,stable,-12.5 ,-63.0, 106.9
"Yukon-Koyukuk Census Area(6,10)",02290,***,266.8 ,209.1, 336.3,17,stable,11.4 ,-16.7, 49.2
"Nome Census Area(6,10)",02180,***,216.6 ,174.9, 265.1,19,stable,4.0 ,-27.2, 48.6
"Anchorage Municipality(6,10)",02020,***,214.9 ,207.4, 222.7,638,stable,-0.3 ,-2.4, 1.9
"Matanuska-Susitna Borough(6,10)",02170,***,210.3 ,197.7, 223.5,220,stable,-0.3 ,-6.8, 6.7
"Kenai Peninsula Borough(6,10)",02122,***,204.1 ,188.3, 220.9,144,stable,7.3 ,-0.2, 15.4
"Northwest Arctic Borough(6,10)",02188,***,203.1 ,154.6, 261.5,12,stable,-5.7 ,-14.7, 4.3
"Ketchikan Gateway Borough(6,10)",02130,***,202.2 ,170.3, 238.6,32,stable,-4.0 ,-17.8, 12.2
"Prince of Wales-Outer Ketchikan Census Area(6,10)",02201,***,194 ,148.1, 250.5,14,stable,-8.6 ,-19.6, 3.9
"Fairbanks North Borough(6,10)",02090,***,193.6 ,180.8, 207,182,stable,2.8 ,-6.8, 13.3
"Kodiak Island Borough(6,10)",02150,***,189.9 ,158.3, 226.1,27,stable,-6.4 ,-15.0, 3.0
"Skagway-Hoonah-Angoon Census Area(6,10)",02232,***,189.8 ,129.7, 272,8,stable,0.7 ,-40.6, 70.8
"Juneau City and Borough(6,10)",02110,***,189.3 ,169.4, 211,71,stable,-3.9 ,-13.8, 7.1
"Wade Hampton Census Area(6,10)",02270,***,188.7 ,139.7, 248.2,11,stable,-8.3 ,-39.4, 38.9
"Sitka City and Borough(6,10)",02220,***,180.2 ,143.7, 223.9,18,stable,4.9 ,-19.9, 37.4
"Haines Borough(6,10)",02100,***,173.7 ,106.4, 272.3,5,stable,-3.6 ,-33.9, 40.5
"Valdez-Cordova Census Area(6,10)",02261,***,170.3 ,136.1, 211,20,stable,8.0 ,-23.0, 51.6
"Southeast Fairbanks Census Area(6,10)",02240,***,168.3 ,129.9, 215.4,14,stable,-2.0 ,-21.4, 22.2
"Dillingham Census Area(6,10)",02070,***,166.1 ,119.1, 226.2,9,stable,3.8 ,-15.5, 27.7
"Wrangell-Petersburg Census Area(6,10)",02280,***,157 ,116.1, 209.3,12,stable,0.7 ,-20.2, 27.0
