------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=0&age=157&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '157', 'type': 'incd', 'file_name': 'incidencerates_038.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=0&age=157&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alaska by Borough or Census Area

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages 65+"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska(6,10)",02900,***,1879.1 ,1830.4, 1928.8,1253,stable,-2.0 ,-5.3, 1.4
"US (SEER+NPCR)(1,10)",00000,***,1983.5 ,1981.6, 1985.3,900671,falling,-1.4 ,-2.2, -0.6
"North Slope Borough(6,10)",02185,***,2546.5 ,1904.7, 3335.7,12,stable,-5.6 ,-27.5, 23.0
"Aleutians West Census Area(6,10)",02016,***,2496.7 ,1399, 4094.5,5,stable,-3.3 ,-41.0, 58.5
"Yukon-Koyukuk Census Area(6,10)",02290,***,2473.5 ,1941.5, 3107.4,16,stable,1.6 ,-15.1, 21.6
"Southeast Fairbanks Census Area(6,10)",02240,***,2341.6 ,1861.9, 2911.1,19,stable,4.7 ,-26.0, 48.1
"Nome Census Area(6,10)",02180,***,2311.4 ,1782, 2950.9,15,stable,-9.1 ,-32.5, 22.2
"Lake and Peninsula Borough(6,10)",02164,***,2133.2 ,1154.3, 3618.2,3,stable,-14.6 ,-64.2, 103.8
"Prince of Wales-Outer Ketchikan Census Area(6,10)",02201,***,2120.7 ,1636.4, 2710.6,16,stable,-7.5 ,-34.2, 29.9
"Matanuska-Susitna Borough(6,10)",02170,***,2057.8 ,1918.5, 2204.6,185,stable,-1.6 ,-9.8, 7.3
"Dillingham Census Area(6,10)",02070,***,2049.1 ,1432.6, 2845.3,8,stable,-12.6 ,-40.3, 28.0
"Ketchikan Gateway Borough(6,10)",02130,***,2033.5 ,1727.6, 2378.4,34,stable,-1.9 ,-8.5, 5.3
"Kodiak Island Borough(6,10)",02150,***,2004.6 ,1609.2, 2468.1,21,stable,-1.5 ,-25.8, 30.7
"Anchorage Municipality(6,10)",02020,***,1908.3 ,1830.1, 1989,490,stable,-2.1 ,-4.4, 0.3
"Valdez-Cordova Census Area(6,10)",02261,***,1892.2 ,1487.3, 2375.9,18,stable,-3.3 ,-21.7, 19.3
"Kenai Peninsula Borough(6,10)",02122,***,1796 ,1657.7, 1942.8,139,stable,-2.0 ,-13.0, 10.3
"Fairbanks North Borough(6,10)",02090,***,1762.9 ,1622.9, 1911.9,133,stable,-3.2 ,-7.1, 0.8
"Wrangell-Petersburg Census Area(6,10)",02280,***,1716.2 ,1355.6, 2144.1,16,stable,-0.7 ,-16.2, 17.6
"Haines Borough(6,10)",02100,***,1713.6 ,1152.7, 2449.5,7,stable,-22.3 ,-41.7, 3.6
