------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=04&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '04', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=04&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alaska by Borough or Census Area

"All Cancer Sites (All Stages^), 2012-2016"

"Asian or Pacific Islander (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska(6,10)",02900,***,293.8 ,270.6, 318.4,137,stable,-6.0 ,-12.2, 0.6
"US (SEER+NPCR)(1,10)",00000,***,287.7 ,286.6, 288.9,51819,falling,-1.5 ,-2.5, -0.4
"Kenai Peninsula Borough(6,10)",02122,***,474.7 ,277, 748.9,4,stable,-6.8 ,-43.7, 54.3
"Matanuska-Susitna Borough(6,10)",02170,***,446.9 ,286.8, 657.5,6,stable,17.2 ,-44.7, 148.8
"Ketchikan Gateway Borough(6,10)",02130,***,404.8 ,239.7, 636.6,5,stable,-24.9 ,-49.6, 11.9
"Kodiak Island Borough(6,10)",02150,***,357.7 ,243, 505.3,9,stable,-19.3 ,-49.6, 29.2
"Anchorage Municipality(6,10)",02020,***,327.2 ,297.5, 359.1,96,stable,-6.3 ,-15.3, 3.6
"Juneau City and Borough(6,10)",02110,***,189.3 ,114.2, 294.1,5,stable,-16.3 ,-54.5, 53.8
"Fairbanks North Borough(6,10)",02090,***,184.2 ,112.1, 283,5,stable,4.2 ,-31.9, 59.4
"Aleutians East Borough(6,10)",02013,***,* ,*, *,3 or fewer,*,*,*,*
"Aleutians West Census Area(6,10)",02016,***,* ,*, *,3 or fewer,*,*,*,*
"Bethel Census Area(6,10)",02050,***,* ,*, *,3 or fewer,*,*,*,*
"Bristol Bay Borough(6,10)",02060,***,* ,*, *,3 or fewer,*,*,*,*
"Denali Borough(6,10)",02068,***,* ,*, *,3 or fewer,*,*,*,*
"Dillingham Census Area(6,10)",02070,***,* ,*, *,3 or fewer,*,*,*,*
"Haines Borough(6,10)",02100,***,* ,*, *,3 or fewer,*,*,*,*
"Lake and Peninsula Borough(6,10)",02164,***,* ,*, *,3 or fewer,*,*,*,*
"Nome Census Area(6,10)",02180,***,* ,*, *,3 or fewer,*,*,*,*
"North Slope Borough(6,10)",02185,***,* ,*, *,3 or fewer,*,*,*,*
"Northwest Arctic Borough(6,10)",02188,***,* ,*, *,3 or fewer,*,*,*,*
"Prince of Wales-Outer Ketchikan Census Area(6,10)",02201,***,* ,*, *,3 or fewer,*,*,*,*
"Sitka City and Borough(6,10)",02220,***,* ,*, *,3 or fewer,*,*,*,*
"Skagway-Hoonah-Angoon Census Area(6,10)",02232,***,* ,*, *,3 or fewer,*,*,*,*
"Southeast Fairbanks Census Area(6,10)",02240,***,* ,*, *,3 or fewer,*,*,*,*
"Valdez-Cordova Census Area(6,10)",02261,***,* ,*, *,3 or fewer,*,*,*,*
"Wade Hampton Census Area(6,10)",02270,***,* ,*, *,3 or fewer,*,*,*,*
"Wrangell-Petersburg Census Area(6,10)",02280,***,* ,*, *,3 or fewer,*,*,*,*
"Yakutat City and Borough(6,10)",02282,***,* ,*, *,3 or fewer,*,*,*,*
"Yukon-Koyukuk Census Area(6,10)",02290,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.

*** No Healthy People 2020 Objective for this cancer.

"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
