------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=516&race=00&sex=0&age=016&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '516', 'race': '00', 'sex': '0', 'age': '016', 'type': 'incd', 'file_name': 'incidencerates_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=516&race=00&sex=0&age=016&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alaska by Borough or Census Area

"Childhood (Ages <15, All Sites) (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages <15"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska(6,10)",02900,***,15.6 ,13, 18.6,25,stable,-1.8 ,-8.1, 4.8
"US (SEER+NPCR)(1,10)",00000,***,17.3 ,17.2, 17.5,10605,stable,0.9 ,-0.3, 2.0
"Anchorage Municipality(6,10)",02020,***,17.7 ,13.3, 23,11,stable,7.1 ,-7.3, 23.8
"Matanuska-Susitna Borough(6,10)",02170,***,14.2 ,8.1, 23.1,3,*,*,*,*
"Aleutians East Borough(6,10)",02013,***,* ,*, *,3 or fewer,*,*,*,*
"Aleutians West Census Area(6,10)",02016,***,* ,*, *,3 or fewer,*,*,*,*
"Bethel Census Area(6,10)",02050,***,* ,*, *,3 or fewer,*,*,*,*
"Bristol Bay Borough(6,10)",02060,***,* ,*, *,3 or fewer,*,*,*,*
"Denali Borough(6,10)",02068,***,* ,*, *,3 or fewer,*,*,*,*
"Dillingham Census Area(6,10)",02070,***,* ,*, *,3 or fewer,*,*,*,*
"Fairbanks North Borough(6,10)",02090,***,* ,*, *,3 or fewer,*,*,*,*
"Haines Borough(6,10)",02100,***,* ,*, *,3 or fewer,*,*,*,*
"Juneau City and Borough(6,10)",02110,***,* ,*, *,3 or fewer,*,*,*,*
"Kenai Peninsula Borough(6,10)",02122,***,* ,*, *,3 or fewer,*,*,*,*
"Ketchikan Gateway Borough(6,10)",02130,***,* ,*, *,3 or fewer,*,*,*,*
"Kodiak Island Borough(6,10)",02150,***,* ,*, *,3 or fewer,*,*,*,*
"Lake and Peninsula Borough(6,10)",02164,***,* ,*, *,3 or fewer,*,*,*,*
"Nome Census Area(6,10)",02180,***,* ,*, *,3 or fewer,*,*,*,*
"North Slope Borough(6,10)",02185,***,* ,*, *,3 or fewer,*,*,*,*
"Northwest Arctic Borough(6,10)",02188,***,* ,*, *,3 or fewer,*,*,*,*
"Prince of Wales-Outer Ketchikan Census Area(6,10)",02201,***,* ,*, *,3 or fewer,*,*,*,*
"Sitka City and Borough(6,10)",02220,***,* ,*, *,3 or fewer,*,*,*,*
"Skagway-Hoonah-Angoon Census Area(6,10)",02232,***,* ,*, *,3 or fewer,*,*,*,*
"Southeast Fairbanks Census Area(6,10)",02240,***,* ,*, *,3 or fewer,*,*,*,*
"Valdez-Cordova Census Area(6,10)",02261,***,* ,*, *,3 or fewer,*,*,*,*
"Wade Hampton Census Area(6,10)",02270,***,* ,*, *,3 or fewer,*,*,*,*
"Wrangell-Petersburg Census Area(6,10)",02280,***,* ,*, *,3 or fewer,*,*,*,*
"Yakutat City and Borough(6,10)",02282,***,* ,*, *,3 or fewer,*,*,*,*
"Yukon-Koyukuk Census Area(6,10)",02290,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.

*** No Healthy People 2020 Objective for this cancer.

