------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=0&age=136&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '136', 'type': 'incd', 'file_name': 'incidencerates_037.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=0&age=136&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alaska by Borough or Census Area

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages 50+"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska(6,10)",02900,***,1245.6 ,1221, 1270.6,2331,stable,-1.4 ,-2.8, 0.1
"US (SEER+NPCR)(1,10)",00000,***,1350.2 ,1349.2, 1351.2,1428518,falling,-1.1 ,-1.8, -0.3
"Yukon-Koyukuk Census Area(6,10)",02290,***,1723.1 ,1440.5, 2045,29,stable,4.4 ,-10.7, 22.2
"Nome Census Area(6,10)",02180,***,1519.5 ,1252.2, 1826.9,29,stable,-6.8 ,-25.3, 16.2
"Southeast Fairbanks Census Area(6,10)",02240,***,1451.1 ,1209.8, 1726.9,30,stable,5.1 ,-21.1, 40.2
"North Slope Borough(6,10)",02185,***,1423.2 ,1119, 1781.1,23,stable,-3.7 ,-23.7, 21.4
"Lake and Peninsula Borough(6,10)",02164,***,1353.7 ,849, 2047.6,5,stable,-14.4 ,-49.9, 46.1
"Aleutians West Census Area(6,10)",02016,***,1350 ,832.3, 2047.4,11,stable,-0.8 ,-40.2, 64.7
"Matanuska-Susitna Borough(6,10)",02170,***,1348.9 ,1278.9, 1421.6,342,stable,-1.8 ,-6.6, 3.2
"Prince of Wales-Outer Ketchikan Census Area(6,10)",02201,***,1316.7 ,1074.3, 1598.5,26,stable,-7.6 ,-31.5, 24.7
