------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Iowa",19000,1.8,22284,"20 of 51"
"United States",00000,4.5,5305440,"N/A"
"Butler County",19023,0.0,0,"1 of 3140"
"Cherokee County",19035,0.0,0,"1 of 3140"
"Harrison County",19085,0.0,0,"1 of 3140"
"Jones County",19105,0.0,0,"1 of 3140"
"Monroe County",19135,0.0,0,"1 of 3140"
"Worth County",19195,0.0,0,"1 of 3140"
"Calhoun County",19025,0.0,1,"300 of 3140"
"Grundy County",19075,0.1,3,"342 of 3140"
"Ida County",19093,0.1,2,"359 of 3140"
"Cedar County",19031,0.1,6,"378 of 3140"
"Warren County",19181,0.1,15,"379 of 3140"
"Mills County",19129,0.1,6,"413 of 3140"
"Jackson County",19097,0.1,11,"459 of 3140"
"Dickinson County",19059,0.1,11,"470 of 3140"
"Adair County",19001,0.2,5,"506 of 3140"
"Adams County",19003,0.2,3,"558 of 3140"
"Ringgold County",19159,0.2,4,"576 of 3140"
"Lee County",19111,0.2,28,"582 of 3140"
"Monona County",19133,0.2,8,"584 of 3140"
"Benton County",19011,0.2,22,"618 of 3140"
"Fayette County",19065,0.2,18,"619 of 3140"
"Buchanan County",19019,0.2,18,"628 of 3140"
"Appanoose County",19007,0.2,12,"633 of 3140"
"Winneshiek County",19191,0.2,19,"655 of 3140"
"Carroll County",19027,0.3,28,"821 of 3140"
"Keokuk County",19107,0.4,16,"896 of 3140"
"Bremer County",19017,0.4,34,"902 of 3140"
"Greene County",19073,0.4,15,"938 of 3140"
"Marion County",19125,0.4,51,"951 of 3140"
"Mitchell County",19131,0.4,17,"962 of 3140"
"Fremont County",19071,0.4,12,"974 of 3140"
"Pocahontas County",19151,0.4,13,"987 of 3140"
"Poweshiek County",19157,0.4,31,"992 of 3140"
"Audubon County",19009,0.4,11,"993 of 3140"
"Page County",19145,0.4,27,"1014 of 3140"
"Guthrie County",19077,0.4,19,"1033 of 3140"
"Hardin County",19083,0.4,32,"1056 of 3140"
"Webster County",19187,0.5,68,"1066 of 3140"
"Van Buren County",19177,0.5,13,"1068 of 3140"
"Cass County",19029,0.5,30,"1122 of 3140"
"Howard County",19089,0.5,20,"1148 of 3140"
"Delaware County",19055,0.5,36,"1155 of 3140"
"Lyon County",19119,0.5,24,"1178 of 3140"
"Boone County",19015,0.5,59,"1181 of 3140"
"Kossuth County",19109,0.5,36,"1184 of 3140"
"Sac County",19161,0.5,24,"1196 of 3140"
"Clinton County",19045,0.6,110,"1207 of 3140"
"Jasper County",19099,0.6,81,"1216 of 3140"
"O'Brien County",19141,0.7,40,"1355 of 3140"
"Chickasaw County",19037,0.7,36,"1385 of 3140"
"Des Moines County",19057,0.7,117,"1413 of 3140"
"Hancock County",19081,0.7,34,"1420 of 3140"
"Henry County",19087,0.7,57,"1452 of 3140"
"Dubuque County",19061,0.8,300,"1522 of 3140"
"Davis County",19051,0.8,27,"1563 of 3140"
"Mahaska County",19123,0.9,81,"1637 of 3140"
"Madison County",19121,0.9,60,"1673 of 3140"
"Lucas County",19117,0.9,35,"1674 of 3140"
"Decatur County",19053,0.9,30,"1675 of 3140"
"Montgomery County",19137,1.0,47,"1735 of 3140"
"Union County",19175,1.0,55,"1757 of 3140"
"Clayton County",19043,1.0,79,"1758 of 3140"
"Iowa County",19095,1.0,71,"1769 of 3140"
"Washington County",19183,1.0,91,"1770 of 3140"
"Shelby County",19165,1.1,56,"1811 of 3140"
"Humboldt County",19091,1.2,49,"1852 of 3140"
"Pottawattamie County",19155,1.2,441,"1886 of 3140"
"Emmet County",19063,1.2,51,"1909 of 3140"
"Cerro Gordo County",19033,1.3,241,"1923 of 3140"
"Plymouth County",19149,1.3,130,"1950 of 3140"
"Taylor County",19173,1.3,35,"1955 of 3140"
"Linn County",19113,1.4,1217,"1998 of 3140"
"Tama County",19171,1.4,92,"2007 of 3140"
"Scott County",19163,1.5,1017,"2082 of 3140"
"Winnebago County",19189,1.5,70,"2087 of 3140"
"Osceola County",19143,1.5,40,"2097 of 3140"
"Jefferson County",19101,1.7,114,"2193 of 3140"
"Clarke County",19039,1.7,65,"2203 of 3140"
"Franklin County",19069,1.7,73,"2218 of 3140"
"Wayne County",19185,1.8,48,"2266 of 3140"
"Black Hawk County",19013,1.8,975,"2275 of 3140"
"Dallas County",19049,2.1,662,"2365 of 3140"
"Wapello County",19179,2.2,317,"2386 of 3140"
"Hamilton County",19079,2.2,139,"2388 of 3140"
"Wright County",19197,2.2,122,"2392 of 3140"
"Palo Alto County",19147,2.4,90,"2460 of 3140"
"Clay County",19041,2.4,173,"2470 of 3140"
"Floyd County",19067,2.5,176,"2524 of 3140"
"Muscatine County",19139,2.8,455,"2583 of 3140"
"Polk County",19153,3.0,5431,"2634 of 3140"
"Allamakee County",19005,3.2,196,"2680 of 3140"
"Johnson County",19103,3.3,1890,"2690 of 3140"
"Story County",19169,3.4,1277,"2712 of 3140"
"Sioux County",19167,3.6,439,"2731 of 3140"
"Woodbury County",19193,4.1,1578,"2777 of 3140"
"Marshall County",19127,5.8,903,"2904 of 3140"
"Louisa County",19115,7.3,317,"2977 of 3140"
"Crawford County",19047,8.0,514,"3006 of 3140"
"Buena Vista County",19021,9.7,732,"3051 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:57 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
