------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Iowa",19000,10.1,44351,"9 of 51"
"Jasper County",19099,7.6,347,"51 of 3139"
"Cerro Gordo County",19033,7.7,460,"59 of 3139"
"Clinton County",19045,7.8,592,"68 of 3139"
"Lee County",19111,7.8,464,"68 of 3139"
"Boone County",19015,8.0,251,"79 of 3139"
"Mahaska County",19123,8.0,280,"79 of 3139"
"Carroll County",19027,8.2,196,"112 of 3139"
"Des Moines County",19057,8.2,586,"112 of 3139"
"Dubuque County",19061,8.3,993,"126 of 3139"
"Fayette County",19065,8.3,248,"126 of 3139"
"Greene County",19073,8.3,109,"126 of 3139"
"Fremont County",19071,8.4,83,"138 of 3139"
"Jackson County",19097,8.6,238,"156 of 3139"
"Iowa County",19095,8.7,157,"168 of 3139"
"Marion County",19125,8.7,310,"168 of 3139"
"Black Hawk County",19013,8.8,2002,"186 of 3139"
"Cedar County",19031,8.8,150,"186 of 3139"
"Jones County",19105,8.8,217,"186 of 3139"
"Linn County",19113,8.8,2309,"186 of 3139"
"Palo Alto County",19147,8.9,105,"215 of 3139"
"Appanoose County",19007,9.0,210,"236 of 3139"
"Clay County",19041,9.0,194,"236 of 3139"
"Henry County",19087,9.0,263,"236 of 3139"
"Monroe County",19135,9.0,114,"236 of 3139"
"Muscatine County",19139,9.1,558,"265 of 3139"
"Calhoun County",19025,9.2,123,"289 of 3139"
"Grundy County",19075,9.2,99,"289 of 3139"
"Hardin County",19083,9.2,187,"289 of 3139"
"Pottawattamie County",19155,9.2,1234,"289 of 3139"
"Scott County",19163,9.2,2253,"289 of 3139"
"Union County",19175,9.2,189,"289 of 3139"
"Warren County",19181,9.2,399,"289 of 3139"
"Winnebago County",19189,9.2,123,"289 of 3139"
"Mills County",19129,9.3,147,"309 of 3139"
"Buchanan County",19019,9.4,245,"327 of 3139"
"Cass County",19029,9.4,199,"327 of 3139"
"Washington County",19183,9.4,272,"327 of 3139"
"Webster County",19187,9.4,573,"327 of 3139"
"Decatur County",19053,9.5,165,"350 of 3139"
"Harrison County",19085,9.5,170,"350 of 3139"
"Ida County",19093,9.5,80,"350 of 3139"
"Adair County",19001,9.6,94,"368 of 3139"
"Bremer County",19017,9.6,202,"368 of 3139"
"Wayne County",19185,9.6,135,"368 of 3139"
"Butler County",19023,9.7,161,"392 of 3139"
"Kossuth County",19109,9.7,164,"392 of 3139"
"Lucas County",19117,9.7,134,"392 of 3139"
"Page County",19145,9.7,222,"392 of 3139"
"Cherokee County",19035,9.8,147,"418 of 3139"
"Floyd County",19067,9.8,239,"418 of 3139"
"Monona County",19133,9.8,138,"418 of 3139"
"Montgomery County",19137,9.8,172,"418 of 3139"
"Shelby County",19165,9.8,137,"418 of 3139"
"Benton County",19011,9.9,255,"446 of 3139"
"Madison County",19121,9.9,157,"446 of 3139"
"Clayton County",19043,10.0,236,"475 of 3139"
"Dickinson County",19059,10.0,162,"475 of 3139"
"Howard County",19089,10.0,136,"475 of 3139"
"Sac County",19161,10.1,124,"497 of 3139"
"Adams County",19003,10.2,59,"519 of 3139"
"Hamilton County",19079,10.3,207,"539 of 3139"
"O'Brien County",19141,10.3,171,"539 of 3139"
"Humboldt County",19091,10.4,127,"561 of 3139"
"Plymouth County",19149,10.4,269,"561 of 3139"
"Poweshiek County",19157,10.4,238,"561 of 3139"
"Worth County",19195,10.4,103,"561 of 3139"
"Audubon County",19009,10.6,81,"596 of 3139"
"Keokuk County",19107,10.6,165,"596 of 3139"
"Pocahontas County",19151,10.6,107,"596 of 3139"
"Wapello County",19179,10.6,730,"596 of 3139"
"Guthrie County",19077,10.8,142,"631 of 3139"
"Hancock County",19081,10.8,136,"631 of 3139"
"Polk County",19153,10.8,7169,"631 of 3139"
"Story County",19169,10.8,1878,"631 of 3139"
"Winneshiek County",19191,10.8,197,"631 of 3139"
"Chickasaw County",19037,10.9,170,"657 of 3139"
"Van Buren County",19177,10.9,138,"657 of 3139"
"Clarke County",19039,11.0,176,"684 of 3139"
"Ringgold County",19159,11.1,99,"697 of 3139"
"Delaware County",19055,11.5,261,"770 of 3139"
"Emmet County",19063,11.5,145,"770 of 3139"
"Woodbury County",19193,11.6,2137,"789 of 3139"
"Johnson County",19103,11.7,2925,"806 of 3139"
"Lyon County",19119,11.8,147,"825 of 3139"
"Wright County",19197,11.8,233,"825 of 3139"
"Mitchell County",19131,11.9,149,"840 of 3139"
"Taylor County",19173,11.9,119,"840 of 3139"
"Franklin County",19069,12.0,193,"859 of 3139"
"Tama County",19171,12.5,300,"933 of 3139"
"Jefferson County",19101,12.7,371,"966 of 3139"
"Allamakee County",19005,13.0,263,"1003 of 3139"
"Osceola County",19143,13.7,112,"1101 of 3139"
"Dallas County",19049,13.8,782,"1117 of 3139"
"Marshall County",19127,13.9,843,"1126 of 3139"
"Sioux County",19167,13.9,461,"1126 of 3139"
"Davis County",19051,14.0,261,"1139 of 3139"
"Louisa County",19115,15.8,260,"1349 of 3139"
"Crawford County",19047,17.1,505,"1501 of 3139"
"Buena Vista County",19021,18.0,613,"1648 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:57 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
