------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Iowa",19000,12.0,361343,"16 of 52"
"United States",00000,14.6,45650345,"N/A"
"Lyon County",19119,4.9,566,"35 of 3141"
"Dallas County",19049,5.4,4345,"55 of 3141"
"Cedar County",19031,5.4,984,"57 of 3141"
"Grundy County",19075,5.8,697,"79 of 3141"
"Warren County",19181,6.2,2903,"99 of 3141"
"Palo Alto County",19147,7.1,618,"150 of 3141"
"Madison County",19121,7.3,1132,"171 of 3141"
"Bremer County",19017,7.7,1781,"205 of 3141"
"Buchanan County",19019,7.8,1621,"214 of 3141"
"Sioux County",19167,7.9,2544,"224 of 3141"
"Winneshiek County",19191,8.0,1455,"233 of 3141"
"Hardin County",19083,8.0,1314,"242 of 3141"
"Dickinson County",19059,8.1,1356,"252 of 3141"
"Mitchell County",19131,8.3,870,"276 of 3141"
"Benton County",19011,8.7,2182,"307 of 3141"
"Shelby County",19165,8.7,1005,"312 of 3141"
"Chickasaw County",19037,8.9,1070,"347 of 3141"
"Hancock County",19081,9.1,976,"368 of 3141"
"Jones County",19105,9.1,1745,"371 of 3141"
"Jasper County",19099,9.1,3171,"374 of 3141"
"Washington County",19183,9.1,1983,"381 of 3141"
"Mills County",19129,9.1,1344,"383 of 3141"
"Plymouth County",19149,9.1,2251,"384 of 3141"
"Delaware County",19055,9.2,1570,"395 of 3141"
"Marion County",19125,9.3,2932,"410 of 3141"
"Hamilton County",19079,9.4,1402,"418 of 3141"
"Sac County",19161,9.4,913,"425 of 3141"
"Boone County",19015,9.4,2426,"426 of 3141"
"Butler County",19023,9.4,1369,"433 of 3141"
"Linn County",19113,9.5,20280,"442 of 3141"
