------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Iowa",19000,94.3,2939808,"35 of 52"
"Crawford County",19047,72.6,12444,"256 of 3141"
"Buena Vista County",19021,75.0,15271,"290 of 3141"
"Marshall County",19127,79.3,32081,"366 of 3141"
"Muscatine County",19139,82.5,35401,"441 of 3141"
"Louisa County",19115,84.2,9464,"485 of 3141"
"Woodbury County",19193,84.2,86267,"487 of 3141"
"Clarke County",19039,87.3,8086,"583 of 3141"
"Franklin County",19069,87.9,9079,"623 of 3141"
"Wright County",19197,88.9,11439,"669 of 3141"
"Wapello County",19179,89.5,31618,"706 of 3141"
"Sioux County",19167,89.8,31153,"714 of 3141"
"Emmet County",19063,90.7,8761,"782 of 3141"
"Tama County",19171,91.3,15740,"833 of 3141"
"Polk County",19153,91.9,429298,"886 of 3141"
"Taylor County",19173,92.5,5745,"933 of 3141"
"Pottawattamie County",19155,92.5,86298,"941 of 3141"
"Osceola County",19143,92.6,5693,"951 of 3141"
"Scott County",19163,93.6,160471,"1069 of 3141"
"Dallas County",19049,93.9,75922,"1106 of 3141"
"Allamakee County",19005,93.9,13093,"1114 of 3141"
"Hamilton County",19079,94.0,14296,"1138 of 3141"
"Washington County",19183,94.1,20800,"1148 of 3141"
"Johnson County",19103,94.5,136551,"1226 of 3141"
"Henry County",19087,95.3,18939,"1387 of 3141"
"Cerro Gordo County",19033,95.4,41153,"1403 of 3141"
"Plymouth County",19149,95.5,23891,"1419 of 3141"
"Webster County",19187,95.5,35278,"1425 of 3141"
"O'Brien County",19141,95.5,13322,"1439 of 3141"
"Black Hawk County",19013,95.8,127357,"1499 of 3141"
"Winnebago County",19189,95.8,10104,"1507 of 3141"
"Hardin County",19083,95.8,16519,"1509 of 3141"
"Humboldt County",19091,96.0,9205,"1572 of 3141"
"Hancock County",19081,96.1,10539,"1578 of 3141"
"Montgomery County",19137,96.4,9868,"1667 of 3141"
"Lee County",19111,96.5,33556,"1690 of 3141"
"Pocahontas County",19151,96.5,6729,"1703 of 3141"
