------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"Iowa",19000,31.7,987313,"15 of 52"
"United States",00000,32.4,104105673,"N/A"
"Story County",19169,21.9,21042,"14 of 3141"
"Johnson County",19103,25.5,36895,"61 of 3141"
"Sioux County",19167,27.2,9450,"135 of 3141"
"Decatur County",19053,28.4,2299,"218 of 3141"
"Black Hawk County",19013,28.5,37887,"232 of 3141"
"Crawford County",19047,29.6,5078,"341 of 3141"
"Davis County",19051,29.8,2630,"366 of 3141"
"Bremer County",19017,30.2,7477,"432 of 3141"
"Lyon County",19119,30.2,3551,"435 of 3141"
"Woodbury County",19193,30.4,31155,"476 of 3141"
"Ringgold County",19159,30.8,1534,"541 of 3141"
"Wayne County",19185,30.8,1973,"554 of 3141"
"Dallas County",19049,30.8,24935,"561 of 3141"
"Union County",19175,30.8,3854,"564 of 3141"
"Buena Vista County",19021,30.8,6283,"565 of 3141"
"Marshall County",19127,31.4,12692,"692 of 3141"
"Polk County",19153,31.4,146580,"698 of 3141"
"Jefferson County",19101,31.5,5648,"730 of 3141"
"Howard County",19089,31.5,2934,"731 of 3141"
"Poweshiek County",19157,31.6,5818,"765 of 3141"
"Palo Alto County",19147,31.6,2878,"773 of 3141"
"Buchanan County",19019,31.6,6667,"775 of 3141"
"Linn County",19113,31.7,69802,"814 of 3141"
"Muscatine County",19139,32.1,13760,"926 of 3141"
"Dubuque County",19061,32.1,31044,"970 of 3141"
"Mahaska County",19123,32.2,7183,"989 of 3141"
"Webster County",19187,32.2,11913,"1009 of 3141"
"Marion County",19125,32.3,10708,"1042 of 3141"
"Humboldt County",19091,32.4,3102,"1056 of 3141"
"Wapello County",19179,32.4,11436,"1064 of 3141"
"Calhoun County",19025,32.4,3180,"1077 of 3141"
"Clay County",19041,32.4,5310,"1078 of 3141"
"Winneshiek County",19191,32.4,6675,"1095 of 3141"
"Mitchell County",19131,32.5,3463,"1106 of 3141"
"Plymouth County",19149,32.5,8144,"1129 of 3141"
"Henry County",19087,32.6,6483,"1169 of 3141"
"Fayette County",19065,32.7,6589,"1201 of 3141"
"Kossuth County",19109,32.8,4967,"1212 of 3141"
"Keokuk County",19107,32.8,3349,"1217 of 3141"
"Scott County",19163,32.8,56189,"1218 of 3141"
"Warren County",19181,32.8,15946,"1235 of 3141"
"Taylor County",19173,32.9,2042,"1269 of 3141"
"Wright County",19197,32.9,4230,"1281 of 3141"
"Washington County",19183,32.9,7268,"1287 of 3141"
"Floyd County",19067,32.9,5239,"1308 of 3141"
