------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Iowa",19000,5.7,178294,"35 of 52"
"United States",00000,17.6,56510571,"N/A"
"Lucas County",19117,0.1,10,"3128 of 3141"
"Audubon County",19009,0.4,24,"3081 of 3141"
"Wayne County",19185,0.5,35,"3054 of 3141"
"Monona County",19133,0.8,71,"2997 of 3141"
"Adams County",19003,1.2,45,"2866 of 3141"
"Grundy County",19075,1.2,148,"2862 of 3141"
"Butler County",19023,1.3,191,"2811 of 3141"
"Davis County",19051,1.3,115,"2802 of 3141"
"Mitchell County",19131,1.3,142,"2786 of 3141"
"Van Buren County",19177,1.4,100,"2767 of 3141"
"Jackson County",19097,1.4,269,"2762 of 3141"
"Delaware County",19055,1.4,241,"2760 of 3141"
"Benton County",19011,1.4,360,"2749 of 3141"
"Bremer County",19017,1.4,353,"2736 of 3141"
"Buchanan County",19019,1.5,312,"2698 of 3141"
"Keokuk County",19107,1.5,154,"2673 of 3141"
"Howard County",19089,1.5,144,"2650 of 3141"
"Harrison County",19085,1.6,229,"2600 of 3141"
"Adair County",19001,1.7,124,"2538 of 3141"
"Jones County",19105,1.8,366,"2502 of 3141"
"Appanoose County",19007,1.8,227,"2488 of 3141"
"Madison County",19121,1.8,288,"2472 of 3141"
"Calhoun County",19025,1.8,180,"2471 of 3141"
"Marion County",19125,1.9,614,"2462 of 3141"
"Clayton County",19043,1.9,332,"2451 of 3141"
"Cedar County",19031,1.9,346,"2443 of 3141"
"Dickinson County",19059,1.9,321,"2441 of 3141"
"Jasper County",19099,2.0,738,"2376 of 3141"
"Mahaska County",19123,2.0,448,"2372 of 3141"
"Ida County",19093,2.1,144,"2349 of 3141"
"Winneshiek County",19191,2.2,446,"2284 of 3141"
"Chickasaw County",19037,2.2,267,"2268 of 3141"
"Ringgold County",19159,2.2,111,"2252 of 3141"
"Kossuth County",19109,2.2,338,"2251 of 3141"
"Fayette County",19065,2.3,455,"2240 of 3141"
"Dubuque County",19061,2.3,2228,"2210 of 3141"
"Carroll County",19027,2.4,481,"2183 of 3141"
"Guthrie County",19077,2.4,252,"2178 of 3141"
