------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Iowa",19000,8.2,168645,"9 of 52"
"United States",00000,12.7,27437114,"N/A"
"Story County",19169,3.2,1570,"15 of 3141"
"Bremer County",19017,4.1,662,"42 of 3141"
"Warren County",19181,4.3,1366,"55 of 3141"
"Dickinson County",19059,4.4,552,"58 of 3141"
"Dallas County",19049,4.6,2436,"71 of 3141"
"Grundy County",19075,4.8,409,"78 of 3141"
"Johnson County",19103,4.9,4144,"94 of 3141"
"Kossuth County",19109,5.1,545,"111 of 3141"
"Jefferson County",19101,5.2,655,"118 of 3141"
"Winneshiek County",19191,5.3,708,"122 of 3141"
"Linn County",19113,5.3,7815,"132 of 3141"
"Madison County",19121,5.6,591,"153 of 3141"
"Palo Alto County",19147,5.6,349,"155 of 3141"
"Cedar County",19031,5.8,750,"176 of 3141"
"Adair County",19001,6.0,309,"193 of 3141"
"Boone County",19015,6.2,1140,"229 of 3141"
"Adams County",19003,6.2,171,"232 of 3141"
"Ida County",19093,6.4,313,"256 of 3141"
"Cerro Gordo County",19033,6.5,2006,"278 of 3141"
"Clay County",19041,6.6,751,"285 of 3141"
"Hancock County",19081,6.6,516,"299 of 3141"
"Marion County",19125,6.8,1471,"320 of 3141"
"Jasper County",19099,6.9,1796,"337 of 3141"
"Buchanan County",19019,7.0,984,"346 of 3141"
"Calhoun County",19025,7.0,492,"348 of 3141"
"Benton County",19011,7.2,1255,"368 of 3141"
"Fremont County",19071,7.2,358,"378 of 3141"
"Lucas County",19117,7.3,436,"403 of 3141"
"Poweshiek County",19157,7.3,880,"406 of 3141"
"Carroll County",19027,7.4,1021,"413 of 3141"
