------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"United States",00000,14.9,47732389,"N/A"
"Iowa",19000,16.1,501026,"15 of 52"
"Johnson County",19103,10.3,14933,"3050 of 3141"
"Story County",19169,11.0,10568,"3004 of 3141"
"Dallas County",19049,11.3,9104,"2978 of 3141"
"Polk County",19153,12.1,56639,"2885 of 3141"
"Woodbury County",19193,14.1,14481,"2568 of 3141"
"Buena Vista County",19021,14.2,2890,"2554 of 3141"
"Sioux County",19167,14.6,5071,"2467 of 3141"
"Linn County",19113,14.7,32450,"2432 of 3141"
"Scott County",19163,14.9,25577,"2401 of 3141"
"Warren County",19181,14.9,7264,"2393 of 3141"
"Black Hawk County",19013,15.1,20128,"2344 of 3141"
"Muscatine County",19139,15.4,6627,"2270 of 3141"
"Madison County",19121,16.2,2540,"2049 of 3141"
"Pottawattamie County",19155,16.2,15080,"2048 of 3141"
"Dubuque County",19061,16.5,15897,"1953 of 3141"
"Mills County",19129,16.7,2500,"1860 of 3141"
"Louisa County",19115,16.7,1882,"1858 of 3141"
"Crawford County",19047,16.8,2873,"1850 of 3141"
"Boone County",19015,16.9,4455,"1809 of 3141"
"Wapello County",19179,16.9,5980,"1795 of 3141"
"Marion County",19125,17.0,5626,"1776 of 3141"
"Buchanan County",19019,17.1,3605,"1745 of 3141"
"Benton County",19011,17.2,4403,"1726 of 3141"
"Clarke County",19039,17.2,1591,"1726 of 3141"
"Marshall County",19127,17.3,6988,"1691 of 3141"
"Webster County",19187,17.3,6396,"1669 of 3141"
"Lyon County",19119,17.4,2038,"1659 of 3141"
"Mahaska County",19123,17.4,3891,"1622 of 3141"
"Davis County",19051,17.5,1542,"1620 of 3141"
"Henry County",19087,17.7,3515,"1537 of 3141"
"Iowa County",19095,17.8,2891,"1496 of 3141"
"Plymouth County",19149,17.8,4460,"1491 of 3141"
"Delaware County",19055,18.2,3154,"1380 of 3141"
