------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Iowa",19000,49.6,1548035,"34 of 52"
"Poweshiek County",19157,47.9,8821,"211 of 3141"
"Montgomery County",19137,48.2,4931,"302 of 3141"
"Union County",19175,48.5,6061,"494 of 3141"
"Ringgold County",19159,48.6,2421,"521 of 3141"
"Humboldt County",19091,48.7,4665,"590 of 3141"
"Warren County",19181,48.7,23679,"617 of 3141"
"Cerro Gordo County",19033,48.7,21011,"627 of 3141"
"Greene County",19073,48.7,4409,"648 of 3141"
"Winnebago County",19189,48.8,5142,"664 of 3141"
"Sac County",19161,48.8,4848,"689 of 3141"
"Hamilton County",19079,48.9,7433,"790 of 3141"
"Clinton County",19045,48.9,23289,"831 of 3141"
"Wayne County",19185,49.0,3136,"859 of 3141"
"Plymouth County",19149,49.0,12259,"881 of 3141"
"Des Moines County",19057,49.0,19534,"888 of 3141"
"Black Hawk County",19013,49.1,65251,"964 of 3141"
"Scott County",19163,49.1,84184,"976 of 3141"
"Shelby County",19165,49.1,5784,"1016 of 3141"
"Polk County",19153,49.2,229864,"1084 of 3141"
"Pottawattamie County",19155,49.2,45896,"1087 of 3141"
"Carroll County",19027,49.2,10052,"1099 of 3141"
"Floyd County",19067,49.2,7830,"1121 of 3141"
"Audubon County",19009,49.3,2814,"1168 of 3141"
"Bremer County",19017,49.3,12195,"1192 of 3141"
"Woodbury County",19193,49.3,50496,"1210 of 3141"
"Marion County",19125,49.3,16341,"1228 of 3141"
"Linn County",19113,49.3,108534,"1234 of 3141"
"Pocahontas County",19151,49.3,3440,"1242 of 3141"
"Iowa County",19095,49.3,8009,"1248 of 3141"
"Davis County",19051,49.4,4360,"1266 of 3141"
"Clay County",19041,49.4,8091,"1299 of 3141"
"Wapello County",19179,49.4,17441,"1309 of 3141"
"Dallas County",19049,49.4,39934,"1316 of 3141"
"Adair County",19001,49.4,3552,"1325 of 3141"
"Adams County",19003,49.4,1870,"1348 of 3141"
"Cass County",19029,49.4,6586,"1363 of 3141"
"Harrison County",19085,49.4,7016,"1367 of 3141"
"Fremont County",19071,49.4,3453,"1375 of 3141"
"Dubuque County",19061,49.5,47757,"1405 of 3141"
"Appanoose County",19007,49.5,6206,"1420 of 3141"
"Johnson County",19103,49.5,71463,"1439 of 3141"
"Tama County",19171,49.5,8530,"1450 of 3141"
"Monona County",19133,49.5,4388,"1456 of 3141"
"Grundy County",19075,49.5,6117,"1475 of 3141"
"Muscatine County",19139,49.5,21256,"1482 of 3141"
"Mitchell County",19131,49.6,5288,"1563 of 3141"
"Emmet County",19063,49.6,4792,"1572 of 3141"
"Clarke County",19039,49.6,4600,"1611 of 3141"
"Jackson County",19097,49.7,9639,"1632 of 3141"
"Buchanan County",19019,49.7,10497,"1714 of 3141"
"Worth County",19195,49.8,3734,"1744 of 3141"
"Cedar County",19031,49.8,9148,"1772 of 3141"
"Palo Alto County",19147,49.8,4540,"1794 of 3141"
"Benton County",19011,49.9,12786,"1809 of 3141"
"Chickasaw County",19037,49.9,6053,"1811 of 3141"
"Guthrie County",19077,49.9,5321,"1854 of 3141"
"Ida County",19093,49.9,3478,"1884 of 3141"
"Butler County",19023,49.9,7402,"1892 of 3141"
"Delaware County",19055,50.0,8659,"1925 of 3141"
"Wright County",19197,50.0,6431,"1940 of 3141"
"O'Brien County",19141,50.1,6979,"1986 of 3141"
"Madison County",19121,50.1,7870,"1994 of 3141"
"Washington County",19183,50.1,11066,"2007 of 3141"
"Hardin County",19083,50.1,8634,"2008 of 3141"
"Winneshiek County",19191,50.1,10306,"2014 of 3141"
"Kossuth County",19109,50.1,7598,"2026 of 3141"
"Cherokee County",19035,50.1,5804,"2050 of 3141"
"Mills County",19129,50.1,7487,"2055 of 3141"
"Sioux County",19167,50.2,17407,"2093 of 3141"
"Howard County",19089,50.2,4677,"2095 of 3141"
"Decatur County",19053,50.3,4074,"2171 of 3141"
"Dickinson County",19059,50.3,8547,"2176 of 3141"
"Hancock County",19081,50.3,5519,"2199 of 3141"
"Boone County",19015,50.3,13280,"2223 of 3141"
"Buena Vista County",19021,50.3,10254,"2224 of 3141"
"Clayton County",19043,50.3,8916,"2225 of 3141"
"Osceola County",19143,50.4,3099,"2270 of 3141"
"Marshall County",19127,50.4,20400,"2271 of 3141"
"Fayette County",19065,50.5,10162,"2305 of 3141"
"Lee County",19111,50.5,17553,"2306 of 3141"
"Lucas County",19117,50.5,4343,"2328 of 3141"
"Mahaska County",19123,50.6,11293,"2392 of 3141"
"Franklin County",19069,50.7,5235,"2432 of 3141"
"Taylor County",19173,50.7,3152,"2445 of 3141"
"Keokuk County",19107,50.8,5196,"2484 of 3141"
"Henry County",19087,50.8,10099,"2486 of 3141"
"Allamakee County",19005,50.9,7098,"2511 of 3141"
"Monroe County",19135,50.9,4029,"2514 of 3141"
"Van Buren County",19177,51.0,3728,"2539 of 3141"
"Jasper County",19099,51.1,18797,"2570 of 3141"
"Louisa County",19115,51.1,5743,"2576 of 3141"
"Lyon County",19119,51.2,6011,"2596 of 3141"
"Webster County",19187,51.4,18984,"2659 of 3141"
"Jones County",19105,51.4,10528,"2670 of 3141"
"Calhoun County",19025,51.8,5080,"2734 of 3141"
"Crawford County",19047,51.8,8878,"2741 of 3141"
"Page County",19145,51.9,7996,"2767 of 3141"
"Story County",19169,52.1,49985,"2801 of 3141"
"Jefferson County",19101,53.0,9511,"2898 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
