------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"Iowa",19000,0.3,10791,"32 of 52"
"United States",00000,0.8,2632102,"N/A"
"Adair County",19001,0.0,0,"2960 of 3141"
"Davis County",19051,0.0,0,"2960 of 3141"
"Howard County",19089,0.0,0,"2960 of 3141"
"Monroe County",19135,0.0,0,"2960 of 3141"
"Pocahontas County",19151,0.0,0,"2960 of 3141"
"Poweshiek County",19157,0.0,0,"2960 of 3141"
"Sac County",19161,0.0,0,"2960 of 3141"
"Jefferson County",19101,0.0,1,"2957 of 3141"
"Clay County",19041,0.0,2,"2940 of 3141"
"Audubon County",19009,0.0,1,"2928 of 3141"
"Buena Vista County",19021,0.0,4,"2923 of 3141"
"Grundy County",19075,0.0,3,"2914 of 3141"
"Iowa County",19095,0.0,4,"2912 of 3141"
"Jackson County",19097,0.0,5,"2908 of 3141"
"Lucas County",19117,0.0,3,"2875 of 3141"
"Madison County",19121,0.0,7,"2842 of 3141"
"Fayette County",19065,0.0,9,"2839 of 3141"
"Hamilton County",19079,0.0,7,"2831 of 3141"
"Delaware County",19055,0.1,10,"2793 of 3141"
"Dallas County",19049,0.1,51,"2772 of 3141"
"Osceola County",19143,0.1,5,"2703 of 3141"
"Carroll County",19027,0.1,17,"2696 of 3141"
"Greene County",19073,0.1,8,"2669 of 3141"
"Worth County",19195,0.1,7,"2654 of 3141"
"Franklin County",19069,0.1,10,"2641 of 3141"
"Keokuk County",19107,0.1,10,"2636 of 3141"
"Clayton County",19043,0.1,21,"2550 of 3141"
"Wapello County",19179,0.1,42,"2546 of 3141"
"Van Buren County",19177,0.1,9,"2532 of 3141"
"Benton County",19011,0.1,33,"2503 of 3141"
"Appanoose County",19007,0.1,17,"2470 of 3141"
"Allamakee County",19005,0.1,19,"2467 of 3141"
"Dubuque County",19061,0.1,133,"2459 of 3141"
"Kossuth County",19109,0.1,21,"2456 of 3141"
"Palo Alto County",19147,0.2,14,"2396 of 3141"
"Jasper County",19099,0.2,57,"2391 of 3141"
"Linn County",19113,0.2,342,"2387 of 3141"
"Winneshiek County",19191,0.2,33,"2368 of 3141"
"Clarke County",19039,0.2,15,"2361 of 3141"
"Des Moines County",19057,0.2,65,"2357 of 3141"
"Warren County",19181,0.2,82,"2334 of 3141"
"Shelby County",19165,0.2,21,"2279 of 3141"
"Muscatine County",19139,0.2,78,"2260 of 3141"
"Adams County",19003,0.2,7,"2245 of 3141"
"Johnson County",19103,0.2,277,"2203 of 3141"
"Bremer County",19017,0.2,52,"2112 of 3141"
"Lee County",19111,0.2,77,"2061 of 3141"
"Wright County",19197,0.2,29,"2043 of 3141"
"Washington County",19183,0.3,58,"1889 of 3141"
"Mitchell County",19131,0.3,28,"1887 of 3141"
"Chickasaw County",19037,0.3,32,"1880 of 3141"
"Mahaska County",19123,0.3,60,"1857 of 3141"
"Boone County",19015,0.3,72,"1840 of 3141"
"Louisa County",19115,0.3,31,"1823 of 3141"
"Marshall County",19127,0.3,113,"1814 of 3141"
"Dickinson County",19059,0.3,48,"1800 of 3141"
"Buchanan County",19019,0.3,61,"1775 of 3141"
"Story County",19169,0.3,278,"1772 of 3141"
"Marion County",19125,0.3,97,"1762 of 3141"
"Polk County",19153,0.3,1378,"1749 of 3141"
"Decatur County",19053,0.3,24,"1745 of 3141"
"Wayne County",19185,0.3,19,"1743 of 3141"
"O'Brien County",19141,0.3,42,"1722 of 3141"
"Union County",19175,0.3,38,"1710 of 3141"
"Cass County",19029,0.3,41,"1693 of 3141"
"Scott County",19163,0.3,528,"1690 of 3141"
"Guthrie County",19077,0.3,33,"1684 of 3141"
"Hancock County",19081,0.3,34,"1680 of 3141"
"Humboldt County",19091,0.3,30,"1664 of 3141"
"Webster County",19187,0.3,118,"1638 of 3141"
"Winnebago County",19189,0.3,34,"1628 of 3141"
"Butler County",19023,0.3,48,"1624 of 3141"
"Black Hawk County",19013,0.3,441,"1592 of 3141"
"Plymouth County",19149,0.3,84,"1576 of 3141"
"Calhoun County",19025,0.3,33,"1574 of 3141"
"Taylor County",19173,0.3,21,"1571 of 3141"
"Ringgold County",19159,0.3,17,"1557 of 3141"
"Cedar County",19031,0.3,64,"1534 of 3141"
"Pottawattamie County",19155,0.3,326,"1526 of 3141"
"Cherokee County",19035,0.4,41,"1508 of 3141"
"Floyd County",19067,0.4,57,"1500 of 3141"
"Henry County",19087,0.4,72,"1486 of 3141"
"Sioux County",19167,0.4,128,"1464 of 3141"
"Hardin County",19083,0.4,64,"1455 of 3141"
"Clinton County",19045,0.4,186,"1406 of 3141"
"Jones County",19105,0.4,81,"1387 of 3141"
"Cerro Gordo County",19033,0.4,184,"1315 of 3141"
"Emmet County",19063,0.4,43,"1268 of 3141"
"Fremont County",19071,0.5,35,"1157 of 3141"
"Lyon County",19119,0.6,66,"1070 of 3141"
"Harrison County",19085,0.6,83,"1042 of 3141"
"Montgomery County",19137,0.6,64,"988 of 3141"
"Mills County",19129,0.7,107,"875 of 3141"
"Crawford County",19047,0.7,128,"843 of 3141"
"Ida County",19093,0.8,58,"779 of 3141"
"Page County",19145,0.9,136,"738 of 3141"
"Woodbury County",19193,1.8,1857,"415 of 3141"
"Monona County",19133,2.6,231,"314 of 3141"
"Tama County",19171,7.7,1331,"146 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
