------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,70850.000000000,"N/A"
"Iowa",19000,72270.000000000,"24 of 52"
"Decatur County",19053,50402.000000000,"2471 of 3141"
"Appanoose County",19007,53891.000000000,"2148 of 3141"
"Wayne County",19185,54784.000000000,"2076 of 3141"
"Wapello County",19179,55232.000000000,"2032 of 3141"
"Montgomery County",19137,55847.000000000,"1974 of 3141"
"Franklin County",19069,57659.000000000,"1798 of 3141"
"Cass County",19029,58034.000000000,"1760 of 3141"
"Ringgold County",19159,58550.000000000,"1705 of 3141"
"Taylor County",19173,58772.000000000,"1688 of 3141"
"Webster County",19187,59002.000000000,"1667 of 3141"
"Calhoun County",19025,59308.000000000,"1633 of 3141"
"Crawford County",19047,59421.000000000,"1619 of 3141"
"Fayette County",19065,60128.000000000,"1535 of 3141"
"Monona County",19133,60208.000000000,"1524 of 3141"
"Wright County",19197,60271.000000000,"1517 of 3141"
"Lee County",19111,60598.000000000,"1474 of 3141"
"Van Buren County",19177,60828.000000000,"1455 of 3141"
"Des Moines County",19057,60973.000000000,"1438 of 3141"
"Page County",19145,61089.000000000,"1428 of 3141"
"Mahaska County",19123,61283.000000000,"1412 of 3141"
"Audubon County",19009,61838.000000000,"1361 of 3141"
"Adams County",19003,61888.000000000,"1355 of 3141"
"Clarke County",19039,62193.000000000,"1327 of 3141"
"Jefferson County",19101,62355.000000000,"1309 of 3141"
"Howard County",19089,62359.000000000,"1308 of 3141"
"Jackson County",19097,62415.000000000,"1303 of 3141"
"Woodbury County",19193,62716.000000000,"1272 of 3141"
"Adair County",19001,62741.000000000,"1267 of 3141"
"Union County",19175,62875.000000000,"1260 of 3141"
"Monroe County",19135,63030.000000000,"1241 of 3141"
"Henry County",19087,63037.000000000,"1239 of 3141"
"Pocahontas County",19151,63065.000000000,"1238 of 3141"
"Winnebago County",19189,63167.000000000,"1225 of 3141"
"Floyd County",19067,63194.000000000,"1222 of 3141"
"Lucas County",19117,63214.000000000,"1220 of 3141"
"Marshall County",19127,63271.000000000,"1212 of 3141"
"Humboldt County",19091,63962.000000000,"1161 of 3141"
"Worth County",19195,64104.000000000,"1146 of 3141"
"Allamakee County",19005,64406.000000000,"1123 of 3141"
"Clay County",19041,64503.000000000,"1111 of 3141"
"Buena Vista County",19021,64644.000000000,"1096 of 3141"
"Osceola County",19143,64701.000000000,"1090 of 3141"
"Keokuk County",19107,65188.000000000,"1055 of 3141"
"Clayton County",19043,65481.000000000,"1025 of 3141"
"Fremont County",19071,66045.000000000,"991 of 3141"
"Mitchell County",19131,66541.000000000,"953 of 3141"
"Sac County",19161,66850.000000000,"934 of 3141"
"Davis County",19051,66881.000000000,"928 of 3141"
"Greene County",19073,66938.000000000,"923 of 3141"
"Palo Alto County",19147,67027.000000000,"920 of 3141"
"Black Hawk County",19013,67246.000000000,"908 of 3141"
"Hancock County",19081,67286.000000000,"904 of 3141"
"Emmet County",19063,67379.000000000,"898 of 3141"
"Tama County",19171,67415.000000000,"895 of 3141"
"Butler County",19023,67471.000000000,"886 of 3141"
"Clinton County",19045,67494.000000000,"882 of 3141"
"Cerro Gordo County",19033,67514.000000000,"880 of 3141"
"Louisa County",19115,67642.000000000,"868 of 3141"
"Shelby County",19165,68300.000000000,"826 of 3141"
"Jasper County",19099,68563.000000000,"806 of 3141"
"Poweshiek County",19157,68750.000000000,"796 of 3141"
"Muscatine County",19139,68822.000000000,"794 of 3141"
"Chickasaw County",19037,68913.000000000,"790 of 3141"
"Cherokee County",19035,68921.000000000,"789 of 3141"
"Ida County",19093,68929.000000000,"788 of 3141"
"Hamilton County",19079,69148.000000000,"777 of 3141"
"Kossuth County",19109,69276.000000000,"767 of 3141"
"Harrison County",19085,69367.000000000,"759 of 3141"
"Madison County",19121,69708.000000000,"737 of 3141"
"Lyon County",19119,69909.000000000,"727 of 3141"
"Hardin County",19083,70079.000000000,"718 of 3141"
"Guthrie County",19077,70238.000000000,"709 of 3141"
"Pottawattamie County",19155,70607.000000000,"691 of 3141"
"Jones County",19105,71745.000000000,"636 of 3141"
"O'Brien County",19141,71882.000000000,"624 of 3141"
"Iowa County",19095,71921.000000000,"620 of 3141"
"Marion County",19125,71988.000000000,"614 of 3141"
"Delaware County",19055,72423.000000000,"587 of 3141"
"Boone County",19015,73125.000000000,"538 of 3141"
"Washington County",19183,73600.000000000,"516 of 3141"
"Carroll County",19027,73897.000000000,"501 of 3141"
"Dubuque County",19061,74270.000000000,"481 of 3141"
"Plymouth County",19149,74514.000000000,"474 of 3141"
"Buchanan County",19019,74542.000000000,"472 of 3141"
"Scott County",19163,74928.000000000,"464 of 3141"
"Sioux County",19167,75911.000000000,"433 of 3141"
"Winneshiek County",19191,76023.000000000,"425 of 3141"
"Grundy County",19075,77023.000000000,"389 of 3141"
"Cedar County",19031,77682.000000000,"366 of 3141"
"Polk County",19153,78175.000000000,"350 of 3141"
"Dickinson County",19059,78574.000000000,"343 of 3141"
"Benton County",19011,80129.000000000,"308 of 3141"
"Linn County",19113,81032.000000000,"291 of 3141"
"Bremer County",19017,82474.000000000,"260 of 3141"
"Warren County",19181,84355.000000000,"233 of 3141"
"Story County",19169,84479.000000000,"230 of 3141"
"Mills County",19129,85083.000000000,"223 of 3141"
"Johnson County",19103,89700.000000000,"169 of 3141"
"Dallas County",19049,104897.000000000,"54 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:57 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median family income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
