------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Iowa",19000,3.7,114164,"40 of 51"
"Scott County",19163,1.1,1929,"69 of 3140"
"Mitchell County",19131,1.4,151,"130 of 3140"
"Lee County",19111,1.7,584,"214 of 3140"
"Wayne County",19185,1.7,108,"216 of 3140"
"Muscatine County",19139,1.7,728,"221 of 3140"
"Clinton County",19045,1.7,819,"230 of 3140"
"Lyon County",19119,1.8,211,"254 of 3140"
"Woodbury County",19193,1.9,1968,"314 of 3140"
"Dubuque County",19061,2.0,1878,"323 of 3140"
"Allamakee County",19005,2.0,273,"326 of 3140"
"Floyd County",19067,2.0,318,"338 of 3140"
"Sioux County",19167,2.0,694,"346 of 3140"
"Van Buren County",19177,2.1,150,"368 of 3140"
"Clayton County",19043,2.2,382,"429 of 3140"
"Harrison County",19085,2.2,310,"449 of 3140"
"Pottawattamie County",19155,2.2,2030,"451 of 3140"
"Plymouth County",19149,2.2,547,"454 of 3140"
"Adams County",19003,2.4,89,"540 of 3140"
"Fremont County",19071,2.4,166,"558 of 3140"
"Cherokee County",19035,2.4,278,"571 of 3140"
"Chickasaw County",19037,2.5,298,"616 of 3140"
"Dickinson County",19059,2.6,434,"681 of 3140"
"Howard County",19089,2.6,239,"697 of 3140"
"Des Moines County",19057,2.7,1051,"748 of 3140"
"Franklin County",19069,2.8,286,"834 of 3140"
"Grundy County",19075,2.8,342,"845 of 3140"
"Ringgold County",19159,2.8,138,"851 of 3140"
"Crawford County",19047,2.8,474,"856 of 3140"
"Kossuth County",19109,2.8,425,"870 of 3140"
"Hamilton County",19079,2.9,435,"908 of 3140"
"Delaware County",19055,2.9,497,"910 of 3140"
"Winneshiek County",19191,2.9,599,"936 of 3140"
"Linn County",19113,3.0,6416,"945 of 3140"
"Jackson County",19097,3.0,566,"949 of 3140"
"Jefferson County",19101,3.0,539,"1003 of 3140"
"Cerro Gordo County",19033,3.1,1309,"1017 of 3140"
"Carroll County",19027,3.2,656,"1150 of 3140"
"Davis County",19051,3.3,281,"1172 of 3140"
"Marshall County",19127,3.3,1323,"1206 of 3140"
"Mahaska County",19123,3.3,742,"1223 of 3140"
"Shelby County",19165,3.4,391,"1229 of 3140"
"Wapello County",19179,3.5,1203,"1310 of 3140"
"Louisa County",19115,3.5,384,"1319 of 3140"
"Emmet County",19063,3.5,334,"1338 of 3140"
"Butler County",19023,3.5,512,"1340 of 3140"
"Polk County",19153,3.5,16324,"1384 of 3140"
"Washington County",19183,3.6,779,"1421 of 3140"
"Wright County",19197,3.6,458,"1435 of 3140"
"Montgomery County",19137,3.7,373,"1493 of 3140"
"Hancock County",19081,3.8,415,"1588 of 3140"
"Jones County",19105,3.9,788,"1629 of 3140"
"Ida County",19093,3.9,267,"1631 of 3140"
"Sac County",19161,3.9,385,"1656 of 3140"
"Osceola County",19143,3.9,239,"1669 of 3140"
"Hardin County",19083,4.0,681,"1702 of 3140"
"Buchanan County",19019,4.1,850,"1750 of 3140"
"Buena Vista County",19021,4.1,825,"1759 of 3140"
"Appanoose County",19007,4.1,511,"1765 of 3140"
"Clarke County",19039,4.1,376,"1766 of 3140"
"Cedar County",19031,4.2,763,"1822 of 3140"
"Cass County",19029,4.2,556,"1836 of 3140"
"Tama County",19171,4.3,726,"1863 of 3140"
"Madison County",19121,4.3,669,"1868 of 3140"
"Fayette County",19065,4.3,853,"1878 of 3140"
"Pocahontas County",19151,4.3,298,"1879 of 3140"
"Black Hawk County",19013,4.3,5688,"1896 of 3140"
"Keokuk County",19107,4.4,442,"1900 of 3140"
"Decatur County",19053,4.4,354,"1927 of 3140"
"Henry County",19087,4.4,865,"1934 of 3140"
"Worth County",19195,4.4,328,"1942 of 3140"
"Iowa County",19095,4.4,716,"1955 of 3140"
"Boone County",19015,4.5,1169,"1979 of 3140"
"Guthrie County",19077,4.5,478,"1999 of 3140"
"Mills County",19129,4.5,672,"2009 of 3140"
"Lucas County",19117,4.6,390,"2033 of 3140"
"Taylor County",19173,4.6,284,"2049 of 3140"
"Monona County",19133,4.7,412,"2082 of 3140"
"Monroe County",19135,4.9,380,"2181 of 3140"
"Johnson County",19103,5.0,7084,"2242 of 3140"
"Page County",19145,5.0,754,"2246 of 3140"
"Greene County",19073,5.0,452,"2281 of 3140"
"Bremer County",19017,5.2,1272,"2343 of 3140"
"Poweshiek County",19157,5.2,950,"2352 of 3140"
"Marion County",19125,5.3,1735,"2391 of 3140"
"Audubon County",19009,5.4,303,"2418 of 3140"
"Union County",19175,5.4,663,"2447 of 3140"
"Humboldt County",19091,5.7,537,"2539 of 3140"
"Benton County",19011,5.7,1445,"2553 of 3140"
"Winnebago County",19189,5.7,595,"2565 of 3140"
"O'Brien County",19141,5.8,789,"2577 of 3140"
"Jasper County",19099,6.0,2196,"2638 of 3140"
"Webster County",19187,6.4,2350,"2726 of 3140"
"Palo Alto County",19147,6.5,583,"2735 of 3140"
"Clay County",19041,6.6,1068,"2765 of 3140"
"Warren County",19181,6.7,3214,"2775 of 3140"
"Dallas County",19049,6.9,5494,"2814 of 3140"
"Adair County",19001,7.2,514,"2859 of 3140"
"Story County",19169,8.8,8373,"3012 of 3140"
"Calhoun County",19025,10.2,992,"3064 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
