------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Iowa",19000,2.6,79001,"20 of 51"
"Adams County",19003,0.2,8,"50 of 3140"
"Chickasaw County",19037,0.5,64,"202 of 3140"
"Butler County",19023,0.6,93,"274 of 3140"
"Tama County",19171,0.7,118,"334 of 3140"
"Clarke County",19039,0.8,72,"413 of 3140"
"Crawford County",19047,0.8,139,"449 of 3140"
"Grundy County",19075,0.9,104,"472 of 3140"
"Mitchell County",19131,0.9,100,"585 of 3140"
"Audubon County",19009,1.0,54,"597 of 3140"
"Louisa County",19115,1.0,106,"599 of 3140"
"Cedar County",19031,1.0,174,"602 of 3140"
"Jones County",19105,1.0,198,"615 of 3140"
"Hancock County",19081,1.0,113,"682 of 3140"
"Jackson County",19097,1.0,199,"685 of 3140"
"Delaware County",19055,1.0,180,"696 of 3140"
"Pocahontas County",19151,1.1,73,"710 of 3140"
"Franklin County",19069,1.1,111,"744 of 3140"
"Keokuk County",19107,1.1,110,"745 of 3140"
"Humboldt County",19091,1.1,103,"749 of 3140"
"Benton County",19011,1.1,278,"762 of 3140"
"Ida County",19093,1.1,77,"794 of 3140"
"Carroll County",19027,1.1,229,"805 of 3140"
"Calhoun County",19025,1.2,112,"831 of 3140"
"Marion County",19125,1.2,394,"895 of 3140"
"Jasper County",19099,1.2,447,"929 of 3140"
"Muscatine County",19139,1.2,521,"933 of 3140"
"Iowa County",19095,1.2,200,"943 of 3140"
"Lyon County",19119,1.3,145,"950 of 3140"
