------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Iowa",19000,2.4,74091,"30 of 52"
"United States",00000,5.5,17756436,"N/A"
"Fremont County",19071,0.0,0,"2927 of 3141"
"Lucas County",19117,0.0,0,"2927 of 3141"
"Montgomery County",19137,0.0,0,"2927 of 3141"
"Sac County",19161,0.0,0,"2927 of 3141"
"Wayne County",19185,0.0,3,"2871 of 3141"
"Jones County",19105,0.1,16,"2824 of 3141"
"Van Buren County",19177,0.1,7,"2790 of 3141"
"Franklin County",19069,0.1,11,"2763 of 3141"
"Osceola County",19143,0.1,8,"2720 of 3141"
"Carroll County",19027,0.2,31,"2679 of 3141"
"Monona County",19133,0.2,15,"2647 of 3141"
"Mills County",19129,0.2,32,"2554 of 3141"
"Iowa County",19095,0.2,38,"2521 of 3141"
"Howard County",19089,0.2,22,"2517 of 3141"
"Emmet County",19063,0.2,24,"2492 of 3141"
"Guthrie County",19077,0.3,29,"2452 of 3141"
"Grundy County",19075,0.3,34,"2447 of 3141"
"Cedar County",19031,0.3,51,"2440 of 3141"
"Worth County",19195,0.3,23,"2376 of 3141"
"Allamakee County",19005,0.3,43,"2369 of 3141"
"Humboldt County",19091,0.3,30,"2359 of 3141"
"Shelby County",19165,0.3,37,"2354 of 3141"
"Calhoun County",19025,0.3,31,"2350 of 3141"
"Davis County",19051,0.3,30,"2300 of 3141"
"Benton County",19011,0.3,89,"2280 of 3141"
"Harrison County",19085,0.4,50,"2274 of 3141"
"Lyon County",19119,0.4,42,"2265 of 3141"
