------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"United States",00000,47.3,151838062,"N/A"
"Iowa",19000,47.7,1488339,"27 of 52"
"Story County",19169,33.0,31610,"3119 of 3141"
"Johnson County",19103,35.9,51828,"3098 of 3141"
"Sioux County",19167,41.9,14521,"2898 of 3141"
"Dallas County",19049,42.1,34039,"2887 of 3141"
"Polk County",19153,43.5,203219,"2792 of 3141"
"Black Hawk County",19013,43.6,58015,"2784 of 3141"
"Woodbury County",19193,44.6,45636,"2704 of 3141"
"Buena Vista County",19021,45.0,9173,"2658 of 3141"
"Crawford County",19047,46.4,7951,"2505 of 3141"
"Linn County",19113,46.5,102252,"2498 of 3141"
"Decatur County",19053,46.8,3793,"2465 of 3141"
"Davis County",19051,47.2,4172,"2416 of 3141"
"Muscatine County",19139,47.5,20387,"2360 of 3141"
"Lyon County",19119,47.6,5589,"2343 of 3141"
"Scott County",19163,47.7,81766,"2330 of 3141"
"Warren County",19181,47.7,23210,"2320 of 3141"
"Dubuque County",19061,48.6,46941,"2172 of 3141"
"Marshall County",19127,48.6,19680,"2168 of 3141"
"Buchanan County",19019,48.7,10272,"2160 of 3141"
"Bremer County",19017,49.1,12158,"2070 of 3141"
"Marion County",19125,49.3,16334,"2046 of 3141"
"Wapello County",19179,49.3,17416,"2045 of 3141"
"Pottawattamie County",19155,49.5,46196,"2008 of 3141"
"Webster County",19187,49.6,18309,"2003 of 3141"
"Mahaska County",19123,49.7,11074,"1978 of 3141"
"Union County",19175,50.1,6261,"1888 of 3141"
"Clarke County",19039,50.3,4664,"1835 of 3141"
"Henry County",19087,50.3,9998,"1834 of 3141"
"Plymouth County",19149,50.4,12604,"1827 of 3141"
"Jefferson County",19101,50.6,9073,"1780 of 3141"
"Madison County",19121,50.9,8008,"1682 of 3141"
"Poweshiek County",19157,51.0,9391,"1678 of 3141"
"Winneshiek County",19191,51.1,10518,"1640 of 3141"
"Washington County",19183,51.3,11324,"1608 of 3141"
"Howard County",19089,51.6,4805,"1532 of 3141"
"Louisa County",19115,51.6,5796,"1525 of 3141"
"Boone County",19015,52.0,13729,"1420 of 3141"
"Carroll County",19027,52.1,10640,"1407 of 3141"
"Benton County",19011,52.2,13396,"1367 of 3141"
"Clay County",19041,52.4,8580,"1334 of 3141"
"Iowa County",19095,52.5,8522,"1300 of 3141"
"Clinton County",19045,52.5,24993,"1294 of 3141"
"Cedar County",19031,52.6,9660,"1272 of 3141"
"Mills County",19129,52.6,7854,"1271 of 3141"
"Humboldt County",19091,52.7,5052,"1247 of 3141"
"Palo Alto County",19147,52.7,4802,"1244 of 3141"
"Emmet County",19063,52.7,5093,"1242 of 3141"
"Monroe County",19135,52.9,4183,"1203 of 3141"
"Des Moines County",19057,52.9,21095,"1198 of 3141"
"Jasper County",19099,52.9,19467,"1194 of 3141"
"Wayne County",19185,53.0,3397,"1164 of 3141"
"Delaware County",19055,53.2,9217,"1134 of 3141"
"Lee County",19111,53.3,18547,"1109 of 3141"
"Tama County",19171,53.4,9205,"1089 of 3141"
"Grundy County",19075,53.4,6603,"1078 of 3141"
"Winnebago County",19189,53.5,5642,"1061 of 3141"
"Fayette County",19065,53.6,10788,"1044 of 3141"
"Keokuk County",19107,53.7,5488,"1018 of 3141"
"Jones County",19105,53.9,11038,"976 of 3141"
"Franklin County",19069,53.9,5570,"973 of 3141"
"Chickasaw County",19037,53.9,6549,"972 of 3141"
"O'Brien County",19141,54.1,7537,"947 of 3141"
"Mitchell County",19131,54.1,5772,"928 of 3141"
"Hamilton County",19079,54.3,8247,"915 of 3141"
"Wright County",19197,54.3,6980,"911 of 3141"
"Taylor County",19173,54.3,3372,"909 of 3141"
"Floyd County",19067,54.3,8638,"893 of 3141"
"Butler County",19023,54.5,8074,"864 of 3141"
"Osceola County",19143,54.5,3350,"863 of 3141"
"Page County",19145,54.6,8400,"843 of 3141"
"Harrison County",19085,54.6,7747,"842 of 3141"
"Ringgold County",19159,54.7,2728,"813 of 3141"
"Hardin County",19083,54.8,9451,"801 of 3141"
"Calhoun County",19025,54.8,5381,"800 of 3141"
"Allamakee County",19005,54.9,7648,"794 of 3141"
"Jackson County",19097,54.9,10659,"786 of 3141"
"Hancock County",19081,55.0,6029,"777 of 3141"
"Cerro Gordo County",19033,55.1,23758,"760 of 3141"
"Lucas County",19117,55.1,4742,"742 of 3141"
"Kossuth County",19109,55.2,8373,"731 of 3141"
"Cass County",19029,55.2,7361,"723 of 3141"
"Worth County",19195,55.3,4147,"714 of 3141"
"Ida County",19093,55.3,3851,"710 of 3141"
"Guthrie County",19077,55.5,5921,"677 of 3141"
"Appanoose County",19007,55.5,6969,"673 of 3141"
"Van Buren County",19177,55.8,4075,"642 of 3141"
"Montgomery County",19137,55.9,5720,"628 of 3141"
"Shelby County",19165,56.0,6594,"612 of 3141"
"Greene County",19073,56.1,5074,"602 of 3141"
"Adair County",19001,56.3,4051,"565 of 3141"
"Adams County",19003,56.3,2132,"564 of 3141"
"Clayton County",19043,56.5,10006,"551 of 3141"
"Fremont County",19071,56.6,3952,"542 of 3141"
"Pocahontas County",19151,56.6,3949,"538 of 3141"
"Cherokee County",19035,56.7,6569,"522 of 3141"
"Sac County",19161,57.0,5660,"494 of 3141"
"Dickinson County",19059,57.9,9836,"386 of 3141"
"Monona County",19133,58.2,5162,"351 of 3141"
"Audubon County",19009,58.3,3331,"337 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
