------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Iowa",19000,20.4,614110,"18 of 52"
"United States",00000,23.7,74202606,"N/A"
"Dallas County",19049,9.8,7855,"40 of 3141"
"Grundy County",19075,11.8,1427,"86 of 3141"
"Warren County",19181,12.0,5621,"95 of 3141"
"Cedar County",19031,12.5,2263,"121 of 3141"
"Lyon County",19119,12.5,1449,"123 of 3141"
"Madison County",19121,13.8,2140,"170 of 3141"
"Bremer County",19017,13.9,3218,"177 of 3141"
"Winneshiek County",19191,14.2,2589,"192 of 3141"
"Buchanan County",19019,14.9,3092,"232 of 3141"
"Mills County",19129,15.0,2211,"242 of 3141"
"Benton County",19011,15.2,3841,"251 of 3141"
"Sioux County",19167,15.3,4932,"254 of 3141"
"Butler County",19023,16.0,2330,"301 of 3141"
"Plymouth County",19149,16.2,3990,"315 of 3141"
"Hamilton County",19079,16.5,2476,"345 of 3141"
"Palo Alto County",19147,16.7,1460,"357 of 3141"
"Carroll County",19027,16.9,3379,"375 of 3141"
"Worth County",19195,17.1,1256,"401 of 3141"
"Linn County",19113,17.1,36735,"402 of 3141"
"Marion County",19125,17.4,5487,"435 of 3141"
"Dickinson County",19059,17.5,2917,"436 of 3141"
"Ida County",19093,17.5,1191,"440 of 3141"
"Sac County",19161,17.5,1702,"445 of 3141"
"Iowa County",19095,17.5,2784,"449 of 3141"
"Hancock County",19081,17.8,1912,"463 of 3141"
"Jasper County",19099,17.8,6223,"469 of 3141"
"Hardin County",19083,17.8,2912,"471 of 3141"
"Dubuque County",19061,18.0,16726,"494 of 3141"
"Lucas County",19117,18.0,1512,"495 of 3141"
"Muscatine County",19139,18.2,7676,"510 of 3141"
"Kossuth County",19109,18.3,2722,"514 of 3141"
"Guthrie County",19077,18.5,1945,"534 of 3141"
"O'Brien County",19141,18.5,2525,"545 of 3141"
"Shelby County",19165,18.5,2139,"552 of 3141"
"Adams County",19003,18.6,692,"563 of 3141"
"Jones County",19105,18.8,3624,"593 of 3141"
"Pottawattamie County",19155,19.0,17205,"607 of 3141"
"Washington County",19183,19.0,4127,"610 of 3141"
"Harrison County",19085,19.1,2660,"623 of 3141"
"Mitchell County",19131,19.2,2005,"630 of 3141"
"Polk County",19153,19.3,88506,"642 of 3141"
"Cerro Gordo County",19033,19.5,8200,"669 of 3141"
"Scott County",19163,19.5,32862,"682 of 3141"
"Boone County",19015,19.6,5051,"683 of 3141"
"Osceola County",19143,19.7,1190,"697 of 3141"
"Delaware County",19055,19.7,3357,"700 of 3141"
"Adair County",19001,19.8,1377,"716 of 3141"
"Tama County",19171,19.8,3318,"718 of 3141"
"Greene County",19073,19.9,1769,"727 of 3141"
"Audubon County",19009,19.9,1098,"729 of 3141"
"Winnebago County",19189,19.9,1969,"734 of 3141"
"Chickasaw County",19037,20.0,2394,"744 of 3141"
"Howard County",19089,20.0,1815,"747 of 3141"
"Fremont County",19071,20.1,1369,"766 of 3141"
"Jackson County",19097,20.4,3896,"799 of 3141"
"Clay County",19041,20.5,3274,"812 of 3141"
"Henry County",19087,20.7,3810,"838 of 3141"
"Poweshiek County",19157,20.7,3452,"842 of 3141"
"Louisa County",19115,21.0,2325,"873 of 3141"
"Keokuk County",19107,21.0,2116,"883 of 3141"
"Marshall County",19127,21.4,8414,"938 of 3141"
"Fayette County",19065,21.5,4164,"951 of 3141"
"Clayton County",19043,21.7,3786,"978 of 3141"
"Allamakee County",19005,22.0,2985,"1009 of 3141"
"Van Buren County",19177,22.3,1613,"1048 of 3141"
"Ringgold County",19159,22.4,1068,"1061 of 3141"
"Clinton County",19045,23.0,10679,"1139 of 3141"
"Monroe County",19135,23.1,1794,"1153 of 3141"
"Cherokee County",19035,23.2,2548,"1167 of 3141"
"Wright County",19197,23.5,2962,"1215 of 3141"
"Page County",19145,23.9,3443,"1269 of 3141"
"Clarke County",19039,23.9,2169,"1272 of 3141"
"Calhoun County",19025,24.0,2163,"1278 of 3141"
"Humboldt County",19091,24.1,2272,"1297 of 3141"
"Taylor County",19173,24.3,1477,"1329 of 3141"
"Johnson County",19103,24.3,33114,"1335 of 3141"
"Buena Vista County",19021,24.5,4725,"1356 of 3141"
"Pocahontas County",19151,24.5,1671,"1368 of 3141"
"Mahaska County",19123,24.8,5368,"1415 of 3141"
"Floyd County",19067,24.9,3907,"1440 of 3141"
"Davis County",19051,25.0,2173,"1442 of 3141"
"Black Hawk County",19013,25.3,32264,"1486 of 3141"
"Monona County",19133,25.5,2202,"1513 of 3141"
"Woodbury County",19193,25.6,25432,"1522 of 3141"
"Lee County",19111,25.8,8696,"1553 of 3141"
"Union County",19175,25.8,3146,"1554 of 3141"
"Cass County",19029,25.8,3374,"1558 of 3141"
"Des Moines County",19057,26.1,10209,"1596 of 3141"
"Emmet County",19063,26.4,2312,"1630 of 3141"
"Jefferson County",19101,27.0,4465,"1742 of 3141"
