------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Indiana",18000,1.8,44741,"40 of 52"
"United States",00000,3.3,3975282,"N/A"
"Wells County",18179,0.4,40,"3039 of 3141"
"Howard County",18067,0.6,196,"2962 of 3141"
"Pike County",18125,0.6,30,"2948 of 3141"
"Henry County",18065,0.6,110,"2936 of 3141"
"Floyd County",18043,0.7,204,"2890 of 3141"
"Hancock County",18059,0.7,194,"2889 of 3141"
"Fulton County",18049,0.8,60,"2850 of 3141"
"DeKalb County",18033,0.8,129,"2820 of 3141"
"Perry County",18123,0.8,61,"2800 of 3141"
"Ohio County",18115,0.8,21,"2777 of 3141"
"Hamilton County",18057,0.8,969,"2773 of 3141"
"Clark County",18019,0.9,380,"2752 of 3141"
"Scott County",18143,0.9,78,"2740 of 3141"
"Randolph County",18135,0.9,93,"2726 of 3141"
"Tipton County",18159,0.9,58,"2696 of 3141"
"Spencer County",18147,0.9,74,"2693 of 3141"
"Posey County",18129,0.9,93,"2689 of 3141"
"Rush County",18139,1.0,65,"2645 of 3141"
"Delaware County",18035,1.0,468,"2602 of 3141"
"Huntington County",18069,1.0,153,"2564 of 3141"
"Fountain County",18045,1.1,76,"2524 of 3141"
"Steuben County",18151,1.1,152,"2508 of 3141"
"Whitley County",18183,1.1,150,"2492 of 3141"
"Wabash County",18169,1.1,148,"2441 of 3141"
"Montgomery County",18107,1.2,174,"2423 of 3141"
"Franklin County",18047,1.2,109,"2344 of 3141"
"Grant County",18053,1.3,332,"2303 of 3141"
"Monroe County",18105,1.3,721,"2243 of 3141"
"Newton County",18111,1.3,73,"2225 of 3141"
"Blackford County",18009,1.3,69,"2218 of 3141"
"Decatur County",18031,1.3,138,"2214 of 3141"
"Boone County",18011,1.3,325,"2202 of 3141"
"Dearborn County",18029,1.4,254,"2187 of 3141"
"Union County",18161,1.4,40,"2146 of 3141"
"Hendricks County",18063,1.4,818,"2106 of 3141"
"Madison County",18095,1.5,760,"2059 of 3141"
"Washington County",18175,1.5,158,"2032 of 3141"
"Knox County",18083,1.5,229,"1990 of 3141"
"St. Joseph County",18141,1.5,1542,"1985 of 3141"
"Vigo County",18167,1.6,646,"1944 of 3141"
"Starke County",18149,1.6,142,"1898 of 3141"
"Lawrence County",18093,1.6,299,"1888 of 3141"
"Allen County",18003,1.6,2330,"1876 of 3141"
"Porter County",18127,1.6,1035,"1872 of 3141"
"Vermillion County",18165,1.6,107,"1871 of 3141"
"Vanderburgh County",18163,1.7,1242,"1853 of 3141"
"Morgan County",18109,1.7,429,"1846 of 3141"
"White County",18181,1.7,164,"1817 of 3141"
"Tippecanoe County",18157,1.7,1167,"1802 of 3141"
"Clay County",18021,1.7,184,"1782 of 3141"
"Wayne County",18177,1.7,458,"1771 of 3141"
"Harrison County",18061,1.7,255,"1770 of 3141"
"Pulaski County",18131,1.8,93,"1749 of 3141"
"Benton County",18007,1.8,61,"1719 of 3141"
"Jackson County",18071,1.8,298,"1708 of 3141"
"Carroll County",18015,1.8,142,"1692 of 3141"
"Crawford County",18025,1.8,73,"1683 of 3141"
"Fayette County",18041,1.8,173,"1660 of 3141"
"Johnson County",18081,1.8,1013,"1657 of 3141"
"Warrick County",18173,1.9,454,"1583 of 3141"
"Martin County",18101,2.0,83,"1544 of 3141"
"Jennings County",18079,2.0,212,"1529 of 3141"
"Miami County",18103,2.0,268,"1511 of 3141"
"Brown County",18013,2.0,121,"1487 of 3141"
"Marion County",18097,2.0,7501,"1457 of 3141"
"Clinton County",18023,2.1,252,"1391 of 3141"
"LaPorte County",18091,2.1,916,"1366 of 3141"
"Jasper County",18073,2.2,263,"1345 of 3141"
"Gibson County",18051,2.2,292,"1310 of 3141"
"Lake County",18089,2.2,4108,"1286 of 3141"
"Shelby County",18145,2.2,390,"1285 of 3141"
"Orange County",18117,2.3,179,"1212 of 3141"
"Sullivan County",18153,2.3,176,"1185 of 3141"
"Warren County",18171,2.3,79,"1173 of 3141"
"Kosciusko County",18085,2.4,715,"1141 of 3141"
"Jefferson County",18077,2.5,316,"1024 of 3141"
"Cass County",18017,2.6,379,"982 of 3141"
"Dubois County",18037,2.6,422,"982 of 3141"
"Elkhart County",18039,2.6,1878,"946 of 3141"
"Daviess County",18027,2.6,303,"932 of 3141"
"Noble County",18113,2.7,485,"914 of 3141"
"Putnam County",18133,3.0,392,"752 of 3141"
"Bartholomew County",18005,3.0,950,"731 of 3141"
"Parke County",18121,3.2,196,"633 of 3141"
"Ripley County",18137,3.2,358,"631 of 3141"
"Owen County",18119,3.3,278,"615 of 3141"
"Jay County",18075,3.4,275,"569 of 3141"
"Switzerland County",18155,3.5,148,"533 of 3141"
"Greene County",18055,3.5,447,"514 of 3141"
"Marshall County",18099,3.8,655,"429 of 3141"
"LaGrange County",18087,4.1,493,"361 of 3141"
"Adams County",18001,5.6,702,"176 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
