------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Indiana",18000,52182.000000000,"36 of 52"
"United States",00000,57652.000000000,"N/A"
"Crawford County",18025,40067.000000000,"2468 of 3141"
"Blackford County",18009,40622.000000000,"2413 of 3141"
"Delaware County",18035,41208.000000000,"2342 of 3141"
"Fayette County",18041,41476.000000000,"2309 of 3141"
"Wayne County",18177,41813.000000000,"2265 of 3141"
"Vigo County",18167,42030.000000000,"2246 of 3141"
"Grant County",18053,42046.000000000,"2243 of 3141"
"Orange County",18117,42803.000000000,"2159 of 3141"
"Jay County",18075,42878.000000000,"2156 of 3141"
"Switzerland County",18155,43468.000000000,"2094 of 3141"
"Parke County",18121,44643.000000000,"1971 of 3141"
"Vanderburgh County",18163,44815.000000000,"1949 of 3141"
"Knox County",18083,44837.000000000,"1946 of 3141"
"Marion County",18097,44869.000000000,"1942 of 3141"
"Randolph County",18135,44985.000000000,"1923 of 3141"
"Sullivan County",18153,45031.000000000,"1919 of 3141"
"Madison County",18095,45432.000000000,"1879 of 3141"
"Vermillion County",18165,45440.000000000,"1878 of 3141"
"Starke County",18149,45526.000000000,"1869 of 3141"
"Union County",18161,45531.000000000,"1868 of 3141"
"Cass County",18017,45558.000000000,"1862 of 3141"
