------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Indiana",18000,8.8,573968,"32 of 51"
"Brown County",18013,2.5,374,"162 of 3140"
"Union County",18161,3.6,257,"396 of 3140"
"Crawford County",18025,3.6,382,"411 of 3140"
"Harrison County",18061,3.8,1493,"471 of 3140"
"Martin County",18101,3.8,388,"477 of 3140"
"Tipton County",18159,3.9,583,"479 of 3140"
"Franklin County",18047,4.1,920,"556 of 3140"
"Perry County",18123,4.2,798,"587 of 3140"
"Posey County",18129,4.4,1114,"661 of 3140"
"Floyd County",18043,4.8,3625,"824 of 3140"
"Spencer County",18147,4.8,983,"832 of 3140"
"Vermillion County",18165,4.9,764,"890 of 3140"
"Jasper County",18073,5.0,1643,"904 of 3140"
"Carroll County",18015,5.1,1014,"975 of 3140"
"Ripley County",18137,5.1,1444,"989 of 3140"
"Dubois County",18037,5.2,2159,"1002 of 3140"
"Fulton County",18049,5.3,1053,"1044 of 3140"
"Pulaski County",18131,5.3,666,"1048 of 3140"
"Ohio County",18115,5.3,313,"1092 of 3140"
"White County",18181,5.4,1305,"1139 of 3140"
"Parke County",18121,5.5,931,"1162 of 3140"
"Blackford County",18009,5.5,663,"1164 of 3140"
"Sullivan County",18153,5.6,1152,"1200 of 3140"
"Orange County",18117,5.6,1089,"1222 of 3140"
"Washington County",18175,5.6,1548,"1226 of 3140"
"Dearborn County",18029,5.7,2779,"1239 of 3140"
"Whitley County",18183,5.7,1894,"1277 of 3140"
"Boone County",18011,5.8,3620,"1329 of 3140"
"Clark County",18019,5.9,6670,"1363 of 3140"
"Starke County",18149,5.9,1336,"1370 of 3140"
"Newton County",18111,6.0,832,"1423 of 3140"
"Gibson County",18051,6.0,1991,"1431 of 3140"
"LaGrange County",18087,6.0,2309,"1459 of 3140"
"Shelby County",18145,6.0,2648,"1460 of 3140"
"Warrick County",18173,6.1,3739,"1492 of 3140"
"Hendricks County",18063,6.2,9762,"1549 of 3140"
"Hamilton County",18057,6.3,19142,"1555 of 3140"
"Lawrence County",18093,6.3,2826,"1570 of 3140"
"Marshall County",18099,6.3,2906,"1572 of 3140"
"Hancock County",18059,6.4,4636,"1641 of 3140"
"Owen County",18119,6.4,1338,"1655 of 3140"
"Clay County",18021,6.6,1712,"1713 of 3140"
"Miami County",18103,6.6,2361,"1726 of 3140"
"Pike County",18125,6.8,833,"1780 of 3140"
"Wells County",18179,7.0,1916,"1854 of 3140"
"Morgan County",18109,7.3,5048,"2018 of 3140"
"Johnson County",18081,7.4,10930,"2044 of 3140"
"Porter County",18127,7.5,12495,"2093 of 3140"
"Greene County",18055,7.5,2418,"2095 of 3140"
"Benton County",18007,7.6,653,"2132 of 3140"
"Clinton County",18023,7.7,2465,"2168 of 3140"
"Daviess County",18027,7.7,2497,"2178 of 3140"
"Jennings County",18079,8.0,2194,"2254 of 3140"
"Bartholomew County",18005,8.0,6448,"2283 of 3140"
"Scott County",18143,8.1,1896,"2291 of 3140"
"Jay County",18075,8.1,1689,"2295 of 3140"
"Lake County",18089,8.1,39307,"2315 of 3140"
"Wayne County",18177,8.2,5427,"2326 of 3140"
"Elkhart County",18039,8.2,16331,"2327 of 3140"
"St. Joseph County",18141,8.2,21814,"2342 of 3140"
"DeKalb County",18033,8.3,3482,"2351 of 3140"
"Steuben County",18151,8.3,2828,"2353 of 3140"
"Jackson County",18071,8.3,3597,"2370 of 3140"
"Noble County",18113,8.5,3996,"2422 of 3140"
"Fountain County",18045,8.6,1411,"2429 of 3140"
"Warren County",18171,8.6,703,"2431 of 3140"
"LaPorte County",18091,8.7,9528,"2464 of 3140"
"Decatur County",18031,8.8,2308,"2481 of 3140"
"Randolph County",18135,8.9,2215,"2528 of 3140"
"Kosciusko County",18085,8.9,6942,"2540 of 3140"
"Wabash County",18169,9.0,2829,"2551 of 3140"
"Henry County",18065,9.0,4334,"2557 of 3140"
"Switzerland County",18155,9.0,950,"2563 of 3140"
"Cass County",18017,9.0,3417,"2569 of 3140"
"Adams County",18001,9.0,3110,"2571 of 3140"
"Knox County",18083,9.3,3479,"2637 of 3140"
"Huntington County",18069,9.5,3411,"2682 of 3140"
"Jefferson County",18077,9.5,3022,"2688 of 3140"
"Rush County",18139,9.6,1600,"2708 of 3140"
"Grant County",18053,9.9,6644,"2769 of 3140"
"Howard County",18067,10.1,8259,"2805 of 3140"
"Montgomery County",18107,10.2,3854,"2818 of 3140"
"Marion County",18097,10.4,96087,"2850 of 3140"
"Vanderburgh County",18163,10.5,18822,"2867 of 3140"
"Fayette County",18041,10.8,2501,"2899 of 3140"
"Allen County",18003,11.2,40712,"2962 of 3140"
"Madison County",18095,11.4,14611,"2984 of 3140"
"Vigo County",18167,11.8,12565,"3022 of 3140"
"Putnam County",18133,13.1,4857,"3086 of 3140"
"Delaware County",18035,14.1,16128,"3114 of 3140"
"Tippecanoe County",18157,15.5,28448,"3130 of 3140"
"Monroe County",18105,16.6,23795,"3136 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
