------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Indiana",18000,3.6,238467,"36 of 51"
"Lake County",18089,1.1,5438,"66 of 3140"
"Randolph County",18135,1.7,415,"201 of 3140"
"Dearborn County",18029,1.7,832,"211 of 3140"
"Allen County",18003,1.9,6907,"292 of 3140"
"Adams County",18001,1.9,669,"309 of 3140"
"Union County",18161,2.0,146,"350 of 3140"
"St. Joseph County",18141,2.1,5537,"381 of 3140"
"Dubois County",18037,2.1,874,"386 of 3140"
"Elkhart County",18039,2.2,4312,"424 of 3140"
"Crawford County",18025,2.3,240,"496 of 3140"
"Spencer County",18147,2.3,479,"526 of 3140"
"Vermillion County",18165,2.4,373,"559 of 3140"
"Harrison County",18061,2.5,960,"593 of 3140"
"Jay County",18075,2.5,521,"620 of 3140"
"Grant County",18053,2.5,1675,"622 of 3140"
"Wayne County",18177,2.6,1714,"682 of 3140"
"Jackson County",18071,2.6,1136,"714 of 3140"
"Daviess County",18027,2.7,857,"735 of 3140"
"Clinton County",18023,2.7,860,"759 of 3140"
"Fayette County",18041,2.8,639,"805 of 3140"
"Marion County",18097,2.8,26028,"850 of 3140"
"Gibson County",18051,2.8,935,"857 of 3140"
"Washington County",18175,2.9,787,"889 of 3140"
"Posey County",18129,2.9,740,"921 of 3140"
