------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Indiana",18000,23.9,1577855,"13 of 52"
"Monroe County",18105,16.0,23067,"3060 of 3141"
"Brown County",18013,18.5,2778,"2814 of 3141"
"Delaware County",18035,18.9,21967,"2746 of 3141"
"Ohio County",18115,19.5,1151,"2629 of 3141"
"Putnam County",18133,19.6,7353,"2595 of 3141"
"Sullivan County",18153,20.2,4223,"2433 of 3141"
"Vigo County",18167,20.7,22291,"2279 of 3141"
"Jefferson County",18077,20.7,6685,"2276 of 3141"
"Tippecanoe County",18157,20.7,38555,"2266 of 3141"
"Henry County",18065,20.8,10115,"2237 of 3141"
"Grant County",18053,20.8,14069,"2228 of 3141"
"Steuben County",18151,20.9,7207,"2201 of 3141"
"Knox County",18083,21.2,8001,"2090 of 3141"
"Tipton County",18159,21.2,3245,"2080 of 3141"
"Perry County",18123,21.2,4086,"2072 of 3141"
"Wabash County",18169,21.3,6783,"2043 of 3141"
"Parke County",18121,21.5,3661,"1996 of 3141"
"Owen County",18119,21.6,4529,"1944 of 3141"
"Miami County",18103,21.8,7848,"1871 of 3141"
"Vanderburgh County",18163,21.8,39642,"1858 of 3141"
"Blackford County",18009,21.8,2666,"1851 of 3141"
"LaPorte County",18091,21.9,24252,"1830 of 3141"
"Newton County",18111,21.9,3084,"1798 of 3141"
"Warren County",18171,22.0,1816,"1786 of 3141"
"Huntington County",18069,22.0,8051,"1753 of 3141"
"Madison County",18095,22.1,28607,"1745 of 3141"
"Crawford County",18025,22.1,2345,"1713 of 3141"
"Wayne County",18177,22.2,14851,"1690 of 3141"
"Lawrence County",18093,22.2,10142,"1676 of 3141"
"Fayette County",18041,22.2,5204,"1669 of 3141"
"Vermillion County",18165,22.3,3482,"1651 of 3141"
"Posey County",18129,22.3,5716,"1610 of 3141"
"Pike County",18125,22.4,2794,"1575 of 3141"
"Greene County",18055,22.4,7280,"1560 of 3141"
"Spencer County",18147,22.5,4633,"1548 of 3141"
"Fountain County",18045,22.5,3747,"1524 of 3141"
"Harrison County",18061,22.6,8931,"1487 of 3141"
"Porter County",18127,22.7,37988,"1460 of 3141"
"Martin County",18101,22.8,2330,"1411 of 3141"
"Pulaski County",18131,22.8,2912,"1400 of 3141"
"Howard County",18067,22.9,18866,"1375 of 3141"
"Clark County",18019,22.9,26348,"1353 of 3141"
"Carroll County",18015,23.0,4592,"1330 of 3141"
"Rush County",18139,23.0,3852,"1328 of 3141"
"Montgomery County",18107,23.0,8816,"1301 of 3141"
"Floyd County",18043,23.1,17679,"1266 of 3141"
"Shelby County",18145,23.1,10252,"1263 of 3141"
"Clay County",18021,23.1,6102,"1257 of 3141"
"Scott County",18143,23.2,5499,"1238 of 3141"
"Union County",18161,23.2,1676,"1231 of 3141"
"Dearborn County",18029,23.3,11531,"1200 of 3141"
"Whitley County",18183,23.3,7804,"1176 of 3141"
"Morgan County",18109,23.4,16243,"1158 of 3141"
"White County",18181,23.4,5679,"1148 of 3141"
"Starke County",18149,23.4,5382,"1127 of 3141"
"Gibson County",18051,23.5,7888,"1112 of 3141"
"Washington County",18175,23.5,6530,"1109 of 3141"
"Randolph County",18135,23.5,5923,"1102 of 3141"
"Orange County",18117,23.6,4630,"1059 of 3141"
"Cass County",18017,23.7,9068,"1010 of 3141"
"Fulton County",18049,23.8,4836,"955 of 3141"
"Jennings County",18079,23.9,6658,"919 of 3141"
"St. Joseph County",18141,23.9,64264,"914 of 3141"
"Ripley County",18137,24.0,6810,"878 of 3141"
"Bartholomew County",18005,24.0,19449,"877 of 3141"
"Hancock County",18059,24.0,17470,"876 of 3141"
"Franklin County",18047,24.1,5511,"818 of 3141"
"Jasper County",18073,24.1,8077,"812 of 3141"
"Lake County",18089,24.2,118151,"797 of 3141"
"Kosciusko County",18085,24.4,19240,"708 of 3141"
"Jackson County",18071,24.5,10734,"687 of 3141"
"Warrick County",18173,24.5,15106,"683 of 3141"
"Dubois County",18037,24.5,10400,"677 of 3141"
"Decatur County",18031,24.6,6522,"651 of 3141"
"Wells County",18179,24.7,6874,"633 of 3141"
"DeKalb County",18033,24.8,10534,"612 of 3141"
"Marion County",18097,24.8,233138,"604 of 3141"
"Benton County",18007,25.0,2171,"546 of 3141"
"Switzerland County",18155,25.2,2679,"489 of 3141"
"Johnson County",18081,25.3,37750,"481 of 3141"
"Marshall County",18099,25.4,11852,"468 of 3141"
"Noble County",18113,25.5,12088,"442 of 3141"
"Jay County",18075,25.8,5446,"387 of 3141"
"Hendricks County",18063,25.8,40882,"380 of 3141"
"Allen County",18003,26.1,96042,"345 of 3141"
"Clinton County",18023,26.3,8530,"332 of 3141"
"Boone County",18011,26.9,16952,"266 of 3141"
"Elkhart County",18039,27.9,56626,"170 of 3141"
"Hamilton County",18057,28.2,87319,"153 of 3141"
"Daviess County",18027,29.1,9527,"115 of 3141"
"Adams County",18001,31.2,10935,"63 of 3141"
"LaGrange County",18087,33.1,12835,"34 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
