------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Indiana",18000,2.2,140661,"13 of 51"
"United States",00000,2.3,7354769,"N/A"
"Pulaski County",18131,0.2,31,"59 of 3140"
"Pike County",18125,0.5,59,"167 of 3140"
"Cass County",18017,0.5,188,"174 of 3140"
"Carroll County",18015,0.5,107,"209 of 3140"
"Lawrence County",18093,0.6,252,"219 of 3140"
"Sullivan County",18153,0.6,120,"230 of 3140"
"Tipton County",18159,0.6,92,"255 of 3140"
"Henry County",18065,0.6,301,"263 of 3140"
"Hancock County",18059,0.7,503,"337 of 3140"
"Fayette County",18041,0.7,168,"351 of 3140"
"Jay County",18075,0.7,156,"366 of 3140"
"Morgan County",18109,0.8,518,"372 of 3140"
"Starke County",18149,0.8,173,"381 of 3140"
"Scott County",18143,0.8,183,"403 of 3140"
"Wells County",18179,0.8,220,"426 of 3140"
"Greene County",18055,0.9,280,"495 of 3140"
"Rush County",18139,0.9,147,"508 of 3140"
"Clay County",18021,0.9,234,"535 of 3140"
"Orange County",18117,0.9,175,"543 of 3140"
"Warren County",18171,0.9,75,"553 of 3140"
"Jackson County",18071,0.9,409,"584 of 3140"
"Shelby County",18145,1.0,417,"596 of 3140"
"Dubois County",18037,1.0,410,"629 of 3140"
"Fulton County",18049,1.0,198,"634 of 3140"
"Washington County",18175,1.0,272,"637 of 3140"
"Daviess County",18027,1.0,325,"656 of 3140"
"Marshall County",18099,1.0,470,"667 of 3140"
"Vermillion County",18165,1.1,166,"724 of 3140"
"Madison County",18095,1.1,1399,"751 of 3140"
"Ripley County",18137,1.1,311,"779 of 3140"
"Blackford County",18009,1.1,138,"823 of 3140"
"Noble County",18113,1.2,541,"835 of 3140"
"Fountain County",18045,1.2,200,"917 of 3140"
"Miami County",18103,1.2,443,"946 of 3140"
"DeKalb County",18033,1.3,532,"966 of 3140"
"Owen County",18119,1.3,271,"1017 of 3140"
"Randolph County",18135,1.3,332,"1051 of 3140"
"Warrick County",18173,1.4,828,"1075 of 3140"
"Elkhart County",18039,1.4,2794,"1135 of 3140"
"Whitley County",18183,1.4,468,"1160 of 3140"
"Gibson County",18051,1.4,475,"1179 of 3140"
"Spencer County",18147,1.5,304,"1243 of 3140"
"Parke County",18121,1.6,265,"1333 of 3140"
"Howard County",18067,1.6,1294,"1350 of 3140"
"Harrison County",18061,1.6,625,"1373 of 3140"
"White County",18181,1.6,384,"1376 of 3140"
"Jennings County",18079,1.6,454,"1428 of 3140"
"Jasper County",18073,1.7,563,"1495 of 3140"
"Crawford County",18025,1.7,180,"1512 of 3140"
"Decatur County",18031,1.7,460,"1545 of 3140"
"Martin County",18101,1.8,178,"1565 of 3140"
"LaGrange County",18087,1.8,675,"1571 of 3140"
"Posey County",18129,1.8,453,"1590 of 3140"
"Clinton County",18023,1.8,574,"1596 of 3140"
"Delaware County",18035,1.8,2087,"1613 of 3140"
"Bartholomew County",18005,1.8,1471,"1633 of 3140"
"Hendricks County",18063,1.8,2880,"1634 of 3140"
"Marion County",18097,1.8,17151,"1652 of 3140"
"Franklin County",18047,1.9,425,"1676 of 3140"
"Benton County",18007,1.9,162,"1683 of 3140"
"Newton County",18111,1.9,268,"1715 of 3140"
"Floyd County",18043,1.9,1466,"1727 of 3140"
"Wabash County",18169,2.0,617,"1751 of 3140"
"Switzerland County",18155,2.0,210,"1780 of 3140"
"Johnson County",18081,2.0,2967,"1789 of 3140"
"Huntington County",18069,2.0,722,"1791 of 3140"
"Kosciusko County",18085,2.1,1625,"1871 of 3140"
"Allen County",18003,2.2,7807,"1915 of 3140"
"Montgomery County",18107,2.2,823,"1940 of 3140"
"Brown County",18013,2.2,325,"1948 of 3140"
"Adams County",18001,2.2,756,"1959 of 3140"
"Putnam County",18133,2.2,822,"1972 of 3140"
"Knox County",18083,2.2,833,"1983 of 3140"
"Clark County",18019,2.3,2599,"2020 of 3140"
"LaPorte County",18091,2.3,2540,"2036 of 3140"
"Vanderburgh County",18163,2.5,4574,"2189 of 3140"
"Grant County",18053,2.5,1707,"2194 of 3140"
"Porter County",18127,2.6,4243,"2202 of 3140"
"Perry County",18123,2.6,487,"2208 of 3140"
"Boone County",18011,2.6,1604,"2215 of 3140"
"Steuben County",18151,2.8,942,"2319 of 3140"
"Hamilton County",18057,2.9,8892,"2398 of 3140"
"Jefferson County",18077,2.9,930,"2415 of 3140"
"Vigo County",18167,3.2,3388,"2539 of 3140"
"St. Joseph County",18141,3.2,8445,"2541 of 3140"
"Lake County",18089,3.2,15385,"2543 of 3140"
"Wayne County",18177,3.2,2154,"2567 of 3140"
"Ohio County",18115,3.3,193,"2592 of 3140"
"Dearborn County",18029,3.9,1902,"2765 of 3140"
"Tippecanoe County",18157,4.0,7320,"2792 of 3140"
"Monroe County",18105,5.3,7512,"2997 of 3140"
"Union County",18161,8.9,637,"3125 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
