------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Indiana",18000,83.9,5546787,"18 of 52"
"Lake County",18089,62.0,302770,"2778 of 3141"
"Marion County",18097,62.7,588969,"2760 of 3141"
"St. Joseph County",18141,79.0,212328,"2254 of 3141"
"Allen County",18003,79.5,292318,"2241 of 3141"
"LaPorte County",18091,83.1,92156,"2060 of 3141"
"Tippecanoe County",18157,83.2,154732,"2058 of 3141"
"Cass County",18017,83.3,31845,"2050 of 3141"
"Bartholomew County",18005,85.5,69237,"1950 of 3141"
"Vanderburgh County",18163,85.7,155761,"1941 of 3141"
"Monroe County",18105,86.5,124980,"1873 of 3141"
"Hamilton County",18057,87.4,270595,"1819 of 3141"
"Vigo County",18167,87.4,94177,"1812 of 3141"
"Elkhart County",18039,87.6,177691,"1795 of 3141"
"Howard County",18067,87.8,72414,"1773 of 3141"
"Madison County",18095,87.9,113988,"1765 of 3141"
"Grant County",18053,88.0,59505,"1757 of 3141"
"Hendricks County",18063,88.2,139497,"1732 of 3141"
"Clark County",18019,88.3,101423,"1720 of 3141"
"Delaware County",18035,88.5,102569,"1694 of 3141"
"Wayne County",18177,90.0,60305,"1555 of 3141"
"Floyd County",18043,90.3,69030,"1537 of 3141"
"Miami County",18103,90.9,32758,"1463 of 3141"
"Porter County",18127,91.6,153279,"1382 of 3141"
"White County",18181,92.0,22329,"1329 of 3141"
"Jackson County",18071,92.0,40264,"1328 of 3141"
"Johnson County",18081,92.1,137508,"1313 of 3141"
"Marshall County",18099,92.4,43191,"1274 of 3141"
"Sullivan County",18153,93.3,19497,"1137 of 3141"
"Boone County",18011,93.7,59037,"1061 of 3141"
"Putnam County",18133,93.8,35200,"1051 of 3141"
"Kosciusko County",18085,93.9,73942,"1028 of 3141"
"Warrick County",18173,94.1,57941,"1002 of 3141"
"Knox County",18083,94.2,35557,"996 of 3141"
"Dubois County",18037,94.2,39941,"979 of 3141"
"Shelby County",18145,94.4,41859,"946 of 3141"
"Perry County",18123,94.5,18173,"925 of 3141"
"Fulton County",18049,94.5,19184,"920 of 3141"
"Clinton County",18023,94.9,30811,"838 of 3141"
"Jasper County",18073,95.0,31764,"831 of 3141"
"Henry County",18065,95.0,46212,"828 of 3141"
"Gibson County",18051,95.0,31920,"824 of 3141"
"Hancock County",18059,95.1,69182,"817 of 3141"
"Daviess County",18027,95.2,31215,"782 of 3141"
"Jefferson County",18077,95.3,30784,"771 of 3141"
"Newton County",18111,95.6,13437,"712 of 3141"
"Wabash County",18169,95.7,30493,"670 of 3141"
"Union County",18161,95.8,6925,"645 of 3141"
"Parke County",18121,95.9,16357,"640 of 3141"
"Pulaski County",18131,95.9,12243,"618 of 3141"
"Montgomery County",18107,96.0,36742,"610 of 3141"
"Decatur County",18031,96.1,25436,"590 of 3141"
"Tipton County",18159,96.1,14701,"571 of 3141"
"Fayette County",18041,96.2,22538,"549 of 3141"
"Carroll County",18015,96.3,19264,"513 of 3141"
"Randolph County",18135,96.4,24303,"495 of 3141"
"Huntington County",18069,96.5,35247,"479 of 3141"
"Starke County",18149,96.5,22167,"474 of 3141"
"Whitley County",18183,96.6,32330,"461 of 3141"
"Lawrence County",18093,96.6,44113,"448 of 3141"
"Wells County",18179,96.6,26887,"442 of 3141"
"Switzerland County",18155,96.6,10257,"441 of 3141"
"Orange County",18117,96.6,18965,"429 of 3141"
"Spencer County",18147,96.7,19938,"399 of 3141"
"Harrison County",18061,96.8,38168,"395 of 3141"
"Brown County",18013,96.9,14537,"360 of 3141"
"Adams County",18001,96.9,33935,"350 of 3141"
"Posey County",18129,96.9,24809,"349 of 3141"
"Noble County",18113,97.1,46033,"304 of 3141"
"Jennings County",18079,97.1,27040,"289 of 3141"
"Dearborn County",18029,97.1,48140,"288 of 3141"
