------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Indiana",18000,50.7,3356139,"26 of 52"
"United States",00000,50.8,162985654,"N/A"
"Sullivan County",18153,46.2,9665,"176 of 3141"
"Perry County",18123,46.2,8893,"177 of 3141"
"Miami County",18103,47.2,17019,"265 of 3141"
"Putnam County",18133,47.4,17796,"280 of 3141"
"Henry County",18065,48.1,23397,"385 of 3141"
"Switzerland County",18155,48.2,5120,"406 of 3141"
"LaPorte County",18091,48.4,53627,"437 of 3141"
"Tippecanoe County",18157,49.0,91089,"589 of 3141"
"Knox County",18083,49.0,18498,"601 of 3141"
"LaGrange County",18087,49.2,19061,"673 of 3141"
"Montgomery County",18107,49.2,18856,"685 of 3141"
"Vigo County",18167,49.3,53072,"693 of 3141"
"Owen County",18119,49.3,10328,"700 of 3141"
"Daviess County",18027,49.4,16177,"746 of 3141"
"Union County",18161,49.4,3567,"757 of 3141"
"Steuben County",18151,49.4,17018,"767 of 3141"
"Spencer County",18147,49.4,10179,"768 of 3141"
"Pulaski County",18131,49.4,6303,"770 of 3141"
"Crawford County",18025,49.5,5243,"806 of 3141"
"Martin County",18101,49.6,5073,"903 of 3141"
"Jennings County",18079,49.8,13857,"1001 of 3141"
"Bartholomew County",18005,49.8,40336,"1016 of 3141"
"Ohio County",18115,49.8,2944,"1034 of 3141"
"White County",18181,49.8,12094,"1039 of 3141"
"Noble County",18113,49.8,23624,"1042 of 3141"
"Harrison County",18061,49.8,19660,"1060 of 3141"
"Pike County",18125,49.8,6215,"1062 of 3141"
"Gibson County",18051,49.9,16755,"1097 of 3141"
"Newton County",18111,49.9,7015,"1122 of 3141"
"Dubois County",18037,49.9,21156,"1137 of 3141"
"Benton County",18007,49.9,4336,"1141 of 3141"
"Franklin County",18047,50.0,11420,"1205 of 3141"
"Madison County",18095,50.0,64836,"1208 of 3141"
"Dearborn County",18029,50.0,24790,"1212 of 3141"
"Jackson County",18071,50.1,21918,"1259 of 3141"
"Whitley County",18183,50.1,16765,"1268 of 3141"
"Carroll County",18015,50.1,10014,"1273 of 3141"
"Tipton County",18159,50.1,7658,"1273 of 3141"
"Cass County",18017,50.1,19157,"1275 of 3141"
"Posey County",18129,50.1,12823,"1277 of 3141"
"Hendricks County",18063,50.1,79246,"1284 of 3141"
"Warren County",18171,50.1,4145,"1318 of 3141"
"Monroe County",18105,50.1,72431,"1335 of 3141"
"Kosciusko County",18085,50.2,39514,"1369 of 3141"
"Fountain County",18045,50.2,8348,"1399 of 3141"
"DeKalb County",18033,50.2,21363,"1407 of 3141"
"Marshall County",18099,50.3,23500,"1435 of 3141"
"Adams County",18001,50.4,17657,"1593 of 3141"
"Ripley County",18137,50.4,14307,"1597 of 3141"
"Brown County",18013,50.4,7568,"1598 of 3141"
"Washington County",18175,50.4,14024,"1605 of 3141"
"Jasper County",18073,50.5,16880,"1640 of 3141"
"Lawrence County",18093,50.5,23048,"1641 of 3141"
"Boone County",18011,50.5,31802,"1645 of 3141"
"Decatur County",18031,50.5,13368,"1664 of 3141"
"Warrick County",18173,50.5,31091,"1670 of 3141"
