------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Indiana",18000,85.0,5558484,"26 of 51"
"United States",00000,85.4,270854872,"N/A"
"Monroe County",18105,67.9,97089,"3130 of 3140"
"Tippecanoe County",18157,72.5,133049,"3113 of 3140"
"Putnam County",18133,76.5,28452,"3058 of 3140"
"Delaware County",18035,76.6,87929,"3056 of 3140"
"Vigo County",18167,78.9,84072,"2999 of 3140"
"Knox County",18083,81.8,30548,"2777 of 3140"
"Benton County",18007,81.9,7025,"2767 of 3140"
"Jefferson County",18077,82.0,26035,"2762 of 3140"
"Madison County",18095,83.2,106703,"2598 of 3140"
"Montgomery County",18107,83.3,31476,"2581 of 3140"
"LaPorte County",18091,83.6,91916,"2507 of 3140"
"Vanderburgh County",18163,83.7,150417,"2506 of 3140"
"Howard County",18067,84.1,68659,"2413 of 3140"
"Kosciusko County",18085,84.3,65381,"2386 of 3140"
"Miami County",18103,84.5,30128,"2356 of 3140"
"Allen County",18003,84.5,306224,"2352 of 3140"
"Marion County",18097,84.5,783636,"2344 of 3140"
"Wabash County",18169,84.5,26634,"2334 of 3140"
"Johnson County",18081,84.6,125067,"2323 of 3140"
"Grant County",18053,84.7,56757,"2285 of 3140"
"Parke County",18121,84.8,14329,"2276 of 3140"
"Rush County",18139,84.9,14109,"2246 of 3140"
"Huntington County",18069,84.9,30506,"2240 of 3140"
"Steuben County",18151,85.0,29042,"2227 of 3140"
"Noble County",18113,85.0,39771,"2211 of 3140"
"Morgan County",18109,85.1,58584,"2199 of 3140"
"Switzerland County",18155,85.1,8967,"2196 of 3140"
"Henry County",18065,85.1,41004,"2191 of 3140"
"Fountain County",18045,85.2,14004,"2171 of 3140"
"Owen County",18119,85.4,17727,"2109 of 3140"
"Union County",18161,85.5,6123,"2092 of 3140"
"Bartholomew County",18005,85.6,68592,"2055 of 3140"
"Fayette County",18041,85.7,19887,"2048 of 3140"
"Wayne County",18177,85.7,56933,"2034 of 3140"
"Boone County",18011,85.8,53272,"2027 of 3140"
"Hendricks County",18063,85.9,134445,"1989 of 3140"
"St. Joseph County",18141,86.0,228045,"1937 of 3140"
"Jennings County",18079,86.1,23741,"1926 of 3140"
"Decatur County",18031,86.1,22706,"1919 of 3140"
"Hamilton County",18057,86.1,263697,"1911 of 3140"
"Cass County",18017,86.2,32608,"1878 of 3140"
"Warren County",18171,86.4,7070,"1839 of 3140"
"Porter County",18127,86.4,143484,"1822 of 3140"
"Newton County",18111,86.5,12025,"1798 of 3140"
"Adams County",18001,86.7,29804,"1730 of 3140"
"DeKalb County",18033,87.0,36663,"1607 of 3140"
"Ohio County",18115,87.1,5099,"1590 of 3140"
"Lake County",18089,87.3,421117,"1522 of 3140"
"Scott County",18143,87.3,20520,"1496 of 3140"
"Greene County",18055,87.5,28099,"1445 of 3140"
"White County",18181,87.6,20983,"1416 of 3140"
"Jackson County",18071,87.7,37909,"1391 of 3140"
"Clinton County",18023,87.7,28072,"1381 of 3140"
"Whitley County",18183,87.9,29036,"1298 of 3140"
